freq,tra_meas,unit,geo\TIME_PERIOD	2017 	2021 
A,PAS_CRD,THS_PAS,AT	28326 	11105 
A,PAS_CRD,THS_PAS,AT1	24333 	10466 
A,PAS_CRD,THS_PAS,AT12	24333 	10466 
A,PAS_CRD,THS_PAS,AT2	1169 	256 
A,PAS_CRD,THS_PAS,AT21	216 	30 
A,PAS_CRD,THS_PAS,AT22	952 	226 
A,PAS_CRD,THS_PAS,AT3	3377 	497 
A,PAS_CRD,THS_PAS,AT31	391 	68 
A,PAS_CRD,THS_PAS,AT32	1895 	303 
A,PAS_CRD,THS_PAS,AT33	1090 	127 
A,PAS_CRD,THS_PAS,BE	33259 	13500 
A,PAS_CRD,THS_PAS,BE2	25384 	9679 
A,PAS_CRD,THS_PAS,BE21	255 	134 
A,PAS_CRD,THS_PAS,BE24	24776 	9331 
A,PAS_CRD,THS_PAS,BE25	354 	215 
A,PAS_CRD,THS_PAS,BE3	7877 	3820 
A,PAS_CRD,THS_PAS,BE32	7688 	3747 
A,PAS_CRD,THS_PAS,BE33	188 	73 
A,PAS_CRD,THS_PAS,BG	11092 	5048 
A,PAS_CRD,THS_PAS,BG3	4884 	2005 
A,PAS_CRD,THS_PAS,BG33	1947 	1056 
A,PAS_CRD,THS_PAS,BG34	2950 	953 
A,PAS_CRD,THS_PAS,BG4	6478 	3245 
A,PAS_CRD,THS_PAS,BG41	6478 	3245 
A,PAS_CRD,THS_PAS,CH	46315 	16035 
A,PAS_CRD,THS_PAS,CH0	46315 	16035 
A,PAS_CRD,THS_PAS,CH01	17269 	5920 
A,PAS_CRD,THS_PAS,CH02	168 	23 
A,PAS_CRD,THS_PAS,CH04	29356 	10239 
A,PAS_CRD,THS_PAS,CH05	110 	32 
A,PAS_CRD,THS_PAS,CH07	136 	8 
A,PAS_CRD,THS_PAS,CY	10239 	5100 
A,PAS_CRD,THS_PAS,CY0	10239 	5100 
A,PAS_CRD,THS_PAS,CY00	10239 	5100 
A,PAS_CRD,THS_PAS,CZ	16246 	4755 
A,PAS_CRD,THS_PAS,CZ0	16246 	4755 
A,PAS_CRD,THS_PAS,CZ01	15372 	4370 
A,PAS_CRD,THS_PAS,CZ04	20 	1 
A,PAS_CRD,THS_PAS,CZ05	85 	80 
A,PAS_CRD,THS_PAS,CZ06	459 	177 
A,PAS_CRD,THS_PAS,CZ08	310 	127 
A,PAS_CRD,THS_PAS,DE	212386 	73597 
A,PAS_CRD,THS_PAS,DE1	12634 	4274 
A,PAS_CRD,THS_PAS,DE11	10942 	3567 
A,PAS_CRD,THS_PAS,DE12	1236 	609 
A,PAS_CRD,THS_PAS,DE14	456 	98 
A,PAS_CRD,THS_PAS,DE2	49737 	14497 
A,PAS_CRD,THS_PAS,DE21	44535 	12474 
A,PAS_CRD,THS_PAS,DE25	4161 	1045 
A,PAS_CRD,THS_PAS,DE27	1176 	978 
A,PAS_CRD,THS_PAS,DE3	20451 	: 
A,PAS_CRD,THS_PAS,DE30	20451 	: 
A,PAS_CRD,THS_PAS,DE4	12852 	9929 
A,PAS_CRD,THS_PAS,DE40	12852 	9929 
A,PAS_CRD,THS_PAS,DE5	2535 	629 
A,PAS_CRD,THS_PAS,DE50	2535 	629 
A,PAS_CRD,THS_PAS,DE6	17589 	5314 
A,PAS_CRD,THS_PAS,DE60	17589 	5314 
A,PAS_CRD,THS_PAS,DE7	64390 	24765 
A,PAS_CRD,THS_PAS,DE71	64390 	24765 
A,PAS_CRD,THS_PAS,DE8	263 	19 
A,PAS_CRD,THS_PAS,DE80	263 	19 
A,PAS_CRD,THS_PAS,DE9	5854 	2053 
A,PAS_CRD,THS_PAS,DE92	5854 	2053 
A,PAS_CRD,THS_PAS,DEA	42530 	14944 
A,PAS_CRD,THS_PAS,DEA1	26495 	8526 
A,PAS_CRD,THS_PAS,DEA2	12366 	4247 
A,PAS_CRD,THS_PAS,DEA3	949 	354 
A,PAS_CRD,THS_PAS,DEA4	724 	126 
A,PAS_CRD,THS_PAS,DEA5	1997 	1691 
A,PAS_CRD,THS_PAS,DEB	2358 	612 
A,PAS_CRD,THS_PAS,DEB1	2358 	612 
A,PAS_CRD,THS_PAS,DEC	373 	150 
A,PAS_CRD,THS_PAS,DEC0	373 	150 
A,PAS_CRD,THS_PAS,DED	4048 	989 
A,PAS_CRD,THS_PAS,DED2	1701 	326 
A,PAS_CRD,THS_PAS,DED5	2347 	663 
A,PAS_CRD,THS_PAS,DEG	274 	71 
A,PAS_CRD,THS_PAS,DEG0	274 	71 
A,PAS_CRD,THS_PAS,DK	33261 	10817 
A,PAS_CRD,THS_PAS,DK0	33261 	10817 
A,PAS_CRD,THS_PAS,DK01	29119 	9157 
A,PAS_CRD,THS_PAS,DK02	7 	9 
A,PAS_CRD,THS_PAS,DK03	3499 	1421 
A,PAS_CRD,THS_PAS,DK04	515 	153 
A,PAS_CRD,THS_PAS,DK05	1493 	760 
A,PAS_CRD,THS_PAS,EE	2635 	1293 
A,PAS_CRD,THS_PAS,EE0	2635 	1293 
A,PAS_CRD,THS_PAS,EE00	2635 	1293 
A,PAS_CRD,THS_PAS,EL	50163 	32226 
A,PAS_CRD,THS_PAS,EL3	21730 	13357 
A,PAS_CRD,THS_PAS,EL30	21730 	13357 
A,PAS_CRD,THS_PAS,EL4	22875 	15837 
A,PAS_CRD,THS_PAS,EL41	1192 	879 
A,PAS_CRD,THS_PAS,EL42	11312 	8201 
A,PAS_CRD,THS_PAS,EL43	10429 	6799 
A,PAS_CRD,THS_PAS,EL5	6958 	3846 
A,PAS_CRD,THS_PAS,EL51	503 	312 
A,PAS_CRD,THS_PAS,EL52	6347 	3467 
A,PAS_CRD,THS_PAS,EL53	12 	5 
A,PAS_CRD,THS_PAS,EL54	96 	62 
A,PAS_CRD,THS_PAS,EL6	6648 	4272 
A,PAS_CRD,THS_PAS,EL61	450 	234 
A,PAS_CRD,THS_PAS,EL62	5184 	3389 
A,PAS_CRD,THS_PAS,EL63	717 	464 
A,PAS_CRD,THS_PAS,EL64	17 	14 
A,PAS_CRD,THS_PAS,EL65	284 	176 
A,PAS_CRD,THS_PAS,ES	209824 	91898 
A,PAS_CRD,THS_PAS,ES1	7177 	4119 
A,PAS_CRD,THS_PAS,ES11	4837 	2789 
A,PAS_CRD,THS_PAS,ES12	1405 	830 
A,PAS_CRD,THS_PAS,ES13	935 	502 
A,PAS_CRD,THS_PAS,ES2	5768 	3242 
A,PAS_CRD,THS_PAS,ES21	5330 	2856 
A,PAS_CRD,THS_PAS,ES22	: 	112 
A,PAS_CRD,THS_PAS,ES24	437 	274 
A,PAS_CRD,THS_PAS,ES3	52023 	23193 
A,PAS_CRD,THS_PAS,ES30	52023 	23193 
A,PAS_CRD,THS_PAS,ES4	220 	101 
A,PAS_CRD,THS_PAS,ES41	220 	101 
A,PAS_CRD,THS_PAS,ES5	103316 	45893 
A,PAS_CRD,THS_PAS,ES51	49750 	18938 
A,PAS_CRD,THS_PAS,ES52	20395 	9813 
A,PAS_CRD,THS_PAS,ES53	38486 	20945 
A,PAS_CRD,THS_PAS,ES6	27858 	13765 
A,PAS_CRD,THS_PAS,ES61	26566 	13410 
A,PAS_CRD,THS_PAS,ES62	1195 	281 
A,PAS_CRD,THS_PAS,ES64	318 	329 
A,PAS_CRD,THS_PAS,ES7	39780 	19521 
A,PAS_CRD,THS_PAS,ES70	39780 	19521 
A,PAS_CRD,THS_PAS,FI	20055 	4554 
A,PAS_CRD,THS_PAS,FI1	20035 	4550 
A,PAS_CRD,THS_PAS,FI19	703 	43 
A,PAS_CRD,THS_PAS,FI1B	18981 	4295 
A,PAS_CRD,THS_PAS,FI1C	335 	52 
A,PAS_CRD,THS_PAS,FI1D	2722 	1011 
A,PAS_CRD,THS_PAS,FI2	62 	18 
A,PAS_CRD,THS_PAS,FI20	62 	18 
A,PAS_CRD,THS_PAS,FR	160629 	68555 
A,PAS_CRD,THS_PAS,FR1	101458 	41906 
A,PAS_CRD,THS_PAS,FR10	101458 	41906 
A,PAS_CRD,THS_PAS,FRB	189 	63 
A,PAS_CRD,THS_PAS,FRB0	189 	63 
A,PAS_CRD,THS_PAS,FRD	: 	227 
A,PAS_CRD,THS_PAS,FRD1	: 	227 
A,PAS_CRD,THS_PAS,FRE	5545 	3225 
A,PAS_CRD,THS_PAS,FRE1	1899 	1162 
A,PAS_CRD,THS_PAS,FRE2	3646 	2063 
A,PAS_CRD,THS_PAS,FRF	9286 	4256 
A,PAS_CRD,THS_PAS,FRF1	9055 	4238 
A,PAS_CRD,THS_PAS,FRF3	231 	19 
A,PAS_CRD,THS_PAS,FRG	5442 	3283 
A,PAS_CRD,THS_PAS,FRG0	5442 	3283 
A,PAS_CRD,THS_PAS,FRH	1869 	1038 
A,PAS_CRD,THS_PAS,FRH0	1869 	1038 
A,PAS_CRD,THS_PAS,FRI	8808 	4090 
A,PAS_CRD,THS_PAS,FRI1	8278 	3960 
A,PAS_CRD,THS_PAS,FRI2	309 	69 
A,PAS_CRD,THS_PAS,FRI3	221 	61 
A,PAS_CRD,THS_PAS,FRJ	12775 	5545 
A,PAS_CRD,THS_PAS,FRJ1	3106 	1605 
A,PAS_CRD,THS_PAS,FRJ2	9670 	3940 
A,PAS_CRD,THS_PAS,FRK	11143 	4618 
A,PAS_CRD,THS_PAS,FRK1	384 	92 
A,PAS_CRD,THS_PAS,FRK2	10761 	4526 
A,PAS_CRD,THS_PAS,FRL	22722 	11511 
A,PAS_CRD,THS_PAS,FRL0	22722 	11511 
A,PAS_CRD,THS_PAS,FRM	4010 	3664 
A,PAS_CRD,THS_PAS,FRM0	4010 	3664 
A,PAS_CRD,THS_PAS,FRY	6496 	3615 
A,PAS_CRD,THS_PAS,FRY1	2302 	1278 
A,PAS_CRD,THS_PAS,FRY2	1820 	967 
A,PAS_CRD,THS_PAS,FRY3	489 	335 
A,PAS_CRD,THS_PAS,FRY4	2252 	1162 
A,PAS_CRD,THS_PAS,FRY5	364 	249 
A,PAS_CRD,THS_PAS,HR	8842 	4458 
A,PAS_CRD,THS_PAS,HR0	8842 	4458 
A,PAS_CRD,THS_PAS,HR03	6249 	3289 
A,PAS_CRD,THS_PAS,HR06	3081 	1389 
A,PAS_CRD,THS_PAS,HU	13350 	4665 
A,PAS_CRD,THS_PAS,HU1	13032 	4590 
A,PAS_CRD,THS_PAS,HU11	13032 	4590 
A,PAS_CRD,THS_PAS,HU3	318 	75 
A,PAS_CRD,THS_PAS,HU32	318 	75 
A,PAS_CRD,THS_PAS,IE	34272 	9097 
A,PAS_CRD,THS_PAS,IE0	34272 	9097 
A,PAS_CRD,THS_PAS,IE04	749 	174 
A,PAS_CRD,THS_PAS,IE05	4219 	688 
A,PAS_CRD,THS_PAS,IE06	29356 	8262 
A,PAS_CRD,THS_PAS,IS	8319 	2437 
A,PAS_CRD,THS_PAS,IS0	8319 	2437 
A,PAS_CRD,THS_PAS,IS00	8319 	2437 
A,PAS_CRD,THS_PAS,IT	144278 	59705 
A,PAS_CRD,THS_PAS,ITC	49306 	23078 
A,PAS_CRD,THS_PAS,ITC1	4186 	2081 
A,PAS_CRD,THS_PAS,ITC3	1241 	614 
A,PAS_CRD,THS_PAS,ITC4	43879 	20383 
A,PAS_CRD,THS_PAS,ITF	19152 	12131 
A,PAS_CRD,THS_PAS,ITF1	665 	381 
A,PAS_CRD,THS_PAS,ITF3	8552 	4616 
A,PAS_CRD,THS_PAS,ITF4	6984 	5173 
A,PAS_CRD,THS_PAS,ITF6	2951 	1961 
A,PAS_CRD,THS_PAS,ITG	24947 	17216 
A,PAS_CRD,THS_PAS,ITG1	16749 	11580 
A,PAS_CRD,THS_PAS,ITG2	8313 	5743 
A,PAS_CRD,THS_PAS,ITH	25885 	10746 
A,PAS_CRD,THS_PAS,ITH3	16429 	6105 
A,PAS_CRD,THS_PAS,ITH4	778 	347 
A,PAS_CRD,THS_PAS,ITH5	8679 	4295 
A,PAS_CRD,THS_PAS,ITI	54843 	17125 
A,PAS_CRD,THS_PAS,ITI1	7871 	2830 
A,PAS_CRD,THS_PAS,ITI2	247 	145 
A,PAS_CRD,THS_PAS,ITI3	477 	242 
A,PAS_CRD,THS_PAS,ITI4	46692 	13908 
A,PAS_CRD,THS_PAS,LT	5246 	2465 
A,PAS_CRD,THS_PAS,LT0	5246 	2465 
A,PAS_CRD,THS_PAS,LT01	3759 	1895 
A,PAS_CRD,THS_PAS,LT02	1487 	570 
A,PAS_CRD,THS_PAS,LU	3555 	2003 
A,PAS_CRD,THS_PAS,LU0	3555 	2003 
A,PAS_CRD,THS_PAS,LU00	3555 	2003 
A,PAS_CRD,THS_PAS,LV	6078 	2336 
A,PAS_CRD,THS_PAS,LV0	6078 	2336 
A,PAS_CRD,THS_PAS,LV00	6078 	2336 
A,PAS_CRD,THS_PAS,ME	: 	1309 
A,PAS_CRD,THS_PAS,ME0	: 	1309 
A,PAS_CRD,THS_PAS,ME00	: 	1309 
A,PAS_CRD,THS_PAS,MK	1861 	1266 
A,PAS_CRD,THS_PAS,MK0	1861 	1266 
