freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2017 	2021 
A,TOTAL,NR,I551-I553,AT11	964866 	703910 
A,TOTAL,NR,I551-I553,AT12	2621401 	1583071 
A,TOTAL,NR,I551-I553,AT13	6988343 	2022511 
A,TOTAL,NR,I551-I553,AT21	2814590 	2016680 
A,TOTAL,NR,I551-I553,AT22	3674784 	2410769 
A,TOTAL,NR,I551-I553,AT31	2740410 	1680026 
A,TOTAL,NR,I551-I553,AT32	6725451 	3223687 
A,TOTAL,NR,I551-I553,AT33	9980743 	5019250 
A,TOTAL,NR,I551-I553,AT34	2076034 	1098080 
A,TOTAL,NR,I551-I553,BE10	3416094 	1312089 
A,TOTAL,NR,I551-I553,BE21	1922409 	1261225 
A,TOTAL,NR,I551-I553,BE22	1290353 	1110461 
A,TOTAL,NR,I551-I553,BE23	1088177 	795514 
A,TOTAL,NR,I551-I553,BE24	1199588 	552235 
A,TOTAL,NR,I551-I553,BE25	4009476 	3129070 
A,TOTAL,NR,I551-I553,BE31	284756 	182470 
A,TOTAL,NR,I551-I553,BE32	614713 	440366 
A,TOTAL,NR,I551-I553,BE33	1077535 	856175 
A,TOTAL,NR,I551-I553,BE34	880120 	894414 
A,TOTAL,NR,I551-I553,BE35	536036 	437952 
A,TOTAL,NR,I551-I553,BG31	290656 	244881 
A,TOTAL,NR,I551-I553,BG32	444782 	343094 
A,TOTAL,NR,I551-I553,BG33	1662437 	1189518 
A,TOTAL,NR,I551-I553,BG34	1825999 	1539196 
A,TOTAL,NR,I551-I553,BG41	2112698 	1314145 
A,TOTAL,NR,I551-I553,BG42	1125074 	1016800 
A,TOTAL,NR,I551-I553,CH01	5821466 	4438258 
A,TOTAL,NR,I551-I553,CH02	4406541 	3564192 
A,TOTAL,NR,I551-I553,CH03	1272715 	841844 
A,TOTAL,NR,I551-I553,CH04	3328063 u	1583779 
A,TOTAL,NR,I551-I553,CH05	3638794 	3782238 
A,TOTAL,NR,I551-I553,CH06	2737553 u	1931696 
A,TOTAL,NR,I551-I553,CH07	1599422 	1818408 
A,TOTAL,NR,I551-I553,CY00	2946461 	2117531 
A,TOTAL,NR,I551-I553,CZ01	7652761 	2354720 
A,TOTAL,NR,I551-I553,CZ02	1021352 	781785 
A,TOTAL,NR,I551-I553,CZ03	2313357 	1674033 
A,TOTAL,NR,I551-I553,CZ04	1630732 	1107338 
A,TOTAL,NR,I551-I553,CZ05	2663256 	2013002 
A,TOTAL,NR,I551-I553,CZ06	2450064 	1782586 
A,TOTAL,NR,I551-I553,CZ07	1372297 	1024235 
A,TOTAL,NR,I551-I553,CZ08	896742 	645902 
A,TOTAL,NR,I551-I553,DE11	5993014 	2694358 
A,TOTAL,NR,I551-I553,DE12	5108763 	2540853 
A,TOTAL,NR,I551-I553,DE13	6507394 	4223185 
A,TOTAL,NR,I551-I553,DE14	3168170 	2096476 
A,TOTAL,NR,I551-I553,DE21	16855571 	8062601 
A,TOTAL,NR,I551-I553,DE22	2929500 	1718599 
A,TOTAL,NR,I551-I553,DE23	1991771 	1161146 
A,TOTAL,NR,I551-I553,DE24	1956106 	1203817 
A,TOTAL,NR,I551-I553,DE25	3959898 	2040652 
A,TOTAL,NR,I551-I553,DE26	2715819 	1564030 
A,TOTAL,NR,I551-I553,DE27	5345089 	3135007 
A,TOTAL,NR,I551-I553,DE30	12952499 	5117696 
A,TOTAL,NR,I551-I553,DE40	4768632 	3075241 
A,TOTAL,NR,I551-I553,DE50	1325597 	781980 
A,TOTAL,NR,I551-I553,DE60	6781062 	3321082 
A,TOTAL,NR,I551-I553,DE71	10430638 	4150457 
A,TOTAL,NR,I551-I553,DE72	1134851 	649349 
A,TOTAL,NR,I551-I553,DE73	3175815 	1683692 
A,TOTAL,NR,I551-I553,DE80	7362795 	5327269 
A,TOTAL,NR,I551-I553,DE91	2720841 	1499541 
A,TOTAL,NR,I551-I553,DE92	3232116 	1697042 
A,TOTAL,NR,I551-I553,DE93	3201388 	2165108 
A,TOTAL,NR,I551-I553,DE94	4861403 	3271636 
A,TOTAL,NR,I551-I553,DEA1	6780674 	2940048 
A,TOTAL,NR,I551-I553,DEA2	7328263 	3297898 
A,TOTAL,NR,I551-I553,DEA3	2047832 	1226484 
A,TOTAL,NR,I551-I553,DEA4	1901371 	1007769 
A,TOTAL,NR,I551-I553,DEA5	3974067 	2027986 
A,TOTAL,NR,I551-I553,DEB1	3519457 	1824652 
A,TOTAL,NR,I551-I553,DEB2	2099779 	1257644 
A,TOTAL,NR,I551-I553,DEB3	2870664 	1647412 
A,TOTAL,NR,I551-I553,DEC0	1013152 	577907 
A,TOTAL,NR,I551-I553,DED2	3860294 	2012949 
A,TOTAL,NR,I551-I553,DED4	1686950 	843345 
A,TOTAL,NR,I551-I553,DED5	2181008 	1243185 
A,TOTAL,NR,I551-I553,DEE0	3305384 	2073320 
A,TOTAL,NR,I551-I553,DEF0	7578959 	6457858 
A,TOTAL,NR,I551-I553,DEG0	3685537 	2155149 
A,TOTAL,NR,I551-I553,DK01	3305199 e	2357074 e
A,TOTAL,NR,I551-I553,DK02	598680 e	537313 e
A,TOTAL,NR,I551-I553,DK03	1782197 e	1673507 e
A,TOTAL,NR,I551-I553,DK04	1105246 e	1039415 e
A,TOTAL,NR,I551-I553,DK05	881886 e	810219 e
A,TOTAL,NR,I551-I553,EE00	3544932 	2138346 
A,TOTAL,NR,I551-I553,EL30	4395366 	2453954 
A,TOTAL,NR,I551-I553,EL41	486084 	251181 
A,TOTAL,NR,I551-I553,EL42	5343342 	4164557 
A,TOTAL,NR,I551-I553,EL43	4961716 	3391915 
A,TOTAL,NR,I551-I553,EL51	871177 	474032 
A,TOTAL,NR,I551-I553,EL52	3581613 	2179905 
A,TOTAL,NR,I551-I553,EL53	156471 	85021 
A,TOTAL,NR,I551-I553,EL54	750643 	496190 
A,TOTAL,NR,I551-I553,EL61	1243908 	748069 
A,TOTAL,NR,I551-I553,EL62	2345186 	1704056 
A,TOTAL,NR,I551-I553,EL63	722951 	425408 
A,TOTAL,NR,I551-I553,EL64	783534 	543635 
A,TOTAL,NR,I551-I553,EL65	1569277 	1097424 
A,TOTAL,NR,I551-I553,ES11	5122764 	4222508 
A,TOTAL,NR,I551-I553,ES12	2338078 	1870077 
A,TOTAL,NR,I551-I553,ES13	1936458 	1473671 
