freq,age,sex,unit,geo\TIME_PERIOD	2017 	2021 
A,Y15-64,T,HR,AT11	35.8 	33.9 b
A,Y15-64,T,HR,AT12	35.8 	34.5 b
A,Y15-64,T,HR,AT13	34.9 	33.0 b
A,Y15-64,T,HR,AT21	35.5 	34.0 b
A,Y15-64,T,HR,AT22	34.8 	33.9 b
A,Y15-64,T,HR,AT31	34.9 	33.6 b
A,Y15-64,T,HR,AT32	35.8 	33.6 b
A,Y15-64,T,HR,AT33	35.1 	32.9 b
A,Y15-64,T,HR,AT34	35.0 	33.4 b
A,Y15-64,T,HR,BE10	36.4 b	35.0 b
A,Y15-64,T,HR,BE21	36.2 b	34.6 b
A,Y15-64,T,HR,BE22	35.7 b	33.3 b
A,Y15-64,T,HR,BE23	36.4 b	35.4 b
A,Y15-64,T,HR,BE24	37.3 b	35.7 b
A,Y15-64,T,HR,BE25	37.5 b	35.6 b
A,Y15-64,T,HR,BE31	36.2 b	34.6 b
A,Y15-64,T,HR,BE32	35.9 b	33.3 b
A,Y15-64,T,HR,BE33	35.4 b	34.1 b
A,Y15-64,T,HR,BE34	35.6 b	35.3 b
A,Y15-64,T,HR,BE35	36.8 b	35.3 b
A,Y15-64,T,HR,BG31	39.8 	39.5 b
A,Y15-64,T,HR,BG32	39.3 	38.6 b
A,Y15-64,T,HR,BG33	40.6 	39.7 b
A,Y15-64,T,HR,BG34	40.2 	40.4 b
A,Y15-64,T,HR,BG41	39.4 	39.0 b
A,Y15-64,T,HR,BG42	41.0 	40.3 b
A,Y15-64,T,HR,CH01	36.6 	35.8 b
A,Y15-64,T,HR,CH02	36.1 	35.9 b
A,Y15-64,T,HR,CH03	36.3 	35.8 b
A,Y15-64,T,HR,CH04	36.9 	36.5 b
A,Y15-64,T,HR,CH05	36.8 	36.2 b
A,Y15-64,T,HR,CH06	37.2 	36.2 b
A,Y15-64,T,HR,CH07	35.6 	34.8 b
A,Y15-64,T,HR,CY00	38.2 	37.5 b
A,Y15-64,T,HR,CZ01	38.8 	37.4 b
A,Y15-64,T,HR,CZ02	40.0 	38.3 b
A,Y15-64,T,HR,CZ03	38.9 	38.2 b
A,Y15-64,T,HR,CZ04	40.0 	39.4 b
A,Y15-64,T,HR,CZ05	39.4 	38.7 b
A,Y15-64,T,HR,CZ06	38.9 	38.4 b
A,Y15-64,T,HR,CZ07	38.8 	38.3 b
A,Y15-64,T,HR,CZ08	38.3 	37.3 b
A,Y15-64,T,HR,DE11	35.1 	34.2 b
A,Y15-64,T,HR,DE12	34.8 	34.3 b
A,Y15-64,T,HR,DE13	34.5 	33.9 b
A,Y15-64,T,HR,DE14	34.4 	34.0 b
A,Y15-64,T,HR,DE21	36.0 	34.8 b
A,Y15-64,T,HR,DE22	34.4 	34.1 b
A,Y15-64,T,HR,DE23	34.6 	33.9 b
A,Y15-64,T,HR,DE24	34.4 	34.4 b
A,Y15-64,T,HR,DE25	35.2 	34.7 b
A,Y15-64,T,HR,DE26	34.5 	33.7 b
A,Y15-64,T,HR,DE27	35.2 	34.6 b
A,Y15-64,T,HR,DE30	35.9 	34.8 b
A,Y15-64,T,HR,DE40	37.0 	36.4 b
A,Y15-64,T,HR,DE50	34.0 	33.2 b
A,Y15-64,T,HR,DE60	36.4 	34.9 b
A,Y15-64,T,HR,DE71	35.4 	34.5 b
A,Y15-64,T,HR,DE72	33.8 	33.4 b
A,Y15-64,T,HR,DE73	34.4 	33.8 b
