freq,unit,age,sex,geo\TIME_PERIOD	2017 	2021 
A,HR,Y15-64,T,AT11	37.4 	36.5 b
A,HR,Y15-64,T,AT12	37.2 	36.9 b
A,HR,Y15-64,T,AT13	36.4 	35.7 b
A,HR,Y15-64,T,AT21	37.3 	36.6 b
A,HR,Y15-64,T,AT22	36.4 	36.1 b
A,HR,Y15-64,T,AT31	36.2 	35.8 b
A,HR,Y15-64,T,AT32	37.1 	36.1 b
A,HR,Y15-64,T,AT33	36.5 	35.4 b
A,HR,Y15-64,T,AT34	36.6 	35.7 b
A,HR,Y15-64,T,BE10	37.3 b	37.0 b
A,HR,Y15-64,T,BE21	37.7 b	36.5 b
A,HR,Y15-64,T,BE22	36.6 b	35.8 b
A,HR,Y15-64,T,BE23	38.1 b	37.6 b
A,HR,Y15-64,T,BE24	38.6 b	37.9 b
A,HR,Y15-64,T,BE25	39.2 b	37.3 b
A,HR,Y15-64,T,BE31	37.8 b	36.4 b
A,HR,Y15-64,T,BE32	36.7 b	35.5 b
A,HR,Y15-64,T,BE33	36.1 b	35.5 b
A,HR,Y15-64,T,BE34	35.7 b	36.8 b
A,HR,Y15-64,T,BE35	36.6 b	36.7 b
A,HR,Y15-64,T,BG31	40.5 	40.3 b
A,HR,Y15-64,T,BG32	40.2 	40.2 b
A,HR,Y15-64,T,BG33	41.0 	40.2 b
A,HR,Y15-64,T,BG34	40.7 	41.0 b
A,HR,Y15-64,T,BG41	40.5 	40.1 b
A,HR,Y15-64,T,BG42	41.6 	40.9 b
A,HR,Y15-64,T,CH01	35.6 	36.2 b
A,HR,Y15-64,T,CH02	35.0 	35.7 b
A,HR,Y15-64,T,CH03	34.8 	35.7 b
A,HR,Y15-64,T,CH04	35.2 	36.5 b
A,HR,Y15-64,T,CH05	35.5 	36.2 b
A,HR,Y15-64,T,CH06	35.9 	36.2 b
A,HR,Y15-64,T,CH07	35.4 	35.6 b
A,HR,Y15-64,T,CY00	39.4 	39.0 b
A,HR,Y15-64,T,CZ01	40.7 	39.3 b
A,HR,Y15-64,T,CZ02	41.4 	40.0 b
A,HR,Y15-64,T,CZ03	40.4 	39.6 b
A,HR,Y15-64,T,CZ04	40.9 	40.4 b
A,HR,Y15-64,T,CZ05	40.3 	39.7 b
A,HR,Y15-64,T,CZ06	40.5 	39.8 b
A,HR,Y15-64,T,CZ07	40.1 	39.5 b
A,HR,Y15-64,T,CZ08	39.2 	39.0 b
A,HR,Y15-64,T,DE11	35.2 	35.4 b
A,HR,Y15-64,T,DE12	35.1 	35.2 b
A,HR,Y15-64,T,DE13	34.7 	34.9 b
A,HR,Y15-64,T,DE14	34.8 	34.9 b
A,HR,Y15-64,T,DE21	36.5 	35.7 b
A,HR,Y15-64,T,DE22	34.7 	34.7 b
A,HR,Y15-64,T,DE23	34.9 	34.4 b
A,HR,Y15-64,T,DE24	35.0 	35.3 b
A,HR,Y15-64,T,DE25	35.3 	35.3 b
A,HR,Y15-64,T,DE26	34.7 	34.5 b
A,HR,Y15-64,T,DE27	35.3 	35.3 b
A,HR,Y15-64,T,DE30	35.7 	35.5 b
A,HR,Y15-64,T,DE40	37.0 	36.6 b
A,HR,Y15-64,T,DE50	34.0 	34.1 b
A,HR,Y15-64,T,DE60	36.2 	35.5 b
A,HR,Y15-64,T,DE71	35.5 	35.4 b
A,HR,Y15-64,T,DE72	33.9 	34.0 b
A,HR,Y15-64,T,DE73	34.4 	34.6 b
A,HR,Y15-64,T,DE80	37.0 	37.1 b
A,HR,Y15-64,T,DE91	34.6 	34.7 b
A,HR,Y15-64,T,DE92	35.1 	34.8 b
A,HR,Y15-64,T,DE93	35.1 	34.8 b
A,HR,Y15-64,T,DE94	34.8 	34.4 b
A,HR,Y15-64,T,DEA1	35.5 	35.1 b
A,HR,Y15-64,T,DEA2	35.2 	34.9 b
A,HR,Y15-64,T,DEA3	34.3 	34.1 b
A,HR,Y15-64,T,DEA4	34.6 	34.5 b
A,HR,Y15-64,T,DEA5	34.4 	34.5 b
A,HR,Y15-64,T,DEB1	34.9 	34.6 b
A,HR,Y15-64,T,DEB2	35.3 	34.2 b
A,HR,Y15-64,T,DEB3	34.6 	34.7 b
A,HR,Y15-64,T,DEC0	34.5 	35.0 b
A,HR,Y15-64,T,DED2	36.8 	36.9 b
A,HR,Y15-64,T,DED4	37.1 	37.2 b
A,HR,Y15-64,T,DED5	36.9 	36.4 b
A,HR,Y15-64,T,DEE0	36.7 	37.5 b
A,HR,Y15-64,T,DEF0	35.0 	35.1 b
