freq,currency,nace_r2,geo\TIME_PERIOD	2021 
A,MIO_EUR,TOTAL,AT11	4749 
A,MIO_EUR,TOTAL,AT12	30855 
A,MIO_EUR,TOTAL,AT13	53176 
A,MIO_EUR,TOTAL,AT21	10920 
A,MIO_EUR,TOTAL,AT22	27105 
A,MIO_EUR,TOTAL,AT31	35498 
A,MIO_EUR,TOTAL,AT32	13537 
A,MIO_EUR,TOTAL,AT33	16689 
A,MIO_EUR,TOTAL,AT34	9047 
A,MIO_EUR,TOTAL,ATZZ	40 
A,MIO_EUR,TOTAL,BE10	44931.5 
A,MIO_EUR,TOTAL,BE21	44962.6 
A,MIO_EUR,TOTAL,BE22	15603.5 
A,MIO_EUR,TOTAL,BE23	30402.9 
A,MIO_EUR,TOTAL,BE24	26409.2 
A,MIO_EUR,TOTAL,BE25	23674.8 
A,MIO_EUR,TOTAL,BE31	8881.8 
A,MIO_EUR,TOTAL,BE32	19436.5 
A,MIO_EUR,TOTAL,BE33	18241.6 
A,MIO_EUR,TOTAL,BE34	4037.5 
A,MIO_EUR,TOTAL,BE35	7585.8 
A,MIO_EUR,TOTAL,BEZZ	250.9 
A,MIO_EUR,TOTAL,BG31	1960.71 
A,MIO_EUR,TOTAL,BG32	2416.2 
A,MIO_EUR,TOTAL,BG33	3088.57 
A,MIO_EUR,TOTAL,BG34	3243.21 
A,MIO_EUR,TOTAL,BG41	16202.89 
A,MIO_EUR,TOTAL,BG42	4445.26 
A,MIO_EUR,TOTAL,CY00	10917.54 
A,MIO_EUR,TOTAL,CZ01	27682.92 
A,MIO_EUR,TOTAL,CZ02	11403.35 
A,MIO_EUR,TOTAL,CZ03	11045.2 
A,MIO_EUR,TOTAL,CZ04	8079.02 
A,MIO_EUR,TOTAL,CZ05	13120.24 
A,MIO_EUR,TOTAL,CZ06	16665.52 
A,MIO_EUR,TOTAL,CZ07	10402.54 
A,MIO_EUR,TOTAL,CZ08	10287.17 
A,MIO_EUR,TOTAL,DE11	119019.74 e
A,MIO_EUR,TOTAL,DE12	72216.69 e
A,MIO_EUR,TOTAL,DE13	50186.16 e
A,MIO_EUR,TOTAL,DE14	45862.05 e
A,MIO_EUR,TOTAL,DE21	148572.05 e
A,MIO_EUR,TOTAL,DE22	26328.8 e
A,MIO_EUR,TOTAL,DE23	26770.34 e
A,MIO_EUR,TOTAL,DE24	23443.11 e
A,MIO_EUR,TOTAL,DE25	47595.02 e
A,MIO_EUR,TOTAL,DE26	30018.32 e
A,MIO_EUR,TOTAL,DE27	42370.84 e
A,MIO_EUR,TOTAL,DE30	93816.57 p
A,MIO_EUR,TOTAL,DE40	40714.64 p
A,MIO_EUR,TOTAL,DE50	19185.38 p
A,MIO_EUR,TOTAL,DE60	65525.74 p
A,MIO_EUR,TOTAL,DE71	117153.35 e
A,MIO_EUR,TOTAL,DE72	21691.05 e
A,MIO_EUR,TOTAL,DE73	27668.54 e
A,MIO_EUR,TOTAL,DE80	26643.42 p
A,MIO_EUR,TOTAL,DE91	37817.49 e
A,MIO_EUR,TOTAL,DE92	47792.36 e
A,MIO_EUR,TOTAL,DE93	26495.92 e
A,MIO_EUR,TOTAL,DE94	50085.41 e
A,MIO_EUR,TOTAL,DEA1	125535.28 e
A,MIO_EUR,TOTAL,DEA2	107936.2 e
A,MIO_EUR,TOTAL,DEA3	51856.47 e
A,MIO_EUR,TOTAL,DEA4	45879.98 e
A,MIO_EUR,TOTAL,DEA5	75501.61 e
A,MIO_EUR,TOTAL,DEB1	28521.21 e
A,MIO_EUR,TOTAL,DEB2	9189.32 e
A,MIO_EUR,TOTAL,DEB3	42212.99 e
A,MIO_EUR,TOTAL,DEC0	20329.77 p
A,MIO_EUR,TOTAL,DED2	30372.16 e
A,MIO_EUR,TOTAL,DED4	23853.13 e
A,MIO_EUR,TOTAL,DED5	20990.16 e
A,MIO_EUR,TOTAL,DEE0	35595.06 p
A,MIO_EUR,TOTAL,DEF0	52945.58 p
A,MIO_EUR,TOTAL,DEG0	36088.08 p
A,MIO_EUR,TOTAL,DK01	70111.07 
A,MIO_EUR,TOTAL,DK02	17261.13 
A,MIO_EUR,TOTAL,DK03	32383.08 
A,MIO_EUR,TOTAL,DK04	36988.17 
A,MIO_EUR,TOTAL,DK05	14892.16 
A,MIO_EUR,TOTAL,DKZZ	762.4 
A,MIO_EUR,TOTAL,EE00	15064.4 
A,MIO_EUR,TOTAL,EL30	32446.61 
A,MIO_EUR,TOTAL,EL41	1007.31 
A,MIO_EUR,TOTAL,EL42	2197.15 
A,MIO_EUR,TOTAL,EL43	3351.3 
A,MIO_EUR,TOTAL,EL51	2814.36 
A,MIO_EUR,TOTAL,EL52	9836.68 
A,MIO_EUR,TOTAL,EL53	1254.59 
A,MIO_EUR,TOTAL,EL54	1512.49 
A,MIO_EUR,TOTAL,EL61	3630.64 
A,MIO_EUR,TOTAL,EL62	1084.41 
A,MIO_EUR,TOTAL,EL63	2980.55 
A,MIO_EUR,TOTAL,EL64	3219.36 
A,MIO_EUR,TOTAL,EL65	2774.35 
A,MIO_EUR,TOTAL,ES11	29055.6 p
A,MIO_EUR,TOTAL,ES12	11175.3 p
A,MIO_EUR,TOTAL,ES13	6489.4 p
A,MIO_EUR,TOTAL,ES21	35707.6 p
A,MIO_EUR,TOTAL,ES22	9844.3 p
A,MIO_EUR,TOTAL,ES23	3785.4 p
A,MIO_EUR,TOTAL,ES24	17644.2 p
A,MIO_EUR,TOTAL,ES30	127030.7 p
A,MIO_EUR,TOTAL,ES41	26618.3 p
A,MIO_EUR,TOTAL,ES42	19388 p
A,MIO_EUR,TOTAL,ES43	9264.3 p
A,MIO_EUR,TOTAL,ES51	116308.2 p
A,MIO_EUR,TOTAL,ES52	54716.7 p
A,MIO_EUR,TOTAL,ES53	13480.8 p
A,MIO_EUR,TOTAL,ES61	78823.4 p
A,MIO_EUR,TOTAL,ES62	16197.7 p
A,MIO_EUR,TOTAL,ES63	1037.9 p
A,MIO_EUR,TOTAL,ES64	937.7 p
A,MIO_EUR,TOTAL,ES70	21290 p
A,MIO_EUR,TOTAL,ESZZ	567.5 p
A,MIO_EUR,TOTAL,FI19	26172.96 
A,MIO_EUR,TOTAL,FI1B	47656.91 
A,MIO_EUR,TOTAL,FI1C	20787.12 
A,MIO_EUR,TOTAL,FI1D	22378.85 
A,MIO_EUR,TOTAL,FI20	731.36 
A,MIO_EUR,TOTAL,FIZZ	68.79 
A,MIO_EUR,TOTAL,FR10	396242.31 
A,MIO_EUR,TOTAL,FRB0	38970 
A,MIO_EUR,TOTAL,FRC1	24536.26 
A,MIO_EUR,TOTAL,FRC2	16829.7 
A,MIO_EUR,TOTAL,FRD1	22404.17 
A,MIO_EUR,TOTAL,FRD2	29257.34 
A,MIO_EUR,TOTAL,FRE1	66560.17 
A,MIO_EUR,TOTAL,FRE2	25919.91 
A,MIO_EUR,TOTAL,FRF1	33766.33 
A,MIO_EUR,TOTAL,FRF2	19598.5 
A,MIO_EUR,TOTAL,FRF3	32166.41 
A,MIO_EUR,TOTAL,FRG0	65896.12 
A,MIO_EUR,TOTAL,FRH0	54025.9 
A,MIO_EUR,TOTAL,FRI1	57899.27 
A,MIO_EUR,TOTAL,FRI2	10824.44 
A,MIO_EUR,TOTAL,FRI3	26653.55 
A,MIO_EUR,TOTAL,FRJ1	40747.27 
A,MIO_EUR,TOTAL,FRJ2	53786.26 
A,MIO_EUR,TOTAL,FRK1	20341.46 
A,MIO_EUR,TOTAL,FRK2	127245.97 
A,MIO_EUR,TOTAL,FRL0	89267.49 
A,MIO_EUR,TOTAL,FRM0	5626.23 
A,MIO_EUR,TOTAL,FRY1	5303.56 
A,MIO_EUR,TOTAL,FRY2	5600.68 
A,MIO_EUR,TOTAL,FRY3	2688.87 
A,MIO_EUR,TOTAL,FRY4	11445.75 
A,MIO_EUR,TOTAL,FRY5	2010.2 
A,MIO_EUR,TOTAL,HR02	4776.27 
A,MIO_EUR,TOTAL,HR03	8449.11 
A,MIO_EUR,TOTAL,HR05	9256.37 
A,MIO_EUR,TOTAL,HR06	4028.49 
A,MIO_EUR,TOTAL,HU11	23371.76 
A,MIO_EUR,TOTAL,HU12	5803.8 
A,MIO_EUR,TOTAL,HU21	6638.69 
A,MIO_EUR,TOTAL,HU22	5557.64 
A,MIO_EUR,TOTAL,HU23	3748.85 
A,MIO_EUR,TOTAL,HU31	4794.3 
A,MIO_EUR,TOTAL,HU32	5885.83 
A,MIO_EUR,TOTAL,HU33	5496.33 
A,MIO_EUR,TOTAL,HUZZ	0 
A,MIO_EUR,TOTAL,IE04	13580.2 
A,MIO_EUR,TOTAL,IE05	31974.1 
A,MIO_EUR,TOTAL,IE06	65639.33 
A,MIO_EUR,TOTAL,ITC1	58160.7 
A,MIO_EUR,TOTAL,ITC2	1665.3 
A,MIO_EUR,TOTAL,ITC3	18991.2 
A,MIO_EUR,TOTAL,ITC4	167590.9 
A,MIO_EUR,TOTAL,ITF1	13224.2 
A,MIO_EUR,TOTAL,ITF2	2459 
A,MIO_EUR,TOTAL,ITF3	43890 
A,MIO_EUR,TOTAL,ITF4	32517.1 
A,MIO_EUR,TOTAL,ITF5	4902.6 
A,MIO_EUR,TOTAL,ITF6	12968 
A,MIO_EUR,TOTAL,ITG1	36236.1 
A,MIO_EUR,TOTAL,ITG2	14673.9 
A,MIO_EUR,TOTAL,ITH1	10375.1 
A,MIO_EUR,TOTAL,ITH2	7922.3 
A,MIO_EUR,TOTAL,ITH3	68174.8 
A,MIO_EUR,TOTAL,ITH4	17231.1 
A,MIO_EUR,TOTAL,ITH5	67597.7 
A,MIO_EUR,TOTAL,ITI1	46136.3 
A,MIO_EUR,TOTAL,ITI2	9322.7 
A,MIO_EUR,TOTAL,ITI3	17353.1 
A,MIO_EUR,TOTAL,ITI4	84247.8 
A,MIO_EUR,TOTAL,ITZZ	520.3 
A,MIO_EUR,TOTAL,LT01	11902.51 
A,MIO_EUR,TOTAL,LT02	15056.86 
A,MIO_EUR,TOTAL,LU00	34910.46 
A,MIO_EUR,TOTAL,LV00	15890.76 
A,MIO_EUR,TOTAL,MK00	4505.17 
A,MIO_EUR,TOTAL,MT00	6639.87 
A,MIO_EUR,TOTAL,MTZZ	20.81 
A,MIO_EUR,TOTAL,NL11	11908 p
A,MIO_EUR,TOTAL,NL12	11214 p
A,MIO_EUR,TOTAL,NL13	8526 p
A,MIO_EUR,TOTAL,NL21	24858 p
A,MIO_EUR,TOTAL,NL22	43641 p
A,MIO_EUR,TOTAL,NL23	7090 p
A,MIO_EUR,TOTAL,NL31	41111 p
A,MIO_EUR,TOTAL,NL32	88171 p
A,MIO_EUR,TOTAL,NL33	89283 p
A,MIO_EUR,TOTAL,NL34	7039 p
A,MIO_EUR,TOTAL,NL41	63128 p
A,MIO_EUR,TOTAL,NL42	23161 p
A,MIO_EUR,TOTAL,NLZZ	217 p
A,MIO_EUR,TOTAL,PL21	19808.99 
A,MIO_EUR,TOTAL,PL22	27951.68 
A,MIO_EUR,TOTAL,PL41	21571.67 
A,MIO_EUR,TOTAL,PL42	7812.8 
A,MIO_EUR,TOTAL,PL43	4812.28 
A,MIO_EUR,TOTAL,PL51	19631.56 
A,MIO_EUR,TOTAL,PL52	4666.39 
A,MIO_EUR,TOTAL,PL61	9568.69 
A,MIO_EUR,TOTAL,PL62	5784.85 
A,MIO_EUR,TOTAL,PL63	13621.09 
A,MIO_EUR,TOTAL,PL71	13285.29 
A,MIO_EUR,TOTAL,PL72	4966.49 
A,MIO_EUR,TOTAL,PL81	8332.17 
A,MIO_EUR,TOTAL,PL82	9139.14 
A,MIO_EUR,TOTAL,PL84	5090.69 
A,MIO_EUR,TOTAL,PL91	40205.03 
A,MIO_EUR,TOTAL,PL92	9845.57 
A,MIO_EUR,TOTAL,PT11	32099.03 
A,MIO_EUR,TOTAL,PT15	3929.86 
A,MIO_EUR,TOTAL,PT16	18743.55 
A,MIO_EUR,TOTAL,PT17	38907.09 
A,MIO_EUR,TOTAL,PT18	5859.27 
A,MIO_EUR,TOTAL,PT20	2147.72 
A,MIO_EUR,TOTAL,PT30	2319.66 
A,MIO_EUR,TOTAL,PTZZ	91.61 
A,MIO_EUR,TOTAL,RO11	11577.34 
A,MIO_EUR,TOTAL,RO12	10416.23 
A,MIO_EUR,TOTAL,RO21	9197.09 
A,MIO_EUR,TOTAL,RO22	8551.7 
A,MIO_EUR,TOTAL,RO31	9300.7 
A,MIO_EUR,TOTAL,RO32	27009.57 
A,MIO_EUR,TOTAL,RO41	6424.14 
A,MIO_EUR,TOTAL,RO42	8721.81 
A,MIO_EUR,TOTAL,ROZZ	101.98 
A,MIO_EUR,TOTAL,RS11	9666.21 
A,MIO_EUR,TOTAL,RS12	5769.92 
