freq,nace_r2,na_item,unit,geo\TIME_PERIOD	2017 	2021 
A,TOTAL,D1_SAL_HW,EUR,AT11	25.6 	29.8 
A,TOTAL,D1_SAL_HW,EUR,AT12	28.9 	32.9 
A,TOTAL,D1_SAL_HW,EUR,AT13	32.9 	37.3 
A,TOTAL,D1_SAL_HW,EUR,AT21	28 	32.7 
A,TOTAL,D1_SAL_HW,EUR,AT22	28.6 	32.9 
A,TOTAL,D1_SAL_HW,EUR,AT31	30.3 	34.9 
A,TOTAL,D1_SAL_HW,EUR,AT32	29 	33.9 
A,TOTAL,D1_SAL_HW,EUR,AT33	28.8 	33.8 
A,TOTAL,D1_SAL_HW,EUR,AT34	31 	36.1 
A,TOTAL,D1_SAL_HW,EUR,ATZZ	32.7 	38.5 
A,TOTAL,D1_SAL_HW,EUR,BE10	45.5 	50.1 
A,TOTAL,D1_SAL_HW,EUR,BE21	39.1 	43 
A,TOTAL,D1_SAL_HW,EUR,BE22	34.2 	37.6 
A,TOTAL,D1_SAL_HW,EUR,BE23	36.6 	40.2 
A,TOTAL,D1_SAL_HW,EUR,BE24	42.4 	46.7 
A,TOTAL,D1_SAL_HW,EUR,BE25	33.8 	37.1 
A,TOTAL,D1_SAL_HW,EUR,BE31	41.8 	46 
A,TOTAL,D1_SAL_HW,EUR,BE32	35.5 	37.7 
A,TOTAL,D1_SAL_HW,EUR,BE33	35.7 	38.8 
A,TOTAL,D1_SAL_HW,EUR,BE34	33 	35.8 
A,TOTAL,D1_SAL_HW,EUR,BE35	35.8 	38.4 
A,TOTAL,D1_SAL_HW,EUR,BEZZ	47.7 	49.2 
A,TOTAL,D1_SAL_HW,EUR,BG31	4.1 	6 
A,TOTAL,D1_SAL_HW,EUR,BG32	4.1 	6 
A,TOTAL,D1_SAL_HW,EUR,BG33	4.6 	6.5 
A,TOTAL,D1_SAL_HW,EUR,BG34	4.6 	6.3 
A,TOTAL,D1_SAL_HW,EUR,BG41	6.5 	9 
A,TOTAL,D1_SAL_HW,EUR,BG42	4.1 	6.1 
A,TOTAL,D1_SAL_HW,EUR,CY00	14 	15.4 
A,TOTAL,D1_SAL_HW,EUR,CZ01	15.7 	19.9 
A,TOTAL,D1_SAL_HW,EUR,CZ02	9.7 	13.6 
A,TOTAL,D1_SAL_HW,EUR,CZ03	9.6 	12.2 
A,TOTAL,D1_SAL_HW,EUR,CZ04	8.2 	10.9 
A,TOTAL,D1_SAL_HW,EUR,CZ05	9.3 	12.4 
A,TOTAL,D1_SAL_HW,EUR,CZ06	9.9 	13.3 
A,TOTAL,D1_SAL_HW,EUR,CZ07	9.1 	12.1 
A,TOTAL,D1_SAL_HW,EUR,CZ08	9.4 	12.7 
A,TOTAL,D1_SAL_HW,EUR,DE11	37.6 	40.7 e
A,TOTAL,D1_SAL_HW,EUR,DE12	34.3 	38.4 e
A,TOTAL,D1_SAL_HW,EUR,DE13	31.1 	34.8 e
A,TOTAL,D1_SAL_HW,EUR,DE14	32.9 	36.6 e
A,TOTAL,D1_SAL_HW,EUR,DE21	38.1 	42.4 e
A,TOTAL,D1_SAL_HW,EUR,DE22	30.5 	33.5 e
A,TOTAL,D1_SAL_HW,EUR,DE23	31.6 	34.7 e
A,TOTAL,D1_SAL_HW,EUR,DE24	30.6 	33.9 e
A,TOTAL,D1_SAL_HW,EUR,DE25	34.4 	37.8 e
A,TOTAL,D1_SAL_HW,EUR,DE26	31.5 	35 e
A,TOTAL,D1_SAL_HW,EUR,DE27	31.8 	35 e
A,TOTAL,D1_SAL_HW,EUR,DE30	31.8 	38.4 p
A,TOTAL,D1_SAL_HW,EUR,DE40	25.6 	29.9 p
A,TOTAL,D1_SAL_HW,EUR,DE50	33.6 	36.6 p
A,TOTAL,D1_SAL_HW,EUR,DE60	36.3 	41 p
A,TOTAL,D1_SAL_HW,EUR,DE71	37.1 	41.6 e
A,TOTAL,D1_SAL_HW,EUR,DE72	32.1 	35.7 e
A,TOTAL,D1_SAL_HW,EUR,DE73	32.5 	36.1 e
A,TOTAL,D1_SAL_HW,EUR,DE80	24.4 	28.6 p
A,TOTAL,D1_SAL_HW,EUR,DE91	33.9 	37.7 e
A,TOTAL,D1_SAL_HW,EUR,DE92	30.8 	34.9 e
A,TOTAL,D1_SAL_HW,EUR,DE93	27 	30.6 e
A,TOTAL,D1_SAL_HW,EUR,DE94	27.2 	30.7 e
A,TOTAL,D1_SAL_HW,EUR,DEA1	33.6 	37.3 e
A,TOTAL,D1_SAL_HW,EUR,DEA2	33.5 	37.5 e
A,TOTAL,D1_SAL_HW,EUR,DEA3	29.9 	33.3 e
A,TOTAL,D1_SAL_HW,EUR,DEA4	30.1 	33.6 e
A,TOTAL,D1_SAL_HW,EUR,DEA5	30.9 	34.1 e
A,TOTAL,D1_SAL_HW,EUR,DEB1	29 	32.6 e
A,TOTAL,D1_SAL_HW,EUR,DEB2	28 	31.6 e
A,TOTAL,D1_SAL_HW,EUR,DEB3	32.2 	35.8 e
