freq,unit,iccs,geo\TIME_PERIOD	2017 	2021 
A,P_HTHAB,ICCS0101,AL	1.81 	2.16 
A,P_HTHAB,ICCS0101,AL0	1.81 	2.16 
A,P_HTHAB,ICCS0101,AL01	2.30 	2.63 
A,P_HTHAB,ICCS0101,AL011	2.39 	3.52 
A,P_HTHAB,ICCS0101,AL012	2.11 	1.03 
A,P_HTHAB,ICCS0101,AL013	1.26 	1.34 
A,P_HTHAB,ICCS0101,AL014	2.33 	3.31 
A,P_HTHAB,ICCS0101,AL015	2.89 	4.56 
A,P_HTHAB,ICCS0101,AL02	0.96 	1.61 
A,P_HTHAB,ICCS0101,AL021	0.35 	3.38 
A,P_HTHAB,ICCS0101,AL022	1.16 	1.10 
A,P_HTHAB,ICCS0101,AL03	2.43 	2.46 
A,P_HTHAB,ICCS0101,AL031	0.00 	0.00 
A,P_HTHAB,ICCS0101,AL032	1.65 	3.50 
A,P_HTHAB,ICCS0101,AL033	3.03 	3.45 
A,P_HTHAB,ICCS0101,AL034	1.40 	0.49 
A,P_HTHAB,ICCS0101,AL035	6.36 	4.26 
A,P_HTHAB,ICCS0101,AT	0.70 	0.66 
A,P_HTHAB,ICCS0101,AT1	0.73 	0.69 
A,P_HTHAB,ICCS0101,AT11	0.69 	1.01 
A,P_HTHAB,ICCS0101,AT111	0.00 	0.00 
A,P_HTHAB,ICCS0101,AT112	0.00 	1.24 
A,P_HTHAB,ICCS0101,AT113	2.05 	1.03 
A,P_HTHAB,ICCS0101,AT12	0.72 	0.59 
A,P_HTHAB,ICCS0101,AT121	0.00 	0.40 
A,P_HTHAB,ICCS0101,AT122	0.39 	0.38 
A,P_HTHAB,ICCS0101,AT123	3.25 	1.91 
A,P_HTHAB,ICCS0101,AT124	0.91 	0.00 
A,P_HTHAB,ICCS0101,AT125	0.80 	2.39 
A,P_HTHAB,ICCS0101,AT126	0.31 	0.30 
A,P_HTHAB,ICCS0101,AT127	0.59 	0.29 
A,P_HTHAB,ICCS0101,AT13	0.75 	0.73 
A,P_HTHAB,ICCS0101,AT130	0.75 	0.73 
A,P_HTHAB,ICCS0101,AT2	0.61 	0.61 
A,P_HTHAB,ICCS0101,AT21	0.36 	0.71 
A,P_HTHAB,ICCS0101,AT211	0.35 	0.69 
A,P_HTHAB,ICCS0101,AT212	0.00 	1.62 
A,P_HTHAB,ICCS0101,AT213	0.66 	0.00 
A,P_HTHAB,ICCS0101,AT22	0.73 	0.56 
A,P_HTHAB,ICCS0101,AT221	1.15 	1.11 
A,P_HTHAB,ICCS0101,AT222	1.25 	0.00 
A,P_HTHAB,ICCS0101,AT223	0.62 	0.00 
A,P_HTHAB,ICCS0101,AT224	0.38 	0.38 
A,P_HTHAB,ICCS0101,AT225	0.00 	0.51 
A,P_HTHAB,ICCS0101,AT226	0.99 	0.00 
A,P_HTHAB,ICCS0101,AT3	0.70 	0.65 
A,P_HTHAB,ICCS0101,AT31	0.34 	0.53 
A,P_HTHAB,ICCS0101,AT311	0.00 	0.00 
A,P_HTHAB,ICCS0101,AT312	0.34 	0.67 
A,P_HTHAB,ICCS0101,AT313	0.48 	0.48 
A,P_HTHAB,ICCS0101,AT314	0.65 	1.28 
A,P_HTHAB,ICCS0101,AT315	0.42 	0.42 
A,P_HTHAB,ICCS0101,AT32	0.91 	0.54 
A,P_HTHAB,ICCS0101,AT321	0.00 	0.00 
A,P_HTHAB,ICCS0101,AT322	0.00 	0.00 
A,P_HTHAB,ICCS0101,AT323	1.38 	0.81 
A,P_HTHAB,ICCS0101,AT33	0.40 	1.05 
A,P_HTHAB,ICCS0101,AT331	0.00 	3.03 
A,P_HTHAB,ICCS0101,AT332	0.65 	0.96 
A,P_HTHAB,ICCS0101,AT333	0.00 	0.00 
A,P_HTHAB,ICCS0101,AT334	0.00 	1.90 
A,P_HTHAB,ICCS0101,AT335	0.39 	0.77 
A,P_HTHAB,ICCS0101,AT34	2.32 	0.50 
A,P_HTHAB,ICCS0101,AT341	5.50 	1.08 
A,P_HTHAB,ICCS0101,AT342	1.34 	0.33 
A,P_HTHAB,ICCS0101,BA	0.97 	: 
A,P_HTHAB,ICCS0101,BE	1.74 	1.33 
A,P_HTHAB,ICCS0101,BE1	2.25 	1.71 
A,P_HTHAB,ICCS0101,BE10	2.25 	1.71 
A,P_HTHAB,ICCS0101,BE100	2.25 	1.71 
A,P_HTHAB,ICCS0101,BE2	1.18 	0.86 
A,P_HTHAB,ICCS0101,BE21	1.58 	0.85 
A,P_HTHAB,ICCS0101,BE211	1.73 	1.04 
A,P_HTHAB,ICCS0101,BE212	0.88 	0.57 
A,P_HTHAB,ICCS0101,BE213	1.75 	0.64 
A,P_HTHAB,ICCS0101,BE22	0.92 	0.57 
A,P_HTHAB,ICCS0101,BE223	1.97 	1.46 
A,P_HTHAB,ICCS0101,BE224	0.72 	0.24 
A,P_HTHAB,ICCS0101,BE225	0.40 	0.39 
A,P_HTHAB,ICCS0101,BE23	0.73 	1.04 
A,P_HTHAB,ICCS0101,BE231	0.00 	0.34 
A,P_HTHAB,ICCS0101,BE232	1.50 	0.49 
A,P_HTHAB,ICCS0101,BE233	1.19 	1.15 
A,P_HTHAB,ICCS0101,BE234	1.26 	1.59 
A,P_HTHAB,ICCS0101,BE235	0.00 	0.80 
A,P_HTHAB,ICCS0101,BE236	0.00 	1.17 
A,P_HTHAB,ICCS0101,BE24	1.06 	1.12 
A,P_HTHAB,ICCS0101,BE241	1.11 	1.54 
A,P_HTHAB,ICCS0101,BE242	0.99 	0.58 
A,P_HTHAB,ICCS0101,BE25	1.43 	0.58 
A,P_HTHAB,ICCS0101,BE251	1.78 	1.06 
A,P_HTHAB,ICCS0101,BE252	1.95 	0.00 
A,P_HTHAB,ICCS0101,BE253	0.00 	0.00 
A,P_HTHAB,ICCS0101,BE254	2.08 	0.00 
A,P_HTHAB,ICCS0101,BE255	2.56 	1.26 
A,P_HTHAB,ICCS0101,BE256	0.66 	0.00 
A,P_HTHAB,ICCS0101,BE257	0.00 	2.13 
A,P_HTHAB,ICCS0101,BE258	0.00 	0.00 
A,P_HTHAB,ICCS0101,BE3	2.59 	2.07 
A,P_HTHAB,ICCS0101,BE31	0.25 	0.98 
A,P_HTHAB,ICCS0101,BE310	0.25 	0.98 
A,P_HTHAB,ICCS0101,BE32	2.09 	2.30 
A,P_HTHAB,ICCS0101,BE323	2.71 	3.47 
A,P_HTHAB,ICCS0101,BE328	1.79 	0.44 
A,P_HTHAB,ICCS0101,BE329	2.12 	2.12 
A,P_HTHAB,ICCS0101,BE32A	0.00 	0.00 
A,P_HTHAB,ICCS0101,BE32B	2.52 	3.02 
A,P_HTHAB,ICCS0101,BE32C	2.91 	4.73 
A,P_HTHAB,ICCS0101,BE32D	1.09 	1.09 
A,P_HTHAB,ICCS0101,BE33	2.71 	2.96 
A,P_HTHAB,ICCS0101,BE331	3.54 	3.49 
A,P_HTHAB,ICCS0101,BE332	2.88 	3.51 
A,P_HTHAB,ICCS0101,BE334	1.24 	2.43 
A,P_HTHAB,ICCS0101,BE335	3.33 	1.90 
A,P_HTHAB,ICCS0101,BE336	0.00 	1.27 
A,P_HTHAB,ICCS0101,BE34	1.41 	0.69 
A,P_HTHAB,ICCS0101,BE341	1.60 	0.00 
A,P_HTHAB,ICCS0101,BE342	0.00 	1.98 
A,P_HTHAB,ICCS0101,BE343	3.52 	0.00 
A,P_HTHAB,ICCS0101,BE344	0.00 	1.54 
A,P_HTHAB,ICCS0101,BE345	1.87 	0.00 
A,P_HTHAB,ICCS0101,BE35	6.27 	1.20 
A,P_HTHAB,ICCS0101,BE351	2.69 	0.88 
A,P_HTHAB,ICCS0101,BE352	7.93 	1.25 
A,P_HTHAB,ICCS0101,BE353	4.45 	1.48 
A,P_HTHAB,ICCS0101,BEZ	: 	0.00 
A,P_HTHAB,ICCS0101,BEZZ	: 	0.00 
A,P_HTHAB,ICCS0101,BEZZZ	: 	0.00 
A,P_HTHAB,ICCS0101,BG	1.34 	1.29 
A,P_HTHAB,ICCS0101,BG3	1.49 	1.63 
A,P_HTHAB,ICCS0101,BG31	2.47 	2.08 
A,P_HTHAB,ICCS0101,BG311	2.25 	1.23 
A,P_HTHAB,ICCS0101,BG312	1.49 	2.39 
