freq,unit,geo\TIME_PERIOD	2017 	2021 
A,PC_EMP,AT11	: u	: bu
A,PC_EMP,AT12	3.6 	2.9 b
A,PC_EMP,AT13	7.8 	7.8 b
A,PC_EMP,AT21	2.7 	2.6 b
A,PC_EMP,AT22	2.8 	3.2 b
A,PC_EMP,AT31	2.9 	2.3 b
A,PC_EMP,AT32	3.6 	4.5 b
A,PC_EMP,AT33	3.8 	3.1 b
A,PC_EMP,AT34	3.6 	3.3 b
A,PC_EMP,BE10	7.8 b	8.8 b
A,PC_EMP,BE21	4.2 b	4.8 b
A,PC_EMP,BE22	2.4 b	2.6 b
A,PC_EMP,BE23	4.5 b	4.2 b
A,PC_EMP,BE24	3.7 b	3.5 b
A,PC_EMP,BE25	3.1 b	2.6 b
A,PC_EMP,BE31	7.7 b	6.0 b
A,PC_EMP,BE32	3.6 b	3.3 b
A,PC_EMP,BE33	3.8 b	4.5 b
A,PC_EMP,BE34	3.6 bu	3.0 bu
A,PC_EMP,BE35	2.9 b	4.0 b
A,PC_EMP,BG31	1.4 u	1.8 bu
A,PC_EMP,BG32	2.4 	2.1 bu
A,PC_EMP,BG33	1.8 	2.1 b
A,PC_EMP,BG34	1.9 	1.7 b
A,PC_EMP,BG41	4.4 	4.9 b
A,PC_EMP,BG42	1.8 	2.2 b
A,PC_EMP,CH01	5.8 	5.4 b
A,PC_EMP,CH02	4.6 	4.0 b
A,PC_EMP,CH03	5.2 	5.1 b
A,PC_EMP,CH04	6.9 	6.3 b
A,PC_EMP,CH05	4.1 	3.8 b
A,PC_EMP,CH06	4.5 	4.1 b
A,PC_EMP,CH07	5.7 	5.7 b
A,PC_EMP,CY00	3.5 	3.5 b
A,PC_EMP,CZ01	8.8 	9.3 b
A,PC_EMP,CZ02	4.1 	4.4 b
A,PC_EMP,CZ03	2.3 	3.2 b
A,PC_EMP,CZ04	3.2 	3.1 b
A,PC_EMP,CZ05	3.4 	2.8 b
A,PC_EMP,CZ06	3.6 	2.9 b
A,PC_EMP,CZ07	2.6 	2.7 b
A,PC_EMP,CZ08	2.6 	3.3 b
A,PC_EMP,DE11	4.1 	3.6 b
A,PC_EMP,DE12	4.1 	3.6 b
A,PC_EMP,DE13	3.6 	3.7 b
A,PC_EMP,DE14	3.0 	3.2 b
A,PC_EMP,DE21	5.6 	5.7 b
A,PC_EMP,DE22	2.2 	3.0 bu
A,PC_EMP,DE23	3.1 	2.5 bu
A,PC_EMP,DE24	2.6 	3.3 bu
A,PC_EMP,DE25	3.4 	3.4 b
A,PC_EMP,DE26	3.2 	3.3 bu
A,PC_EMP,DE27	3.6 	3.1 b
A,PC_EMP,DE30	10.2 	10.3 b
A,PC_EMP,DE40	3.0 	2.6 b
A,PC_EMP,DE50	4.3 	4.8 bu
A,PC_EMP,DE60	8.2 	8.7 b
A,PC_EMP,DE71	4.5 	4.3 b
A,PC_EMP,DE72	3.0 	3.5 bu
A,PC_EMP,DE73	3.8 	2.5 bu
A,PC_EMP,DE80	2.6 	2.2 bu
A,PC_EMP,DE91	3.1 	2.9 bu
A,PC_EMP,DE92	3.3 	3.4 b
A,PC_EMP,DE93	3.0 	3.2 b
A,PC_EMP,DE94	2.5 	2.7 b
A,PC_EMP,DEA1	3.6 	3.7 b
A,PC_EMP,DEA2	4.9 	4.8 b
A,PC_EMP,DEA3	2.7 	3.0 b
A,PC_EMP,DEA4	3.9 	3.4 b
A,PC_EMP,DEA5	2.9 	2.9 b
A,PC_EMP,DEB1	3.0 	3.0 bu
A,PC_EMP,DEB2	3.0 	: bu
A,PC_EMP,DEB3	3.6 	3.4 b
A,PC_EMP,DEC0	2.8 	: bu
A,PC_EMP,DED2	4.1 	3.4 b
A,PC_EMP,DED4	2.6 	2.6 bu
A,PC_EMP,DED5	5.0 	4.8 bu
A,PC_EMP,DEE0	2.3 	2.5 bu
A,PC_EMP,DEF0	3.5 	3.0 b
A,PC_EMP,DEG0	2.9 	2.8 b
A,PC_EMP,DK01	6.0 b	7.0 b
A,PC_EMP,DK02	3.1 b	2.9 b
A,PC_EMP,DK03	3.0 b	3.3 b
A,PC_EMP,DK04	4.6 b	3.8 b
A,PC_EMP,DK05	3.1 b	3.1 b
A,PC_EMP,EE00	5.4 	4.9 b
A,PC_EMP,EL30	5.0 	5.6 b
A,PC_EMP,EL41	2.7 u	2.5 bu
A,PC_EMP,EL42	1.8 u	3.1 b
A,PC_EMP,EL43	2.3 	2.2 b
A,PC_EMP,EL51	1.7 	2.4 b
A,PC_EMP,EL52	3.2 	3.1 b
A,PC_EMP,EL53	1.9 u	1.6 bu
A,PC_EMP,EL54	2.9 u	1.6 bu
A,PC_EMP,EL61	2.6 	2.5 b
A,PC_EMP,EL62	1.9 u	: bu
A,PC_EMP,EL63	2.0 	1.9 b
A,PC_EMP,EL64	1.5 u	1.8 bu
A,PC_EMP,EL65	1.7 u	2.6 b
A,PC_EMP,FI19	4.2 	4.2 b
A,PC_EMP,FI1B	6.3 	6.5 b
A,PC_EMP,FI1C	3.9 	3.4 b
A,PC_EMP,FI1D	3.5 	3.3 b
A,PC_EMP,FI20	: u	: bu
A,PC_EMP,FR10	6.4 	7.0 bd
A,PC_EMP,FRB0	1.8 	2.3 bd
A,PC_EMP,FRC1	2.7 	2.6 bd
A,PC_EMP,FRC2	2.4 	2.7 bd
A,PC_EMP,FRD1	2.4 	3.0 bd
A,PC_EMP,FRD2	2.2 	2.6 bd
A,PC_EMP,FRE1	2.0 	1.8 bd
A,PC_EMP,FRE2	2.1 	3.2 bd
A,PC_EMP,FRF1	3.2 	3.4 bd
A,PC_EMP,FRF2	1.8 u	2.0 bd
A,PC_EMP,FRF3	1.8 	1.9 bd
A,PC_EMP,FRG0	3.4 	3.1 bd
A,PC_EMP,FRH0	2.7 	2.6 bd
A,PC_EMP,FRI1	3.3 	4.3 bd
A,PC_EMP,FRI2	2.3 u	3.7 bd
A,PC_EMP,FRI3	2.0 	3.3 bd
A,PC_EMP,FRJ1	3.2 	4.3 bd
A,PC_EMP,FRJ2	3.1 	2.9 bd
A,PC_EMP,FRK1	2.8 	2.7 bd
A,PC_EMP,FRK2	3.1 	4.0 bd
A,PC_EMP,FRL0	3.8 	3.9 bd
A,PC_EMP,HR02	1.2 u	2.1 bu
A,PC_EMP,HR03	3.5 	3.3 b
A,PC_EMP,HR05	7.2 	5.6 b
A,PC_EMP,HR06	2.6 u	2.5 bu
A,PC_EMP,HU11	7.3 	7.8 b
A,PC_EMP,HU12	3.1 	3.6 b
A,PC_EMP,HU21	2.1 	2.4 b
A,PC_EMP,HU22	2.5 	2.8 b
A,PC_EMP,HU23	1.9 	2.1 b
A,PC_EMP,HU31	2.5 	2.4 b
A,PC_EMP,HU32	2.0 	2.0 b
A,PC_EMP,HU33	2.5 	2.6 b
A,PC_EMP,IE04	2.4 b	2.3 b
A,PC_EMP,IE05	2.7 b	2.5 b
A,PC_EMP,IE06	4.4 b	3.7 b
A,PC_EMP,IS00	5.9 	5.8 b
A,PC_EMP,ITC1	4.0 b	3.5 b
A,PC_EMP,ITC2	3.4 bu	2.9 bu
A,PC_EMP,ITC3	3.2 b	2.7 b
A,PC_EMP,ITC4	4.1 b	4.0 b
A,PC_EMP,ITF1	2.6 b	2.5 b
A,PC_EMP,ITF2	2.5 b	2.2 bu
A,PC_EMP,ITF3	2.7 b	2.6 b
A,PC_EMP,ITF4	2.3 b	1.8 b
A,PC_EMP,ITF5	2.3 b	2.9 b
