freq,unit,direct,na_item,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PPS_EU27_2020_HAB,BAL,B6N,AT11	13700 	13800 	14300 	15200 	16100 	17300 	18100 	18900 	19200 	18900 	19200 	19300 	19800 b	19500 	19700 	20100 	20500 	21000 	21500 	21700 	21700 	23100 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,AT12	15100 	15000 	15400 	16200 	16800 	18000 	18900 	19800 	20200 	19900 	20200 	20500 	20500 b	20300 	20500 	20600 	21100 	21200 	21800 	22000 	21800 	23100 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,AT13	16500 	16200 	16500 	17100 	17400 	18400 	19100 	19800 	20100 	19800 	19800 	20000 	19500 b	19100 	19100 	19000 	19200 	19200 	19500 	19800 	19400 	20500 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,AT21	13800 	13800 	14200 	15100 	15600 	16900 	17600 	18400 	18700 	18500 	18700 	18900 	19000 b	18800 	19000 	19100 	19600 	19900 	20400 	20600 	20400 	21700 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,AT22	14100 	14000 	14400 	15200 	15700 	16900 	17700 	18600 	19100 	18700 	18900 	19200 	19200 b	19100 	19300 	19400 	19800 	20200 	20700 	21000 	20800 	22000 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,AT31	14500 	14400 	14800 	15600 	16200 	17500 	18400 	19100 	19600 	19300 	19400 	19700 	19800 b	19600 	19800 	19800 	20200 	20600 	21100 	21400 	21100 	22400 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,AT32	14800 	14600 	15100 	15900 	16400 	17700 	18500 	19300 	19800 	19600 	19600 	19900 	19900 b	19800 	20000 	20100 	20600 	20900 	21400 	21600 	21200 	22200 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,AT33	14200 	14100 	14700 	15500 	16000 	17200 	17900 	18600 	19000 	18700 	18700 	19100 	19200 b	19100 	19200 	19300 	19800 	20100 	20600 	21000 	20600 	21700 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,AT34	15300 	15000 	15500 	16300 	16700 	18000 	19000 	19700 	20000 	19700 	19800 	20300 	20400 b	20400 	20600 	20800 	21200 	21400 	21800 	22200 	21900 	23000 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,BE10	13300 	13800 	13800 	13800 	13900 	14100 	14600 	15300 	15700 	15400 	15400 	15300 	15400 	15500 	15500 	15600 	16100 	16200 	17200 	17500 	18000 	18600 	19400 p
A,PPS_EU27_2020_HAB,BAL,B6N,BE21	13700 	14400 	14700 	14600 	14900 	15400 	16000 	16500 	17300 	17100 	17200 	17300 	17600 	17700 	17900 	18100 	18200 	18600 	18900 	19600 	20100 	20800 	22000 p
A,PPS_EU27_2020_HAB,BAL,B6N,BE22	12600 	13200 	13400 	13400 	13600 	14300 	15000 	15500 	16200 	16100 	16200 	16600 	16900 	17000 	17200 	17300 	17500 	17900 	18300 	19000 	19500 	20400 	21500 p
A,PPS_EU27_2020_HAB,BAL,B6N,BE23	13900 	14500 	14800 	14700 	15000 	15600 	16300 	17000 	17800 	17500 	17600 	18000 	18300 	18400 	18700 	19000 	19000 	19600 	19700 	20500 	21000 	22500 	23800 p
A,PPS_EU27_2020_HAB,BAL,B6N,BE24	15600 	16300 	16700 	16700 	16800 	17400 	18100 	18900 	19500 	19100 	19100 	19500 	19800 	19800 	20100 	20300 	20400 	21000 	21400 	22000 	22400 	23400 	24800 p
A,PPS_EU27_2020_HAB,BAL,B6N,BE25	13300 	13900 	14100 	14000 	14400 	14900 	15600 	16400 	17200 	17000 	17100 	17500 	17900 	18100 	18400 	18600 	18500 	19300 	19300 	20200 	20600 	21400 	22900 p
A,PPS_EU27_2020_HAB,BAL,B6N,BE31	15100 	15700 	15900 	15800 	16000 	16400 	17100 	17600 	18100 	17800 	17900 	18400 	18800 	18700 	19000 	19000 	18900 	19500 	20900 	20800 	21300 	22200 	23100 p
A,PPS_EU27_2020_HAB,BAL,B6N,BE32	11400 	11800 	12100 	12000 	12200 	12600 	13100 	13600 	14300 	14100 	14200 	14600 	14900 	14900 	15100 	15000 	15100 	15400 	16000 	16500 	17000 	17600 	18300 p
A,PPS_EU27_2020_HAB,BAL,B6N,BE33	11800 	12300 	12600 	12500 	12800 	13200 	13500 	14000 	14600 	14600 	14500 	14900 	15200 	15300 	15500 	15600 	15700 	16000 	16400 	17100 	17700 	18200 	19100 p
A,PPS_EU27_2020_HAB,BAL,B6N,BE34	11700 	12400 	12600 	12900 	12900 	13800 	14100 	14400 	14900 	14600 	14800 	15100 	15400 	15600 	15900 	16200 	16300 	17000 	17400 	18000 	18700 	19400 	20600 p
A,PPS_EU27_2020_HAB,BAL,B6N,BE35	11900 	12400 	12700 	12500 	12800 	13300 	13900 	14400 	14900 	14600 	14800 	15200 	15600 	15700 	15900 	15900 	16000 	16400 	17200 	17500 	18100 	18800 	19400 p
A,PPS_EU27_2020_HAB,BAL,B6N,BG31	2400 	2600 	2900 	3100 	3300 	3500 	3700 	4400 	4700 	4600 	4500 	4800 	4800 	5300 	5600 	5700 	5800 	5800 	6700 	7000 	7000 	8000 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,BG32	2600 	2900 	3500 	3400 	3600 	4200 	4300 	4600 	5000 	4800 	4800 	5500 	5500 	5600 	5800 	6200 	6600 	7000 	7500 	7700 	7600 	8800 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,BG33	2700 	2700 	3100 	3400 	3700 	4100 	4400 	4500 	5000 	5000 	5000 	5600 	5900 	6200 	6500 	6700 	6500 	6500 	7500 	7400 	7200 	8200 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,BG34	2800 	2800 	3400 	3700 	3900 	4200 	4500 	4800 	5400 	5300 	5300 	6300 	5900 	6000 	6000 	6300 	6600 	7100 	7800 	7500 	7300 	7700 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,BG41	3500 	3800 	4200 	4400 	4700 	5200 	5600 	6300 	7400 	7500 	8000 	8500 	9100 	9500 	10200 	10500 	11300 	12100 	13200 	13700 	13500 	13600 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,BG42	2900 	2700 	3000 	3300 	3500 	4100 	4200 	4500 	5200 	5100 	5100 	5800 	5700 	5800 	6200 	6200 	6700 	6800 	7600 	7700 	7500 	7800 	: 
A,PPS_EU27_2020_HAB,BAL,B6N,CY00	10000 	10400 	10400 	11200 	12500 	13700 	14400 	15300 	16900 	16100 	15800 	15600 	14700 	14100 	13400 	13900 	15100 	15900 	16500 	17600 	17400 	18700 	19500 p
A,PPS_EU27_2020_HAB,BAL,B6N,CZ01	9000 	9900 	10200 	11100 	11500 	12100 	12800 	13400 	14000 	14100 	14600 	14700 	14500 	14800 	15400 	15500 	15700 	17900 	18200 	18300 	17600 	19700 	20500 
A,PPS_EU27_2020_HAB,BAL,B6N,CZ02	7100 	7700 	8100 	8700 	9000 	9400 	9900 	10600 	11000 	11600 	11700 	11800 	12400 	12100 	12500 	12600 	13200 	13600 	14300 	15000 	13800 	15300 	16400 
A,PPS_EU27_2020_HAB,BAL,B6N,CZ03	6700 	7300 	7300 	7800 	8200 	8600 	9100 	9700 	10300 	10400 	10300 	10500 	10600 	10800 	11300 	11700 	11700 	12400 	12800 	13400 	13200 	14400 	15300 
