freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y18-24,AT	7.4 	8.0 b
A,PC,T,Y18-24,AT1	8.8 	8.8 b
A,PC,T,Y18-24,AT11	: u	: bu
A,PC,T,Y18-24,AT12	8.3 	7.8 b
A,PC,T,Y18-24,AT13	9.6 	9.9 b
A,PC,T,Y18-24,AT2	4.8 	7.2 b
A,PC,T,Y18-24,AT21	: u	: bu
A,PC,T,Y18-24,AT22	4.5 u	7.9 b
A,PC,T,Y18-24,AT3	7.2 	7.3 b
A,PC,T,Y18-24,AT31	8.4 	6.5 b
A,PC,T,Y18-24,AT32	: u	: bu
A,PC,T,Y18-24,AT33	7.0 u	7.9 bu
A,PC,T,Y18-24,AT34	: u	: bu
A,PC,T,Y18-24,BA	: 	4.7 
A,PC,T,Y18-24,BE	8.9 b	6.7 b
A,PC,T,Y18-24,BE1	12.9 b	9.1 b
A,PC,T,Y18-24,BE10	12.9 b	9.1 b
A,PC,T,Y18-24,BE2	7.2 b	5.3 b
A,PC,T,Y18-24,BE21	7.7 b	6.2 b
A,PC,T,Y18-24,BE22	5.4 bu	6.8 bu
A,PC,T,Y18-24,BE23	9.4 b	6.1 b
A,PC,T,Y18-24,BE24	4.5 bu	: bu
A,PC,T,Y18-24,BE25	7.5 b	5.1 bu
A,PC,T,Y18-24,BE3	10.5 b	8.3 b
A,PC,T,Y18-24,BE31	: bu	: bu
A,PC,T,Y18-24,BE32	12.2 b	11.4 b
A,PC,T,Y18-24,BE33	11.3 b	7.4 b
A,PC,T,Y18-24,BE34	: bu	9.1 bu
A,PC,T,Y18-24,BE35	11.7 b	6.3 bu
A,PC,T,Y18-24,BG	12.7 	12.0 b
A,PC,T,Y18-24,BG3	17.4 	16.4 b
A,PC,T,Y18-24,BG31	21.6 	19.2 bu
A,PC,T,Y18-24,BG32	14.3 	10.0 bu
A,PC,T,Y18-24,BG33	12.7 	14.4 bu
A,PC,T,Y18-24,BG34	22.0 	21.4 b
A,PC,T,Y18-24,BG4	8.7 	8.5 b
A,PC,T,Y18-24,BG41	4.7 	6.6 b
A,PC,T,Y18-24,BG42	15.9 	12.1 b
A,PC,T,Y18-24,CH	4.5 	5.1 b
A,PC,T,Y18-24,CH0	4.5 	5.1 b
A,PC,T,Y18-24,CH01	6.9 	6.8 b
A,PC,T,Y18-24,CH02	3.9 	6.1 b
A,PC,T,Y18-24,CH03	4.4 u	6.0 bu
A,PC,T,Y18-24,CH04	3.7 u	3.9 bu
A,PC,T,Y18-24,CH05	3.5 u	3.0 bu
A,PC,T,Y18-24,CH06	3.6 u	3.2 bu
A,PC,T,Y18-24,CH07	4.5 u	: bu
A,PC,T,Y18-24,CY	8.5 	10.2 b
A,PC,T,Y18-24,CY0	8.5 	10.2 b
A,PC,T,Y18-24,CY00	8.5 	10.2 b
A,PC,T,Y18-24,CZ	6.7 	6.4 b
A,PC,T,Y18-24,CZ0	6.7 	6.4 b
A,PC,T,Y18-24,CZ01	1.6 u	0.8 bu
A,PC,T,Y18-24,CZ02	6.6 	6.3 b
A,PC,T,Y18-24,CZ03	7.6 	8.6 b
A,PC,T,Y18-24,CZ04	15.6 	14.1 b
A,PC,T,Y18-24,CZ05	6.0 	5.6 b
A,PC,T,Y18-24,CZ06	4.6 	3.8 b
A,PC,T,Y18-24,CZ07	6.4 	5.8 b
A,PC,T,Y18-24,CZ08	6.6 	7.5 b
A,PC,T,Y18-24,DE	10.1 	12.5 b
A,PC,T,Y18-24,DE1	8.7 	11.8 b
A,PC,T,Y18-24,DE11	8.6 	11.6 b
A,PC,T,Y18-24,DE12	9.0 	10.7 bu
A,PC,T,Y18-24,DE13	9.9 	11.8 bu
A,PC,T,Y18-24,DE14	6.7 	13.7 bu
A,PC,T,Y18-24,DE2	7.1 	9.6 b
A,PC,T,Y18-24,DE21	6.7 	8.6 b
A,PC,T,Y18-24,DE22	5.4 	: bu
A,PC,T,Y18-24,DE23	: u	: bu
A,PC,T,Y18-24,DE24	6.8 	: bu
A,PC,T,Y18-24,DE25	9.3 	15.1 bu
A,PC,T,Y18-24,DE26	7.5 	11.6 bu
A,PC,T,Y18-24,DE27	8.3 	9.5 bu
A,PC,T,Y18-24,DE3	13.2 	11.0 b
A,PC,T,Y18-24,DE30	13.2 	11.0 b
A,PC,T,Y18-24,DE4	12.4 	16.5 bu
A,PC,T,Y18-24,DE40	12.4 	16.5 bu
A,PC,T,Y18-24,DE5	11.1 	: bu
A,PC,T,Y18-24,DE50	11.1 	: bu
A,PC,T,Y18-24,DE6	11.2 	10.4 bu
A,PC,T,Y18-24,DE60	11.2 	10.4 bu
A,PC,T,Y18-24,DE7	10.1 	15.0 b
A,PC,T,Y18-24,DE71	10.7 	15.5 b
A,PC,T,Y18-24,DE72	9.4 	: bu
A,PC,T,Y18-24,DE73	8.9 	16.4 bu
A,PC,T,Y18-24,DE8	9.7 	14.9 bu
A,PC,T,Y18-24,DE80	9.7 	14.9 bu
A,PC,T,Y18-24,DE9	11.3 	13.7 b
A,PC,T,Y18-24,DE91	10.5 	12.5 bu
A,PC,T,Y18-24,DE92	12.8 	12.2 bu
A,PC,T,Y18-24,DE93	12.2 	14.6 bu
A,PC,T,Y18-24,DE94	10.0 	15.1 b
A,PC,T,Y18-24,DEA	11.6 	12.8 b
A,PC,T,Y18-24,DEA1	13.6 	14.2 b
A,PC,T,Y18-24,DEA2	11.0 	10.3 b
A,PC,T,Y18-24,DEA3	10.6 	12.8 b
A,PC,T,Y18-24,DEA4	10.4 	10.5 bu
A,PC,T,Y18-24,DEA5	11.3 	15.0 b
A,PC,T,Y18-24,DEB	11.8 	14.6 b
A,PC,T,Y18-24,DEB1	12.6 	16.8 bu
