freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y15-64,AT11	75.0 	75.7 b
A,PC,T,Y15-64,AT12	78.1 	77.9 b
A,PC,T,Y15-64,AT13	73.0 	75.4 b
A,PC,T,Y15-64,AT21	74.2 	74.9 b
A,PC,T,Y15-64,AT22	75.7 	76.2 b
A,PC,T,Y15-64,AT31	79.0 	79.3 b
A,PC,T,Y15-64,AT32	78.1 	79.2 b
A,PC,T,Y15-64,AT33	77.4 	77.9 b
A,PC,T,Y15-64,AT34	79.3 	79.5 b
A,PC,T,Y15-64,BE10	66.1 b	65.5 b
A,PC,T,Y15-64,BE21	69.6 b	71.4 b
A,PC,T,Y15-64,BE22	70.0 b	70.8 b
A,PC,T,Y15-64,BE23	70.5 b	76.0 b
A,PC,T,Y15-64,BE24	71.3 b	70.7 b
A,PC,T,Y15-64,BE25	72.4 b	74.6 b
A,PC,T,Y15-64,BE31	69.9 b	70.6 b
A,PC,T,Y15-64,BE32	61.3 b	62.3 b
A,PC,T,Y15-64,BE33	62.7 b	65.9 b
A,PC,T,Y15-64,BE34	69.1 b	70.6 b
A,PC,T,Y15-64,BE35	65.9 b	65.7 b
A,PC,T,Y15-64,BG31	65.4 	67.4 b
A,PC,T,Y15-64,BG32	68.5 	71.5 b
A,PC,T,Y15-64,BG33	72.2 	72.7 b
A,PC,T,Y15-64,BG34	70.8 	70.5 b
A,PC,T,Y15-64,BG41	74.6 	76.6 b
A,PC,T,Y15-64,BG42	70.7 	69.2 b
A,PC,T,Y15-64,CH01	79.4 	78.2 b
A,PC,T,Y15-64,CH02	85.6 	85.6 b
A,PC,T,Y15-64,CH03	83.9 	84.5 b
A,PC,T,Y15-64,CH04	85.5 	85.9 b
A,PC,T,Y15-64,CH05	85.7 	86.2 b
A,PC,T,Y15-64,CH06	86.1 	86.9 b
A,PC,T,Y15-64,CH07	78.5 	77.1 b
A,PC,T,Y15-64,CY00	73.9 	76.7 b
A,PC,T,Y15-64,CZ01	79.6 	79.5 b
