freq,nace_r2,unit,sex,geo\TIME_PERIOD	2017 	2021 
A,HTC,PC_EMP,T,AT11	3.2 u	2.8 bu
A,HTC,PC_EMP,T,AT12	4.9 	4.1 b
A,HTC,PC_EMP,T,AT13	6.8 	7.9 b
A,HTC,PC_EMP,T,AT21	4.2 	5.3 b
A,HTC,PC_EMP,T,AT22	3.9 	3.6 b
A,HTC,PC_EMP,T,AT31	3.1 	3.4 b
A,HTC,PC_EMP,T,AT32	2.9 	2.8 b
A,HTC,PC_EMP,T,AT33	3.5 	3.8 b
A,HTC,PC_EMP,T,AT34	2.7 u	3.0 bu
A,HTC,PC_EMP,T,BE10	6.1 b	7.6 b
A,HTC,PC_EMP,T,BE21	5.5 b	5.9 b
A,HTC,PC_EMP,T,BE22	3.0 b	4.6 b
A,HTC,PC_EMP,T,BE23	4.6 b	5.8 b
A,HTC,PC_EMP,T,BE24	7.0 b	7.5 b
A,HTC,PC_EMP,T,BE25	2.8 b	3.3 b
A,HTC,PC_EMP,T,BE31	6.7 b	9.9 b
A,HTC,PC_EMP,T,BE32	3.2 b	5.1 b
A,HTC,PC_EMP,T,BE33	2.4 b	4.4 b
A,HTC,PC_EMP,T,BE34	3.5 bu	4.3 b
A,HTC,PC_EMP,T,BE35	5.5 b	6.3 b
A,HTC,PC_EMP,T,BG31	2.3 u	1.6 bu
A,HTC,PC_EMP,T,BG32	1.3 u	2.7 b
A,HTC,PC_EMP,T,BG33	1.9 	1.5 bu
A,HTC,PC_EMP,T,BG34	1.2 u	1.1 bu
A,HTC,PC_EMP,T,BG41	7.6 	8.9 b
A,HTC,PC_EMP,T,BG42	1.8 	3.2 b
A,HTC,PC_EMP,T,CH01	5.5 	5.1 b
A,HTC,PC_EMP,T,CH02	7.1 	6.8 b
A,HTC,PC_EMP,T,CH03	7.9 	8.1 b
A,HTC,PC_EMP,T,CH04	7.2 	8.5 b
A,HTC,PC_EMP,T,CH05	4.3 	4.7 b
A,HTC,PC_EMP,T,CH06	5.9 	5.3 b
A,HTC,PC_EMP,T,CH07	4.4 	4.3 b
A,HTC,PC_EMP,T,CY00	3.1 	4.0 b
A,HTC,PC_EMP,T,CZ01	9.2 	13.2 b
A,HTC,PC_EMP,T,CZ02	4.7 	5.7 b
A,HTC,PC_EMP,T,CZ03	3.8 	3.9 b
A,HTC,PC_EMP,T,CZ04	1.8 	2.9 b
A,HTC,PC_EMP,T,CZ05	4.9 	4.3 b
A,HTC,PC_EMP,T,CZ06	4.6 	5.8 b
A,HTC,PC_EMP,T,CZ07	3.8 	3.9 b
A,HTC,PC_EMP,T,CZ08	3.7 	4.5 b
A,HTC,PC_EMP,T,DE11	4.5 	6.3 b
A,HTC,PC_EMP,T,DE12	5.6 	8.0 b
A,HTC,PC_EMP,T,DE13	5.6 	6.0 b
A,HTC,PC_EMP,T,DE14	5.1 	6.0 b
A,HTC,PC_EMP,T,DE21	6.9 	9.4 b
A,HTC,PC_EMP,T,DE22	2.6 	3.5 b
A,HTC,PC_EMP,T,DE23	5.3 	6.8 b
A,HTC,PC_EMP,T,DE24	2.5 	3.7 bu
A,HTC,PC_EMP,T,DE25	5.0 	7.2 b
A,HTC,PC_EMP,T,DE26	2.9 	3.9 b
A,HTC,PC_EMP,T,DE27	3.5 	3.6 b
A,HTC,PC_EMP,T,DE30	7.2 	10.4 b
A,HTC,PC_EMP,T,DE40	2.9 	3.5 b
A,HTC,PC_EMP,T,DE50	3.6 	4.9 bu
A,HTC,PC_EMP,T,DE60	5.5 	7.2 b
A,HTC,PC_EMP,T,DE71	6.1 	6.7 b
A,HTC,PC_EMP,T,DE72	4.0 	5.0 bu
A,HTC,PC_EMP,T,DE73	2.9 	4.0 bu
A,HTC,PC_EMP,T,DE80	2.0 	2.7 bu
A,HTC,PC_EMP,T,DE91	3.2 	4.8 b
A,HTC,PC_EMP,T,DE92	3.4 	4.4 b
A,HTC,PC_EMP,T,DE93	2.1 	2.7 bu
A,HTC,PC_EMP,T,DE94	1.7 	2.6 b
A,HTC,PC_EMP,T,DEA1	3.4 	4.7 b
A,HTC,PC_EMP,T,DEA2	4.9 	6.6 b
A,HTC,PC_EMP,T,DEA3	2.6 	3.1 b
A,HTC,PC_EMP,T,DEA4	3.2 	4.3 b
A,HTC,PC_EMP,T,DEA5	3.0 	3.5 b
A,HTC,PC_EMP,T,DEB1	2.5 	3.7 b
A,HTC,PC_EMP,T,DEB2	: u	: bu
A,HTC,PC_EMP,T,DEB3	4.6 	6.0 b
A,HTC,PC_EMP,T,DEC0	2.6 	3.9 bu
A,HTC,PC_EMP,T,DED2	4.8 	7.1 b
A,HTC,PC_EMP,T,DED4	2.4 	3.2 bu
A,HTC,PC_EMP,T,DED5	4.2 	5.7 b
A,HTC,PC_EMP,T,DEE0	2.3 	3.2 b
A,HTC,PC_EMP,T,DEF0	3.0 	4.4 b
A,HTC,PC_EMP,T,DEG0	3.5 	4.5 b
A,HTC,PC_EMP,T,DK01	8.6 b	10.4 b
A,HTC,PC_EMP,T,DK02	4.8 b	4.6 b
A,HTC,PC_EMP,T,DK03	2.4 b	2.3 b
A,HTC,PC_EMP,T,DK04	3.8 b	4.5 b
A,HTC,PC_EMP,T,DK05	2.5 b	2.7 b
A,HTC,PC_EMP,T,EA20	3.9 	4.8 b
A,HTC,PC_EMP,T,EE00	5.2 	6.5 b
A,HTC,PC_EMP,T,EL30	5.0 	6.1 b
A,HTC,PC_EMP,T,EL41	: u	: bu
A,HTC,PC_EMP,T,EL42	: u	: bu
A,HTC,PC_EMP,T,EL43	0.9 u	0.9 bu
A,HTC,PC_EMP,T,EL51	1.0 u	0.7 bu
A,HTC,PC_EMP,T,EL52	2.4 	2.7 b
A,HTC,PC_EMP,T,EL53	: u	: bu
A,HTC,PC_EMP,T,EL54	: u	: bu
A,HTC,PC_EMP,T,EL61	: u	0.9 bu
A,HTC,PC_EMP,T,EL62	: u	: bu
A,HTC,PC_EMP,T,EL63	1.0 u	1.7 b
A,HTC,PC_EMP,T,EL64	0.8 u	0.9 bu
A,HTC,PC_EMP,T,EL65	: u	: bu
A,HTC,PC_EMP,T,ES11	2.7 	3.2 bd
A,HTC,PC_EMP,T,ES12	3.1 	3.7 bd
A,HTC,PC_EMP,T,ES13	3.4 	2.3 bd
A,HTC,PC_EMP,T,ES21	3.8 	4.7 bd
A,HTC,PC_EMP,T,ES22	1.8 	2.6 bd
A,HTC,PC_EMP,T,ES23	1.4 u	1.8 bdu
A,HTC,PC_EMP,T,ES24	2.4 	2.5 bd
