freq,unit,age,geo\TIME_PERIOD	2017 	2021 
A,NR,TOTAL,AL01	: 	1.57368 
A,NR,TOTAL,AL02	: 	1.22886 
A,NR,TOTAL,AL03	: 	1.16530 
A,NR,TOTAL,AT11	1.36 	1.39924 
A,NR,TOTAL,AT12	1.57 	1.56025 
A,NR,TOTAL,AT13	1.41 	1.29414 
A,NR,TOTAL,AT21	1.51 	1.45509 
A,NR,TOTAL,AT22	1.46 	1.46655 
A,NR,TOTAL,AT31	1.66 	1.61795 
A,NR,TOTAL,AT32	1.61 	1.56617 
A,NR,TOTAL,AT33	1.52 	1.54298 
A,NR,TOTAL,AT34	1.67 	1.66494 
A,NR,TOTAL,BE10	1.80959 	1.57067 
A,NR,TOTAL,BE21	1.71217 	1.67651 
A,NR,TOTAL,BE22	1.53421 	1.48232 
A,NR,TOTAL,BE23	1.56439 	1.59020 
A,NR,TOTAL,BE24	1.63912 	1.62120 
A,NR,TOTAL,BE25	1.59481 	1.60874 
A,NR,TOTAL,BE31	1.63278 	1.58380 
A,NR,TOTAL,BE32	1.65459 	1.61918 
A,NR,TOTAL,BE33	1.65749 	1.58282 
A,NR,TOTAL,BE34	1.68855 	1.66460 
A,NR,TOTAL,BE35	1.55624 	1.60507 
A,NR,TOTAL,BG31	1.85291 	1.88344 
A,NR,TOTAL,BG32	1.71635 	1.80817 
A,NR,TOTAL,BG33	1.68931 	1.78988 
A,NR,TOTAL,BG34	2.10908 	2.12028 
A,NR,TOTAL,BG41	1.45777 	1.60702 
A,NR,TOTAL,BG42	1.79732 	1.83833 
A,NR,TOTAL,CH01	1.52 	1.48290 
A,NR,TOTAL,CH02	1.53 	1.54989 
A,NR,TOTAL,CH03	1.52 	1.53963 
A,NR,TOTAL,CH04	1.50 	1.46078 
A,NR,TOTAL,CH05	1.54 	1.58260 
A,NR,TOTAL,CH06	1.56 	1.57823 
A,NR,TOTAL,CH07	1.37 	1.31288 
A,NR,TOTAL,CY00	1.32 	1.39363 
A,NR,TOTAL,CZ01	1.55 	1.71200 
A,NR,TOTAL,CZ02	1.79 	1.89887 
A,NR,TOTAL,CZ03	1.70 	1.82998 
A,NR,TOTAL,CZ04	1.67 	1.75998 
A,NR,TOTAL,CZ05	1.70 	1.82597 
A,NR,TOTAL,CZ06	1.73 	1.86703 
A,NR,TOTAL,CZ07	1.67 	1.84745 
A,NR,TOTAL,CZ08	1.60 	1.77924 
A,NR,TOTAL,DE11	1.58 	: 
A,NR,TOTAL,DE12	1.51 	: 
A,NR,TOTAL,DE13	1.58 	: 
A,NR,TOTAL,DE14	1.63 	: 
A,NR,TOTAL,DE21	1.54 	: 
A,NR,TOTAL,DE22	1.55 	: 
A,NR,TOTAL,DE23	1.50 	: 
A,NR,TOTAL,DE24	1.51 	: 
A,NR,TOTAL,DE25	1.56 	: 
A,NR,TOTAL,DE26	1.56 	: 
A,NR,TOTAL,DE27	1.63 	: 
A,NR,TOTAL,DE30	1.48 	: 
A,NR,TOTAL,DE40	1.64 	: 
A,NR,TOTAL,DE50	1.58 	: 
A,NR,TOTAL,DE60	1.51 	: 
A,NR,TOTAL,DE71	1.59 	: 
