freq,currency,nace_r2,geo\TIME_PERIOD	2021 
A,MIO_EUR,TOTAL,AT11	2687 
A,MIO_EUR,TOTAL,AT12	16695 
A,MIO_EUR,TOTAL,AT13	26153 
A,MIO_EUR,TOTAL,AT21	6705 
A,MIO_EUR,TOTAL,AT22	13971 
A,MIO_EUR,TOTAL,AT31	17384 
A,MIO_EUR,TOTAL,AT32	7311 
A,MIO_EUR,TOTAL,AT33	8847 
A,MIO_EUR,TOTAL,AT34	4907 
A,MIO_EUR,TOTAL,ATZZ	3 
A,MIO_EUR,TOTAL,BE10	16238.3 
A,MIO_EUR,TOTAL,BE21	24992.9 
A,MIO_EUR,TOTAL,BE22	8637.7 
A,MIO_EUR,TOTAL,BE23	16420.3 
A,MIO_EUR,TOTAL,BE24	13712.3 
A,MIO_EUR,TOTAL,BE25	14344.3 
A,MIO_EUR,TOTAL,BE31	6188.8 
A,MIO_EUR,TOTAL,BE32	7728.1 
A,MIO_EUR,TOTAL,BE33	7579.1 
A,MIO_EUR,TOTAL,BE34	2119 
A,MIO_EUR,TOTAL,BE35	3481.9 
A,MIO_EUR,TOTAL,BEZZ	64.3 
A,MIO_EUR,TOTAL,BG31	554.32 
A,MIO_EUR,TOTAL,BG32	844.55 
A,MIO_EUR,TOTAL,BG33	1028.94 
A,MIO_EUR,TOTAL,BG34	1205.49 
A,MIO_EUR,TOTAL,BG41	6136.75 
A,MIO_EUR,TOTAL,BG42	1846.53 
A,MIO_EUR,TOTAL,CY00	4850.23 
A,MIO_EUR,TOTAL,CZ01	19461.19 
A,MIO_EUR,TOTAL,CZ02	8562.56 
A,MIO_EUR,TOTAL,CZ03	5403.86 
A,MIO_EUR,TOTAL,CZ04	4228.16 
A,MIO_EUR,TOTAL,CZ05	6166.54 
A,MIO_EUR,TOTAL,CZ06	8100.59 
A,MIO_EUR,TOTAL,CZ07	5320.71 
A,MIO_EUR,TOTAL,CZ08	4720.59 
A,MIO_EUR,TOTAL,DE11	51732.27 e
A,MIO_EUR,TOTAL,DE12	28431.57 e
A,MIO_EUR,TOTAL,DE13	21888.01 e
A,MIO_EUR,TOTAL,DE14	21139.91 e
A,MIO_EUR,TOTAL,DE21	77969.53 e
A,MIO_EUR,TOTAL,DE22	12236.99 e
A,MIO_EUR,TOTAL,DE23	12668.8 e
A,MIO_EUR,TOTAL,DE24	9384.51 e
A,MIO_EUR,TOTAL,DE25	20450.55 e
A,MIO_EUR,TOTAL,DE26	11693.34 e
A,MIO_EUR,TOTAL,DE27	19088.85 e
A,MIO_EUR,TOTAL,DE30	31404.41 e
A,MIO_EUR,TOTAL,DE40	21011.8 e
A,MIO_EUR,TOTAL,DE50	5337.92 e
A,MIO_EUR,TOTAL,DE60	19947.08 e
A,MIO_EUR,TOTAL,DE71	41790.96 e
A,MIO_EUR,TOTAL,DE72	7324.68 e
A,MIO_EUR,TOTAL,DE73	9534 e
A,MIO_EUR,TOTAL,DE80	11127.15 e
A,MIO_EUR,TOTAL,DE91	21073.12 e
A,MIO_EUR,TOTAL,DE92	24121.96 e
A,MIO_EUR,TOTAL,DE93	13740.45 e
A,MIO_EUR,TOTAL,DE94	28026.72 e
A,MIO_EUR,TOTAL,DEA1	34981.14 e
A,MIO_EUR,TOTAL,DEA2	33922.19 e
A,MIO_EUR,TOTAL,DEA3	18843.39 e
A,MIO_EUR,TOTAL,DEA4	15531.2 e
A,MIO_EUR,TOTAL,DEA5	22592.72 e
A,MIO_EUR,TOTAL,DEB1	13107.07 e
A,MIO_EUR,TOTAL,DEB2	5411.05 e
A,MIO_EUR,TOTAL,DEB3	19457.06 e
A,MIO_EUR,TOTAL,DEC0	6273.18 e
A,MIO_EUR,TOTAL,DED2	12062.96 e
A,MIO_EUR,TOTAL,DED4	9057.66 e
A,MIO_EUR,TOTAL,DED5	7797.56 e
A,MIO_EUR,TOTAL,DEE0	13881.61 e
A,MIO_EUR,TOTAL,DEF0	23016.84 e
A,MIO_EUR,TOTAL,DEG0	13436.8 e
A,MIO_EUR,TOTAL,DK01	32268.12 
A,MIO_EUR,TOTAL,DK02	7092.78 
A,MIO_EUR,TOTAL,DK03	13009.95 
A,MIO_EUR,TOTAL,DK04	17056.07 
A,MIO_EUR,TOTAL,DK05	5711.44 
A,MIO_EUR,TOTAL,DKZZ	698.8 
A,MIO_EUR,TOTAL,EE00	9090.4 
A,MIO_EUR,TOTAL,EL30	8206.73 
A,MIO_EUR,TOTAL,EL41	478.62 
A,MIO_EUR,TOTAL,EL42	890.42 
A,MIO_EUR,TOTAL,EL43	1744.21 
A,MIO_EUR,TOTAL,EL51	1219.54 
A,MIO_EUR,TOTAL,EL52	3500.25 
A,MIO_EUR,TOTAL,EL53	820.91 
A,MIO_EUR,TOTAL,EL54	824.19 
A,MIO_EUR,TOTAL,EL61	1548.16 
A,MIO_EUR,TOTAL,EL62	459.94 
A,MIO_EUR,TOTAL,EL63	1241.5 
A,MIO_EUR,TOTAL,EL64	1834.34 
A,MIO_EUR,TOTAL,EL65	1396.07 
A,MIO_EUR,TOTAL,ES11	11392.7 p
A,MIO_EUR,TOTAL,ES12	4047 p
A,MIO_EUR,TOTAL,ES13	2335.5 p
A,MIO_EUR,TOTAL,ES21	12004.9 p
A,MIO_EUR,TOTAL,ES22	5125.5 p
A,MIO_EUR,TOTAL,ES23	2636.6 p
A,MIO_EUR,TOTAL,ES24	7890.2 p
A,MIO_EUR,TOTAL,ES30	59836.2 p
A,MIO_EUR,TOTAL,ES41	10496.8 p
A,MIO_EUR,TOTAL,ES42	8765.9 p
A,MIO_EUR,TOTAL,ES43	4128.1 p
A,MIO_EUR,TOTAL,ES51	45367.2 p
A,MIO_EUR,TOTAL,ES52	21159.5 p
A,MIO_EUR,TOTAL,ES53	7318.2 p
A,MIO_EUR,TOTAL,ES61	28257.3 p
A,MIO_EUR,TOTAL,ES62	6518.7 p
A,MIO_EUR,TOTAL,ES63	293.8 p
A,MIO_EUR,TOTAL,ES64	316.5 p
A,MIO_EUR,TOTAL,ES70	7460.4 p
A,MIO_EUR,TOTAL,ESZZ	358 p
A,MIO_EUR,TOTAL,FI19	12565.77 
A,MIO_EUR,TOTAL,FI1B	25457.17 
A,MIO_EUR,TOTAL,FI1C	8890 
A,MIO_EUR,TOTAL,FI1D	11847.62 
A,MIO_EUR,TOTAL,FI20	418.16 
A,MIO_EUR,TOTAL,FIZZ	0.29 
A,MIO_EUR,TOTAL,FR10	190608.84 
A,MIO_EUR,TOTAL,FRB0	19167.94 
A,MIO_EUR,TOTAL,FRC1	11914.43 
A,MIO_EUR,TOTAL,FRC2	8147.44 
A,MIO_EUR,TOTAL,FRD1	10182.54 
A,MIO_EUR,TOTAL,FRD2	14181.59 
A,MIO_EUR,TOTAL,FRE1	28623.79 
A,MIO_EUR,TOTAL,FRE2	12639 
A,MIO_EUR,TOTAL,FRF1	15634.76 
A,MIO_EUR,TOTAL,FRF2	9826.58 
A,MIO_EUR,TOTAL,FRF3	15214.26 
A,MIO_EUR,TOTAL,FRG0	31046.59 
A,MIO_EUR,TOTAL,FRH0	26316.55 
A,MIO_EUR,TOTAL,FRI1	27745.76 
A,MIO_EUR,TOTAL,FRI2	4883.1 
A,MIO_EUR,TOTAL,FRI3	13329.82 
A,MIO_EUR,TOTAL,FRJ1	19600.99 
A,MIO_EUR,TOTAL,FRJ2	24701.99 
A,MIO_EUR,TOTAL,FRK1	10069.08 
A,MIO_EUR,TOTAL,FRK2	61460.25 
A,MIO_EUR,TOTAL,FRL0	45040.55 
A,MIO_EUR,TOTAL,FRM0	2159 
A,MIO_EUR,TOTAL,FRY1	1584.49 
A,MIO_EUR,TOTAL,FRY2	1647.7 
A,MIO_EUR,TOTAL,FRY3	1083.78 
A,MIO_EUR,TOTAL,FRY4	4612.4 
A,MIO_EUR,TOTAL,FRY5	636.18 
A,MIO_EUR,TOTAL,FRZZ	138.85 
A,MIO_EUR,TOTAL,HR02	2140.67 
A,MIO_EUR,TOTAL,HR03	4453.57 
A,MIO_EUR,TOTAL,HR05	3923.29 
A,MIO_EUR,TOTAL,HR06	1786.19 
A,MIO_EUR,TOTAL,HU11	11747.97 
A,MIO_EUR,TOTAL,HU12	4907.91 
A,MIO_EUR,TOTAL,HU21	4454.42 
A,MIO_EUR,TOTAL,HU22	3633.91 
A,MIO_EUR,TOTAL,HU23	3976.27 
A,MIO_EUR,TOTAL,HU31	3687.05 
A,MIO_EUR,TOTAL,HU32	5158.11 
A,MIO_EUR,TOTAL,HU33	4375.88 
A,MIO_EUR,TOTAL,HUZZ	0 
A,MIO_EUR,TOTAL,IE04	14549.03 
A,MIO_EUR,TOTAL,IE05	45603.03 
A,MIO_EUR,TOTAL,IE06	36789.21 
A,MIO_EUR,TOTAL,ITC1	34071.4 
A,MIO_EUR,TOTAL,ITC2	1182.2 
A,MIO_EUR,TOTAL,ITC3	11767.3 
A,MIO_EUR,TOTAL,ITC4	77952.6 
A,MIO_EUR,TOTAL,ITF1	7186.2 
A,MIO_EUR,TOTAL,ITF2	1638.1 
A,MIO_EUR,TOTAL,ITF3	21268.6 
A,MIO_EUR,TOTAL,ITF4	15327.2 
A,MIO_EUR,TOTAL,ITF5	3124.3 
A,MIO_EUR,TOTAL,ITF6	5929.3 
A,MIO_EUR,TOTAL,ITG1	16336.7 
A,MIO_EUR,TOTAL,ITG2	7386.2 
A,MIO_EUR,TOTAL,ITH1	7604.7 
A,MIO_EUR,TOTAL,ITH2	5274.4 
A,MIO_EUR,TOTAL,ITH3	36044.7 
A,MIO_EUR,TOTAL,ITH4	8759.8 
A,MIO_EUR,TOTAL,ITH5	36055.3 
A,MIO_EUR,TOTAL,ITI1	23724.5 
A,MIO_EUR,TOTAL,ITI2	4893.4 
A,MIO_EUR,TOTAL,ITI3	8224.7 
A,MIO_EUR,TOTAL,ITI4	39082.6 
A,MIO_EUR,TOTAL,ITZZ	585.6 
A,MIO_EUR,TOTAL,LT01	5311.6 
A,MIO_EUR,TOTAL,LT02	6947.8 
A,MIO_EUR,TOTAL,LU00	13156.77 
A,MIO_EUR,TOTAL,LV00	7461.41 
A,MIO_EUR,TOTAL,MK00	2775.88 
A,MIO_EUR,TOTAL,MT00	3107.51 p
A,MIO_EUR,TOTAL,MTZZ	0 p
A,MIO_EUR,TOTAL,NL11	6277.23 p
A,MIO_EUR,TOTAL,NL12	5578.76 p
A,MIO_EUR,TOTAL,NL13	3964.6 p
A,MIO_EUR,TOTAL,NL21	10629.37 p
A,MIO_EUR,TOTAL,NL22	19318.36 p
A,MIO_EUR,TOTAL,NL23	4017.64 p
A,MIO_EUR,TOTAL,NL31	16381.79 p
A,MIO_EUR,TOTAL,NL32	34685.84 p
A,MIO_EUR,TOTAL,NL33	42073.86 p
A,MIO_EUR,TOTAL,NL34	5044.19 p
A,MIO_EUR,TOTAL,NL41	25937.16 p
A,MIO_EUR,TOTAL,NL42	10331.67 p
A,MIO_EUR,TOTAL,NLZZ	164.54 p
A,MIO_EUR,TOTAL,PL21	7699.99 
A,MIO_EUR,TOTAL,PL22	9492.03 
A,MIO_EUR,TOTAL,PL41	9211.64 
A,MIO_EUR,TOTAL,PL42	4261.15 
A,MIO_EUR,TOTAL,PL43	2195.74 
A,MIO_EUR,TOTAL,PL51	8373.78 
A,MIO_EUR,TOTAL,PL52	2102.87 
A,MIO_EUR,TOTAL,PL61	4074.96 
A,MIO_EUR,TOTAL,PL62	2776.22 
A,MIO_EUR,TOTAL,PL63	5683.65 
A,MIO_EUR,TOTAL,PL71	5207 
A,MIO_EUR,TOTAL,PL72	1914.26 
A,MIO_EUR,TOTAL,PL81	3803.56 
A,MIO_EUR,TOTAL,PL82	4094.02 
A,MIO_EUR,TOTAL,PL84	2794.18 
A,MIO_EUR,TOTAL,PL91	17815.87 
A,MIO_EUR,TOTAL,PL92	5396.04 
A,MIO_EUR,TOTAL,PT11	13412.63 
A,MIO_EUR,TOTAL,PT15	1907.66 
A,MIO_EUR,TOTAL,PT16	7861.78 
A,MIO_EUR,TOTAL,PT17	15442.6 
A,MIO_EUR,TOTAL,PT18	3167.94 
A,MIO_EUR,TOTAL,PT20	861.28 
A,MIO_EUR,TOTAL,PT30	971.72 
A,MIO_EUR,TOTAL,PTZZ	13.91 
A,MIO_EUR,TOTAL,RO11	6419.73 
A,MIO_EUR,TOTAL,RO12	6705.42 
A,MIO_EUR,TOTAL,RO21	4893.37 
A,MIO_EUR,TOTAL,RO22	4153.41 
A,MIO_EUR,TOTAL,RO31	5298.75 
A,MIO_EUR,TOTAL,RO32	24477.88 
A,MIO_EUR,TOTAL,RO41	2652.95 
A,MIO_EUR,TOTAL,RO42	3994.7 
A,MIO_EUR,TOTAL,RS11	6063.73 
A,MIO_EUR,TOTAL,RS12	2949.95 
A,MIO_EUR,TOTAL,RS21	1471.23 
A,MIO_EUR,TOTAL,RS22	1927.42 
A,MIO_EUR,TOTAL,SE11	47363.43 
A,MIO_EUR,TOTAL,SE12	18273 
A,MIO_EUR,TOTAL,SE21	7929.63 
A,MIO_EUR,TOTAL,SE22	17240.72 
A,MIO_EUR,TOTAL,SE23	28570.64 
A,MIO_EUR,TOTAL,SE31	6903.17 
A,MIO_EUR,TOTAL,SE32	3778.84 
A,MIO_EUR,TOTAL,SE33	8324.35 
A,MIO_EUR,TOTAL,SI03	4907.89 
A,MIO_EUR,TOTAL,SI04	5673.7 
A,MIO_EUR,TOTAL,SK01	6802.91 
A,MIO_EUR,TOTAL,SK02	5145.64 
A,MIO_EUR,TOTAL,SK03	3984.23 
A,MIO_EUR,TOTAL,SK04	3321.85 
