freq,currency,nace_r2,geo\TIME_PERIOD	2021 
A,MIO_EUR,TOTAL,AL01	2948.57 p
A,MIO_EUR,TOTAL,AL02	6650.24 p
A,MIO_EUR,TOTAL,AL03	3583.3 p
A,MIO_EUR,TOTAL,AT11	8485 
A,MIO_EUR,TOTAL,AT12	57218 
A,MIO_EUR,TOTAL,AT13	91873 
A,MIO_EUR,TOTAL,AT21	19832 
A,MIO_EUR,TOTAL,AT22	46385 
A,MIO_EUR,TOTAL,AT31	63048 
A,MIO_EUR,TOTAL,AT32	26392 
A,MIO_EUR,TOTAL,AT33	30701 
A,MIO_EUR,TOTAL,AT34	18391 
A,MIO_EUR,TOTAL,ATZZ	124 
A,MIO_EUR,TOTAL,BE10	80346.3 
A,MIO_EUR,TOTAL,BE21	88100.5 
A,MIO_EUR,TOTAL,BE22	28323.4 
A,MIO_EUR,TOTAL,BE23	56556.5 
A,MIO_EUR,TOTAL,BE24	49652.5 
A,MIO_EUR,TOTAL,BE25	46658.5 
A,MIO_EUR,TOTAL,BE31	19191 
A,MIO_EUR,TOTAL,BE32	32833.1 
A,MIO_EUR,TOTAL,BE33	31082.4 
A,MIO_EUR,TOTAL,BE34	7021.5 
A,MIO_EUR,TOTAL,BE35	12973.5 
A,MIO_EUR,TOTAL,BEZZ	280.7 
A,MIO_EUR,TOTAL,BG31	4355.48 
A,MIO_EUR,TOTAL,BG32	4690.54 
A,MIO_EUR,TOTAL,BG33	6230.85 
A,MIO_EUR,TOTAL,BG34	7181.99 
A,MIO_EUR,TOTAL,BG41	31379.86 
A,MIO_EUR,TOTAL,BG42	8322.23 
A,MIO_EUR,TOTAL,CH01	125617.15 
A,MIO_EUR,TOTAL,CH02	132859.13 
A,MIO_EUR,TOTAL,CH03	95728.56 
A,MIO_EUR,TOTAL,CH04	136841.57 
A,MIO_EUR,TOTAL,CH05	83355.98 
A,MIO_EUR,TOTAL,CH06	64003.82 
A,MIO_EUR,TOTAL,CH07	29833.81 
A,MIO_EUR,TOTAL,CY00	22055.98 
A,MIO_EUR,TOTAL,CZ01	60857.88 
A,MIO_EUR,TOTAL,CZ02	24118.64 
A,MIO_EUR,TOTAL,CZ03	20831.55 
A,MIO_EUR,TOTAL,CZ04	14999.22 
A,MIO_EUR,TOTAL,CZ05	24886.27 
A,MIO_EUR,TOTAL,CZ06	31881.94 
A,MIO_EUR,TOTAL,CZ07	20033.39 
A,MIO_EUR,TOTAL,CZ08	18882.84 
A,MIO_EUR,TOTAL,DE11	204847.9 e
A,MIO_EUR,TOTAL,DE12	120425.65 e
A,MIO_EUR,TOTAL,DE13	85050.46 e
A,MIO_EUR,TOTAL,DE14	79977.71 e
A,MIO_EUR,TOTAL,DE21	271019.55 e
A,MIO_EUR,TOTAL,DE22	48459.84 e
A,MIO_EUR,TOTAL,DE23	46292.65 e
A,MIO_EUR,TOTAL,DE24	39201.96 e
A,MIO_EUR,TOTAL,DE25	76990.27 e
A,MIO_EUR,TOTAL,DE26	51443.33 e
A,MIO_EUR,TOTAL,DE27	72278.89 e
A,MIO_EUR,TOTAL,DE30	150381.31 e
A,MIO_EUR,TOTAL,DE40	73228.84 e
A,MIO_EUR,TOTAL,DE50	31979.99 e
A,MIO_EUR,TOTAL,DE60	119195.81 e
A,MIO_EUR,TOTAL,DE71	199078.78 e
A,MIO_EUR,TOTAL,DE72	35449.11 e
A,MIO_EUR,TOTAL,DE73	42585.97 e
A,MIO_EUR,TOTAL,DE80	45128.48 e
A,MIO_EUR,TOTAL,DE91	70717.59 e
A,MIO_EUR,TOTAL,DE92	79969.68 e
A,MIO_EUR,TOTAL,DE93	47907.91 e
A,MIO_EUR,TOTAL,DE94	88116.2 e
A,MIO_EUR,TOTAL,DEA1	209006.27 e
A,MIO_EUR,TOTAL,DEA2	183162.69 e
