freq,unit,geo\TIME_PERIOD	2017 	2021 
A,PC_HH,AT11	85.86 	92.86 
A,PC_HH,AT12	88.86 	94.74 
A,PC_HH,AT13	89.36 	96.15 
A,PC_HH,AT21	85.50 	92.24 
A,PC_HH,AT22	90.33 	94.12 
A,PC_HH,AT31	88.89 	95.98 
A,PC_HH,AT32	88.07 	96.00 
A,PC_HH,AT33	89.32 	93.11 
A,PC_HH,AT34	87.10 	96.89 
A,PC_HH,BE10	85.27 	93.00 
A,PC_HH,BE21	88.61 	92.72 
A,PC_HH,BE22	89.86 	92.93 
A,PC_HH,BE23	86.02 	92.54 
A,PC_HH,BE24	88.51 	96.11 
A,PC_HH,BE25	87.80 	92.84 
A,PC_HH,BE31	88.68 	95.81 
A,PC_HH,BE32	78.94 	88.17 
A,PC_HH,BE33	84.57 	91.20 
A,PC_HH,BE34	84.54 	86.70 
A,PC_HH,BE35	82.72 	85.18 
A,PC_HH,BG31	57.77 	73.50 
A,PC_HH,BG32	67.77 	82.67 
A,PC_HH,BG33	68.69 	85.23 
A,PC_HH,BG34	62.12 	81.73 
A,PC_HH,BG41	70.51 	86.23 
A,PC_HH,BG42	70.42 	85.53 
A,PC_HH,CH01	90.99 b	99.07 
A,PC_HH,CH02	93.89 b	97.52 
A,PC_HH,CH03	94.62 b	97.92 
A,PC_HH,CH04	94.08 b	99.63 
A,PC_HH,CH05	93.74 b	99.24 
A,PC_HH,CH06	93.50 b	99.02 
A,PC_HH,CH07	85.70 b	98.66 
A,PC_HH,CY00	79.41 	93.41 
A,PC_HH,CZ01	89.31 	94.16 
A,PC_HH,CZ02	86.68 	89.31 
A,PC_HH,CZ03	82.50 	92.22 
A,PC_HH,CZ04	78.40 	86.03 
A,PC_HH,CZ05	80.01 	87.32 
A,PC_HH,CZ06	84.64 	88.11 
A,PC_HH,CZ07	81.56 	87.94 
A,PC_HH,CZ08	81.44 	88.80 
A,PC_HH,DK01	98.08 	97.07 
A,PC_HH,DK02	96.09 	94.64 
A,PC_HH,DK03	97.34 	95.57 
A,PC_HH,DK04	96.35 	97.12 
A,PC_HH,DK05	95.40 	93.93 
A,PC_HH,EE00	88.27 	91.82 
A,PC_HH,ES11	78.78 	93.29 
A,PC_HH,ES12	81.26 	94.31 
A,PC_HH,ES13	83.51 	95.01 
A,PC_HH,ES21	86.78 	95.53 
A,PC_HH,ES22	88.35 	96.19 
A,PC_HH,ES23	81.00 	94.95 
A,PC_HH,ES24	84.92 	96.30 
A,PC_HH,ES30	88.92 	97.54 
A,PC_HH,ES41	79.15 	95.60 
A,PC_HH,ES42	80.59 	94.43 
A,PC_HH,ES43	79.40 	94.55 
A,PC_HH,ES51	83.70 	96.87 
A,PC_HH,ES52	81.96 	96.82 
A,PC_HH,ES53	89.32 	97.27 
A,PC_HH,ES61	81.67 	94.47 
A,PC_HH,ES62	86.02 	96.93 
A,PC_HH,ES63	88.42 	92.51 
A,PC_HH,ES64	80.83 	98.62 
A,PC_HH,ES70	80.89 	96.70 
A,PC_HH,FI19	93.24 	96.55 
A,PC_HH,FI1B	98.10 	99.07 
A,PC_HH,FI1C	92.70 	95.80 
A,PC_HH,FI1D	92.70 	94.11 
A,PC_HH,FR10	90.79 	96.11 
A,PC_HH,FRB0	83.86 	94.07 
A,PC_HH,FRC1	88.51 	89.60 
A,PC_HH,FRC2	80.69 	94.36 
A,PC_HH,FRD1	80.52 	93.02 
A,PC_HH,FRD2	85.00 	91.34 
A,PC_HH,FRE1	82.65 	91.36 
A,PC_HH,FRE2	87.32 	89.55 
A,PC_HH,FRF1	86.50 	93.20 
A,PC_HH,FRF2	85.77 	92.26 
A,PC_HH,FRF3	87.31 	94.24 
A,PC_HH,FRG0	86.80 	94.62 
A,PC_HH,FRH0	85.68 	91.78 
A,PC_HH,FRI1	87.61 	94.20 
A,PC_HH,FRI2	81.50 	87.40 
A,PC_HH,FRI3	79.74 	92.82 
A,PC_HH,FRJ1	84.33 	94.29 
A,PC_HH,FRJ2	87.79 	90.94 
A,PC_HH,FRK1	86.60 	91.39 
A,PC_HH,FRK2	88.73 	94.05 
A,PC_HH,FRL0	89.24 	93.70 
A,PC_HH,FRM0	69.91 u	86.51 u
A,PC_HH,FRY1	75.05 	83.09 
A,PC_HH,FRY2	74.72 	89.60 
A,PC_HH,FRY3	73.75 	86.72 
A,PC_HH,FRY4	65.40 	92.27 
A,PC_HH,HR03	73.49 	87.38 
A,PC_HH,HR04	77.89 	: 
A,PC_HH,HU10	88.99 	: 
A,PC_HH,HU11	: 	95.62 
A,PC_HH,HU12	: 	93.62 
A,PC_HH,HU21	85.30 	92.10 
A,PC_HH,HU22	83.43 	91.89 
A,PC_HH,HU23	80.72 	89.03 
A,PC_HH,HU31	75.48 	86.26 
A,PC_HH,HU32	76.46 	88.04 
A,PC_HH,HU33	76.48 	86.72 
A,PC_HH,IE01	83.57 	: 
A,PC_HH,IE02	90.10 	: 
A,PC_HH,IE04	: 	98.62 b
A,PC_HH,IE05	: 	97.35 b
A,PC_HH,IE06	: 	97.18 b
A,PC_HH,IS00	97.86 	98.36 
A,PC_HH,ITC1	82.12 	90.90 
A,PC_HH,ITC2	76.16 	94.08 
A,PC_HH,ITC3	84.04 	92.20 
A,PC_HH,ITC4	84.48 	92.75 
A,PC_HH,ITF1	81.88 	89.41 
A,PC_HH,ITF2	78.27 	86.45 
A,PC_HH,ITF3	78.31 	88.91 
A,PC_HH,ITF4	76.19 	84.39 
A,PC_HH,ITF5	74.96 	86.85 
A,PC_HH,ITF6	70.86 	84.86 
A,PC_HH,ITG1	75.19 	84.79 
A,PC_HH,ITG2	79.64 	91.56 
A,PC_HH,ITH1	82.32 	90.57 
A,PC_HH,ITH2	83.08 	93.22 
A,PC_HH,ITH3	82.08 	91.53 
A,PC_HH,ITH4	81.90 	91.98 
A,PC_HH,ITH5	84.08 	93.83 
A,PC_HH,ITI1	82.54 	91.96 
A,PC_HH,ITI2	80.05 	91.23 
A,PC_HH,ITI3	84.98 	89.06 
A,PC_HH,ITI4	82.14 	93.06 
A,PC_HH,LT00	74.97 	: 
A,PC_HH,LT01	: 	88.03 
A,PC_HH,LT02	: 	85.94 
A,PC_HH,LU00	97.23 	99.18 
A,PC_HH,LV00	78.61 	91.15 
A,PC_HH,MK00	73.58 	: 
A,PC_HH,MT00	84.77 	90.54 
A,PC_HH,NL11	100.00 	98.58 
A,PC_HH,NL12	97.65 	96.91 
A,PC_HH,NL13	99.09 	97.51 
A,PC_HH,NL21	95.99 	99.39 
A,PC_HH,NL22	96.23 	98.73 
A,PC_HH,NL23	100.00 	98.23 
A,PC_HH,NL31	98.01 	99.48 
A,PC_HH,NL32	99.05 	98.50 
A,PC_HH,NL33	98.69 	98.39 
A,PC_HH,NL34	97.33 	100.00 
A,PC_HH,NL41	98.18 	98.50 
A,PC_HH,NL42	99.35 	98.12 
A,PC_HH,NO01	97.75 	: 
A,PC_HH,NO02	97.06 	100.00 
A,PC_HH,NO03	98.06 	: 
A,PC_HH,NO04	97.32 	: 
A,PC_HH,NO05	96.15 	: 
A,PC_HH,NO06	88.81 	100.00 
A,PC_HH,NO07	98.61 	99.73 
A,PC_HH,PT11	74.37 	85.02 
A,PC_HH,PT15	73.17 	89.18 
A,PC_HH,PT16	72.44 	83.64 
A,PC_HH,PT17	85.46 	93.22 
A,PC_HH,PT18	66.75 	82.07 
A,PC_HH,PT20	84.20 	90.85 
A,PC_HH,PT30	81.35 	90.52 
A,PC_HH,RO11	80.82 	90.10 
A,PC_HH,RO12	72.34 	89.91 
A,PC_HH,RO21	69.65 	87.42 
A,PC_HH,RO22	72.06 	85.09 
A,PC_HH,RO31	71.35 	86.26 
A,PC_HH,RO32	88.03 	93.78 
A,PC_HH,RO41	76.59 	86.56 
A,PC_HH,RO42	85.56 	91.68 
A,PC_HH,RS11	: 	92.88 
A,PC_HH,RS12	: 	77.76 
A,PC_HH,RS21	: 	79.19 
A,PC_HH,RS22	: 	76.07 
A,PC_HH,SE11	97.05 	95.98 
A,PC_HH,SE12	94.33 	95.14 
A,PC_HH,SE21	91.29 	91.63 
A,PC_HH,SE22	94.34 	92.56 
A,PC_HH,SE23	95.72 	91.31 
A,PC_HH,SE31	88.32 	92.64 
A,PC_HH,SE32	100.00 u	93.87 
A,PC_HH,SE33	96.94 	86.86 
A,PC_HH,SI03	79.67 	91.08 
A,PC_HH,SI04	84.28 	95.28 
A,PC_HH,SK01	84.97 	96.14 
A,PC_HH,SK02	78.52 	89.46 
A,PC_HH,SK03	81.23 	90.51 
A,PC_HH,SK04	83.25 	87.04 
