freq,unit,direct,na_item,geo\TIME_PERIOD	2021 
A,MIO_EUR,BAL,B5N,AT11	8209 
A,MIO_EUR,BAL,B5N,AT12	49909 
A,MIO_EUR,BAL,B5N,AT13	51360 
A,MIO_EUR,BAL,B5N,AT21	14767 
A,MIO_EUR,BAL,B5N,AT22	34264 
A,MIO_EUR,BAL,B5N,AT31	43728 
A,MIO_EUR,BAL,B5N,AT32	16186 
A,MIO_EUR,BAL,B5N,AT33	21638 
A,MIO_EUR,BAL,B5N,AT34	12608 
A,MIO_EUR,BAL,B5N,ATZZ	0 
A,MIO_EUR,BAL,B5N,BE10	30865.6 
A,MIO_EUR,BAL,B5N,BE21	54838.2 
A,MIO_EUR,BAL,B5N,BE22	23908.7 
A,MIO_EUR,BAL,B5N,BE23	47575.8 
A,MIO_EUR,BAL,B5N,BE24	40534.8 
A,MIO_EUR,BAL,B5N,BE25	34387.1 
A,MIO_EUR,BAL,B5N,BE31	13284.5 
A,MIO_EUR,BAL,B5N,BE32	29179.2 
A,MIO_EUR,BAL,B5N,BE33	26116.1 
A,MIO_EUR,BAL,B5N,BE34	7632 
A,MIO_EUR,BAL,B5N,BE35	12893.7 
A,MIO_EUR,BAL,B5N,BEZZ	0 
A,MIO_EUR,BAL,B5N,BG31	2741.69 
A,MIO_EUR,BAL,B5N,BG32	3655.13 
A,MIO_EUR,BAL,B5N,BG33	4057.73 
A,MIO_EUR,BAL,B5N,BG34	4119.29 
A,MIO_EUR,BAL,B5N,BG41	18567.69 
A,MIO_EUR,BAL,B5N,BG42	5292.93 
A,MIO_EUR,BAL,B5N,CY00	15532.87 
A,MIO_EUR,BAL,B5N,CZ01	24641.42 
A,MIO_EUR,BAL,B5N,CZ02	19410.22 
A,MIO_EUR,BAL,B5N,CZ03	15834.01 
A,MIO_EUR,BAL,B5N,CZ04	12816.46 
A,MIO_EUR,BAL,B5N,CZ05	18534.48 
A,MIO_EUR,BAL,B5N,CZ06	22030.3 
A,MIO_EUR,BAL,B5N,CZ07	14362.4 
A,MIO_EUR,BAL,B5N,CZ08	13801.09 
A,MIO_EUR,BAL,B5N,DE11	144542.27 e
A,MIO_EUR,BAL,B5N,DE12	90784.2 e
A,MIO_EUR,BAL,B5N,DE13	72309.45 e
A,MIO_EUR,BAL,B5N,DE14	61244.95 e
A,MIO_EUR,BAL,B5N,DE21	195352.52 e
A,MIO_EUR,BAL,B5N,DE22	38098.15 e
A,MIO_EUR,BAL,B5N,DE23	34139.91 e
A,MIO_EUR,BAL,B5N,DE24	30850.08 e
A,MIO_EUR,BAL,B5N,DE25	57584.27 e
A,MIO_EUR,BAL,B5N,DE26	40243.25 e
A,MIO_EUR,BAL,B5N,DE27	60393.99 e
A,MIO_EUR,BAL,B5N,DE30	102594.87 e
A,MIO_EUR,BAL,B5N,DE40	63175.79 e
A,MIO_EUR,BAL,B5N,DE50	18117.48 e
A,MIO_EUR,BAL,B5N,DE60	65233.58 e
A,MIO_EUR,BAL,B5N,DE71	138328.06 e
A,MIO_EUR,BAL,B5N,DE72	28910.68 e
A,MIO_EUR,BAL,B5N,DE73	32503.89 e
A,MIO_EUR,BAL,B5N,DE80	35887.45 e
A,MIO_EUR,BAL,B5N,DE91	45485.1 e
A,MIO_EUR,BAL,B5N,DE92	60011.24 e
A,MIO_EUR,BAL,B5N,DE93	49335.52 e
A,MIO_EUR,BAL,B5N,DE94	68365.57 e
A,MIO_EUR,BAL,B5N,DEA1	152010.82 e
A,MIO_EUR,BAL,B5N,DEA2	136639.43 e
A,MIO_EUR,BAL,B5N,DEA3	72290.33 e
A,MIO_EUR,BAL,B5N,DEA4	59075.52 e
A,MIO_EUR,BAL,B5N,DEA5	97297.02 e
A,MIO_EUR,BAL,B5N,DEB1	42530.52 e
A,MIO_EUR,BAL,B5N,DEB2	15767.35 e
A,MIO_EUR,BAL,B5N,DEB3	63251.31 e
A,MIO_EUR,BAL,B5N,DEC0	24693.48 e
A,MIO_EUR,BAL,B5N,DED2	36651.7 e
A,MIO_EUR,BAL,B5N,DED4	30539.47 e
A,MIO_EUR,BAL,B5N,DED5	25265.04 e
A,MIO_EUR,BAL,B5N,DEE0	47132.43 e
A,MIO_EUR,BAL,B5N,DEF0	85206.49 e
A,MIO_EUR,BAL,B5N,DEG0	47271.84 e
A,MIO_EUR,BAL,B5N,DK01	73448.03 
A,MIO_EUR,BAL,B5N,DK02	27313.43 
A,MIO_EUR,BAL,B5N,DK03	38134.46 
A,MIO_EUR,BAL,B5N,DK04	43998.66 
A,MIO_EUR,BAL,B5N,DK05	18120.21 
A,MIO_EUR,BAL,B5N,EE00	17388.4 
A,MIO_EUR,BAL,B5N,EL30	52158.11 p
A,MIO_EUR,BAL,B5N,EL41	2113.24 p
A,MIO_EUR,BAL,B5N,EL42	4450.43 p
A,MIO_EUR,BAL,B5N,EL43	6686.3 p
A,MIO_EUR,BAL,B5N,EL51	5391.41 p
A,MIO_EUR,BAL,B5N,EL52	19262.85 p
A,MIO_EUR,BAL,B5N,EL53	2778.45 p
A,MIO_EUR,BAL,B5N,EL54	3288.24 p
A,MIO_EUR,BAL,B5N,EL61	6737.48 p
A,MIO_EUR,BAL,B5N,EL62	2627.61 p
A,MIO_EUR,BAL,B5N,EL63	5750.07 p
A,MIO_EUR,BAL,B5N,EL64	5151.57 p
A,MIO_EUR,BAL,B5N,EL65	5570.77 p
A,MIO_EUR,BAL,B5N,ES11	40258.3 p
A,MIO_EUR,BAL,B5N,ES12	15378.6 p
A,MIO_EUR,BAL,B5N,ES13	9294.8 p
A,MIO_EUR,BAL,B5N,ES21	46471 p
A,MIO_EUR,BAL,B5N,ES22	12991.5 p
A,MIO_EUR,BAL,B5N,ES23	5474.9 p
A,MIO_EUR,BAL,B5N,ES24	23989.6 p
A,MIO_EUR,BAL,B5N,ES30	157662.9 p
A,MIO_EUR,BAL,B5N,ES41	37708.9 p
A,MIO_EUR,BAL,B5N,ES42	29327.6 p
A,MIO_EUR,BAL,B5N,ES43	13141 p
A,MIO_EUR,BAL,B5N,ES51	153669.4 p
A,MIO_EUR,BAL,B5N,ES52	75600.1 p
A,MIO_EUR,BAL,B5N,ES53	20291.3 p
A,MIO_EUR,BAL,B5N,ES61	110683.3 p
A,MIO_EUR,BAL,B5N,ES62	21803 p
A,MIO_EUR,BAL,B5N,ES63	1218.5 p
A,MIO_EUR,BAL,B5N,ES64	1135.5 p
