freq,unit,direct,na_item,geo\TIME_PERIOD	2021 
A,MIO_EUR,RECV,D1,AT11	6362 
A,MIO_EUR,RECV,D1,AT12	39106 
A,MIO_EUR,RECV,D1,AT13	41786 
A,MIO_EUR,RECV,D1,AT21	11522 
A,MIO_EUR,RECV,D1,AT22	26872 
A,MIO_EUR,RECV,D1,AT31	34723 
A,MIO_EUR,RECV,D1,AT32	12453 
A,MIO_EUR,RECV,D1,AT33	16478 
A,MIO_EUR,RECV,D1,AT34	9911 
A,MIO_EUR,RECV,D1,ATZZ	0 
A,MIO_EUR,RECV,D1,BE10	24355.1 
A,MIO_EUR,RECV,D1,BE21	43000.3 
A,MIO_EUR,RECV,D1,BE22	18712.9 
A,MIO_EUR,RECV,D1,BE23	37079.3 
A,MIO_EUR,RECV,D1,BE24	31531.9 
A,MIO_EUR,RECV,D1,BE25	25449.5 
A,MIO_EUR,RECV,D1,BE31	10053.8 
A,MIO_EUR,RECV,D1,BE32	23931 
A,MIO_EUR,RECV,D1,BE33	21196.7 
A,MIO_EUR,RECV,D1,BE34	6426.3 
A,MIO_EUR,RECV,D1,BE35	10475.7 
A,MIO_EUR,RECV,D1,BEZZ	0 
A,MIO_EUR,RECV,D1,BG31	1905.6 
A,MIO_EUR,RECV,D1,BG32	2954.56 
A,MIO_EUR,RECV,D1,BG33	3214.28 
A,MIO_EUR,RECV,D1,BG34	2993.99 
A,MIO_EUR,RECV,D1,BG41	16632.97 
A,MIO_EUR,RECV,D1,BG42	4047.14 
A,MIO_EUR,RECV,D1,CY00	10882.38 
A,MIO_EUR,RECV,D1,CZ01	17647.43 
A,MIO_EUR,RECV,D1,CZ02	14783.31 
A,MIO_EUR,RECV,D1,CZ03	12468.02 
A,MIO_EUR,RECV,D1,CZ04	10358.23 
A,MIO_EUR,RECV,D1,CZ05	14443.1 
A,MIO_EUR,RECV,D1,CZ06	17177.46 
A,MIO_EUR,RECV,D1,CZ07	11192.43 
A,MIO_EUR,RECV,D1,CZ08	11140.09 
A,MIO_EUR,RECV,D1,DE11	112644.5 e
A,MIO_EUR,RECV,D1,DE12	69616.78 e
A,MIO_EUR,RECV,D1,DE13	54621.2 e
A,MIO_EUR,RECV,D1,DE14	46399.98 e
A,MIO_EUR,RECV,D1,DE21	143777.1 e
A,MIO_EUR,RECV,D1,DE22	28225.71 e
A,MIO_EUR,RECV,D1,DE23	26393.85 e
A,MIO_EUR,RECV,D1,DE24	23631.34 e
A,MIO_EUR,RECV,D1,DE25	44765.04 e
A,MIO_EUR,RECV,D1,DE26	30776.79 e
A,MIO_EUR,RECV,D1,DE27	45375.43 e
A,MIO_EUR,RECV,D1,DE30	80940.93 e
A,MIO_EUR,RECV,D1,DE40	51750.36 e
A,MIO_EUR,RECV,D1,DE50	13974.2 e
A,MIO_EUR,RECV,D1,DE60	46794.53 e
A,MIO_EUR,RECV,D1,DE71	109428.21 e
A,MIO_EUR,RECV,D1,DE72	22437.13 e
A,MIO_EUR,RECV,D1,DE73	25221.12 e
A,MIO_EUR,RECV,D1,DE80	28476.66 e
A,MIO_EUR,RECV,D1,DE91	37280.47 e
A,MIO_EUR,RECV,D1,DE92	47930 e
A,MIO_EUR,RECV,D1,DE93	38083.59 e
A,MIO_EUR,RECV,D1,DE94	51429.76 e
