freq,unit,direct,na_item,geo\TIME_PERIOD	2021 
A,MIO_EUR,RECV,D62,AT11	3024 
A,MIO_EUR,RECV,D62,AT12	16791 
A,MIO_EUR,RECV,D62,AT13	17179 
A,MIO_EUR,RECV,D62,AT21	5521 
A,MIO_EUR,RECV,D62,AT22	11719 
A,MIO_EUR,RECV,D62,AT31	13451 
A,MIO_EUR,RECV,D62,AT32	5034 
A,MIO_EUR,RECV,D62,AT33	6344 
A,MIO_EUR,RECV,D62,AT34	3253 
A,MIO_EUR,RECV,D62,ATZZ	0 
A,MIO_EUR,RECV,D62,BE10	9146.1 
A,MIO_EUR,RECV,D62,BE21	16691.8 
A,MIO_EUR,RECV,D62,BE22	8193 
A,MIO_EUR,RECV,D62,BE23	13903.7 
A,MIO_EUR,RECV,D62,BE24	11122.9 
A,MIO_EUR,RECV,D62,BE25	11300.9 
A,MIO_EUR,RECV,D62,BE31	3868.3 
A,MIO_EUR,RECV,D62,BE32	12583.5 
A,MIO_EUR,RECV,D62,BE33	10022.9 
A,MIO_EUR,RECV,D62,BE34	1909.4 
A,MIO_EUR,RECV,D62,BE35	4442.8 
A,MIO_EUR,RECV,D62,BEZZ	0 
A,MIO_EUR,RECV,D62,BG31	1015.68 
A,MIO_EUR,RECV,D62,BG32	962.11 
A,MIO_EUR,RECV,D62,BG33	1119.22 
A,MIO_EUR,RECV,D62,BG34	1128.89 
A,MIO_EUR,RECV,D62,BG41	2064.54 
A,MIO_EUR,RECV,D62,BG42	1984.01 
A,MIO_EUR,RECV,D62,CY00	3777.64 
A,MIO_EUR,RECV,D62,CZ01	4458.27 
A,MIO_EUR,RECV,D62,CZ02	4433.07 
A,MIO_EUR,RECV,D62,CZ03	4143.41 
A,MIO_EUR,RECV,D62,CZ04	3658.27 
A,MIO_EUR,RECV,D62,CZ05	5126.05 
A,MIO_EUR,RECV,D62,CZ06	5803.98 
A,MIO_EUR,RECV,D62,CZ07	4112.13 
A,MIO_EUR,RECV,D62,CZ08	4199.88 
A,MIO_EUR,RECV,D62,DE11	31246.6 e
A,MIO_EUR,RECV,D62,DE12	21650.19 e
A,MIO_EUR,RECV,D62,DE13	17127.92 e
A,MIO_EUR,RECV,D62,DE14	14067.04 e
A,MIO_EUR,RECV,D62,DE21	34580.34 e
A,MIO_EUR,RECV,D62,DE22	9199.33 e
A,MIO_EUR,RECV,D62,DE23	8457.52 e
A,MIO_EUR,RECV,D62,DE24	8830.55 e
A,MIO_EUR,RECV,D62,DE25	13932.26 e
A,MIO_EUR,RECV,D62,DE26	10495.03 e
A,MIO_EUR,RECV,D62,DE27	14241.22 e
A,MIO_EUR,RECV,D62,DE30	29206.34 e
A,MIO_EUR,RECV,D62,DE40	23341.31 e
A,MIO_EUR,RECV,D62,DE50	5628.54 e
A,MIO_EUR,RECV,D62,DE60	14232.25 e
A,MIO_EUR,RECV,D62,DE71	31041.2 e
A,MIO_EUR,RECV,D62,DE72	8310.25 e
A,MIO_EUR,RECV,D62,DE73	10223.88 e
A,MIO_EUR,RECV,D62,DE80	15302.92 e
A,MIO_EUR,RECV,D62,DE91	13876.64 e
A,MIO_EUR,RECV,D62,DE92	18246.08 e
A,MIO_EUR,RECV,D62,DE93	14573.28 e
A,MIO_EUR,RECV,D62,DE94	19227.38 e
A,MIO_EUR,RECV,D62,DEA1	43222.68 e
A,MIO_EUR,RECV,D62,DEA2	35806.51 e
A,MIO_EUR,RECV,D62,DEA3	20946.34 e
A,MIO_EUR,RECV,D62,DEA4	15883.77 e
A,MIO_EUR,RECV,D62,DEA5	29836.24 e
A,MIO_EUR,RECV,D62,DEB1	12460.24 e
A,MIO_EUR,RECV,D62,DEB2	3935.8 e
A,MIO_EUR,RECV,D62,DEB3	16538.81 e
A,MIO_EUR,RECV,D62,DEC0	8738.99 e
A,MIO_EUR,RECV,D62,DED2	14542.72 e
A,MIO_EUR,RECV,D62,DED4	13545.17 e
A,MIO_EUR,RECV,D62,DED5	8845.39 e
A,MIO_EUR,RECV,D62,DEE0	20911.51 e
A,MIO_EUR,RECV,D62,DEF0	25216.33 e
A,MIO_EUR,RECV,D62,DEG0	19679.41 e
A,MIO_EUR,RECV,D62,DK01	17780.69 
A,MIO_EUR,RECV,D62,DK02	9465.64 
A,MIO_EUR,RECV,D62,DK03	13395.72 
A,MIO_EUR,RECV,D62,DK04	13693.02 
A,MIO_EUR,RECV,D62,DK05	6494.96 
A,MIO_EUR,RECV,D62,EE00	4209.3 
A,MIO_EUR,RECV,D62,EL30	14721.15 p
A,MIO_EUR,RECV,D62,EL41	650.89 p
A,MIO_EUR,RECV,D62,EL42	800.17 p
A,MIO_EUR,RECV,D62,EL43	1765.33 p
A,MIO_EUR,RECV,D62,EL51	1797.98 p
A,MIO_EUR,RECV,D62,EL52	5941.08 p
A,MIO_EUR,RECV,D62,EL53	942.29 p
A,MIO_EUR,RECV,D62,EL54	1153.73 p
A,MIO_EUR,RECV,D62,EL61	2351.47 p
A,MIO_EUR,RECV,D62,EL62	640.2 p
A,MIO_EUR,RECV,D62,EL63	2050.15 p
A,MIO_EUR,RECV,D62,EL64	1728.78 p
A,MIO_EUR,RECV,D62,EL65	1852.65 p
A,MIO_EUR,RECV,D62,ES11	14935 p
A,MIO_EUR,RECV,D62,ES12	7325 p
A,MIO_EUR,RECV,D62,ES13	3321.7 p
A,MIO_EUR,RECV,D62,ES21	15245.5 p
A,MIO_EUR,RECV,D62,ES22	3794 p
