freq,unit,direct,na_item,geo\TIME_PERIOD	2021 
A,MIO_EUR,PAID,D5,AT11	1390 
A,MIO_EUR,PAID,D5,AT12	9138 
A,MIO_EUR,PAID,D5,AT13	9878 
A,MIO_EUR,PAID,D5,AT21	2592 
A,MIO_EUR,PAID,D5,AT22	5819 
A,MIO_EUR,PAID,D5,AT31	7439 
A,MIO_EUR,PAID,D5,AT32	2876 
A,MIO_EUR,PAID,D5,AT33	3651 
A,MIO_EUR,PAID,D5,AT34	2260 
A,MIO_EUR,PAID,D5,ATZZ	0 
A,MIO_EUR,PAID,D5,BE10	4892.3 
A,MIO_EUR,PAID,D5,BE21	10614.5 
A,MIO_EUR,PAID,D5,BE22	4380.8 
A,MIO_EUR,PAID,D5,BE23	8124.7 
A,MIO_EUR,PAID,D5,BE24	8090.5 
A,MIO_EUR,PAID,D5,BE25	6518 
A,MIO_EUR,PAID,D5,BE31	2828.2 
A,MIO_EUR,PAID,D5,BE32	5587.8 
A,MIO_EUR,PAID,D5,BE33	5123.1 
A,MIO_EUR,PAID,D5,BE34	919.5 
A,MIO_EUR,PAID,D5,BE35	2588.9 
A,MIO_EUR,PAID,D5,BEZZ	0 
A,MIO_EUR,PAID,D5,BG31	181.18 
A,MIO_EUR,PAID,D5,BG32	247.62 
A,MIO_EUR,PAID,D5,BG33	275.57 
A,MIO_EUR,PAID,D5,BG34	270.26 
A,MIO_EUR,PAID,D5,BG41	1219.33 
A,MIO_EUR,PAID,D5,BG42	364.26 
A,MIO_EUR,PAID,D5,CY00	848.64 
A,MIO_EUR,PAID,D5,CZ01	1941.85 
A,MIO_EUR,PAID,D5,CZ02	1412.25 
A,MIO_EUR,PAID,D5,CZ03	1143.84 
A,MIO_EUR,PAID,D5,CZ04	939.63 
A,MIO_EUR,PAID,D5,CZ05	1327.22 
A,MIO_EUR,PAID,D5,CZ06	1574.49 
A,MIO_EUR,PAID,D5,CZ07	1023.44 
A,MIO_EUR,PAID,D5,CZ08	1012.05 
A,MIO_EUR,PAID,D5,DE11	22752.54 e
A,MIO_EUR,PAID,D5,DE12	14113.01 e
A,MIO_EUR,PAID,D5,DE13	9578.78 e
A,MIO_EUR,PAID,D5,DE14	9070.13 e
A,MIO_EUR,PAID,D5,DE21	33312.09 e
A,MIO_EUR,PAID,D5,DE22	5144.89 e
A,MIO_EUR,PAID,D5,DE23	4843.11 e
A,MIO_EUR,PAID,D5,DE24	4318.58 e
A,MIO_EUR,PAID,D5,DE25	8731.11 e
A,MIO_EUR,PAID,D5,DE26	5735.38 e
A,MIO_EUR,PAID,D5,DE27	8489.37 e
A,MIO_EUR,PAID,D5,DE30	16611.77 e
A,MIO_EUR,PAID,D5,DE40	8617.88 e
A,MIO_EUR,PAID,D5,DE50	2502.68 e
A,MIO_EUR,PAID,D5,DE60	11028.92 e
A,MIO_EUR,PAID,D5,DE71	22532.87 e
A,MIO_EUR,PAID,D5,DE72	3977.87 e
A,MIO_EUR,PAID,D5,DE73	4269.59 e
A,MIO_EUR,PAID,D5,DE80	4531.6 e
A,MIO_EUR,PAID,D5,DE91	6859.75 e
A,MIO_EUR,PAID,D5,DE92	8769.8 e
A,MIO_EUR,PAID,D5,DE93	6996.3 e
A,MIO_EUR,PAID,D5,DE94	8763.33 e
A,MIO_EUR,PAID,D5,DEA1	23395.5 e
A,MIO_EUR,PAID,D5,DEA2	21157.63 e
