freq,wstatus,age,sex,unit,geo\TIME_PERIOD	2017 	2021 
A,SLACK,Y15-64,T,PC_ELF,AT11	12.1 	10.5 b
A,SLACK,Y15-64,T,PC_ELF,AT12	11.2 	10.3 b
A,SLACK,Y15-64,T,PC_ELF,AT13	21.2 	20.7 b
A,SLACK,Y15-64,T,PC_ELF,AT21	11.9 	11.4 b
A,SLACK,Y15-64,T,PC_ELF,AT22	12.1 	10.0 b
A,SLACK,Y15-64,T,PC_ELF,AT31	10.2 	8.5 b
A,SLACK,Y15-64,T,PC_ELF,AT32	8.5 	9.8 b
A,SLACK,Y15-64,T,PC_ELF,AT33	9.3 	10.3 b
A,SLACK,Y15-64,T,PC_ELF,AT34	9.2 	8.9 b
A,SLACK,Y15-64,T,PC_ELF,BE10	24.3 b	22.4 b
A,SLACK,Y15-64,T,PC_ELF,BE21	10.9 b	11.2 b
A,SLACK,Y15-64,T,PC_ELF,BE22	10.9 b	9.7 b
A,SLACK,Y15-64,T,PC_ELF,BE23	8.2 b	6.8 b
A,SLACK,Y15-64,T,PC_ELF,BE24	9.7 b	8.3 b
A,SLACK,Y15-64,T,PC_ELF,BE25	8.3 b	8.2 b
A,SLACK,Y15-64,T,PC_ELF,BE31	15.2 b	15.4 b
A,SLACK,Y15-64,T,PC_ELF,BE32	19.5 b	18.6 b
A,SLACK,Y15-64,T,PC_ELF,BE33	18.6 b	18.3 b
A,SLACK,Y15-64,T,PC_ELF,BE34	13.6 b	14.1 b
A,SLACK,Y15-64,T,PC_ELF,BE35	14.0 b	15.0 b
A,SLACK,Y15-64,T,PC_ELF,BG31	21.7 	17.9 b
A,SLACK,Y15-64,T,PC_ELF,BG32	14.4 	10.8 b
A,SLACK,Y15-64,T,PC_ELF,BG33	13.7 	9.4 b
A,SLACK,Y15-64,T,PC_ELF,BG34	13.8 	11.3 b
A,SLACK,Y15-64,T,PC_ELF,BG41	5.2 	4.9 b
A,SLACK,Y15-64,T,PC_ELF,BG42	12.1 	8.7 b
A,SLACK,Y15-64,T,PC_ELF,CH01	21.3 	19.2 b
A,SLACK,Y15-64,T,PC_ELF,CH02	14.2 	12.7 b
A,SLACK,Y15-64,T,PC_ELF,CH03	15.2 	13.7 b
A,SLACK,Y15-64,T,PC_ELF,CH04	14.5 	13.1 b
A,SLACK,Y15-64,T,PC_ELF,CH05	12.7 	11.5 b
A,SLACK,Y15-64,T,PC_ELF,CH06	11.2 	10.2 b
A,SLACK,Y15-64,T,PC_ELF,CH07	20.8 	21.7 b
A,SLACK,Y15-64,T,PC_ELF,CY00	21.3 	15.0 b
A,SLACK,Y15-64,T,PC_ELF,CZ01	2.4 	3.6 b
A,SLACK,Y15-64,T,PC_ELF,CZ02	2.9 	3.2 b
A,SLACK,Y15-64,T,PC_ELF,CZ03	3.0 	3.5 b
A,SLACK,Y15-64,T,PC_ELF,CZ04	5.2 	5.5 b
A,SLACK,Y15-64,T,PC_ELF,CZ05	4.5 	3.1 b
A,SLACK,Y15-64,T,PC_ELF,CZ06	4.7 	3.3 b
A,SLACK,Y15-64,T,PC_ELF,CZ07	4.7 	3.3 b
A,SLACK,Y15-64,T,PC_ELF,CZ08	6.3 	6.3 b
A,SLACK,Y15-64,T,PC_ELF,DE11	7.9 	7.1 b
A,SLACK,Y15-64,T,PC_ELF,DE12	8.4 	7.8 b
A,SLACK,Y15-64,T,PC_ELF,DE13	7.4 	7.2 b
A,SLACK,Y15-64,T,PC_ELF,DE14	6.8 	6.6 b
A,SLACK,Y15-64,T,PC_ELF,DE21	5.4 	6.0 b
A,SLACK,Y15-64,T,PC_ELF,DE22	4.6 	4.2 b
A,SLACK,Y15-64,T,PC_ELF,DE23	5.5 	5.4 b
A,SLACK,Y15-64,T,PC_ELF,DE24	8.1 	6.4 b
A,SLACK,Y15-64,T,PC_ELF,DE25	6.2 	6.9 b
A,SLACK,Y15-64,T,PC_ELF,DE26	6.5 	5.3 b
A,SLACK,Y15-64,T,PC_ELF,DE27	5.7 	5.8 b
A,SLACK,Y15-64,T,PC_ELF,DE30	12.9 	11.3 b
A,SLACK,Y15-64,T,PC_ELF,DE40	11.2 	7.2 b
A,SLACK,Y15-64,T,PC_ELF,DE50	12.2 	13.1 b
A,SLACK,Y15-64,T,PC_ELF,DE60	9.3 	9.7 b
A,SLACK,Y15-64,T,PC_ELF,DE71	8.6 	8.8 b
A,SLACK,Y15-64,T,PC_ELF,DE72	9.9 	8.5 b
A,SLACK,Y15-64,T,PC_ELF,DE73	8.2 	7.3 b
A,SLACK,Y15-64,T,PC_ELF,DE80	13.5 	8.5 b
A,SLACK,Y15-64,T,PC_ELF,DE91	10.0 	9.1 b
A,SLACK,Y15-64,T,PC_ELF,DE92	10.1 	7.5 b
A,SLACK,Y15-64,T,PC_ELF,DE93	8.7 	6.9 b
A,SLACK,Y15-64,T,PC_ELF,DE94	7.2 	7.8 b
A,SLACK,Y15-64,T,PC_ELF,DEA1	9.9 	10.0 b
A,SLACK,Y15-64,T,PC_ELF,DEA2	8.6 	9.2 b
A,SLACK,Y15-64,T,PC_ELF,DEA3	9.3 	8.1 b
A,SLACK,Y15-64,T,PC_ELF,DEA4	9.5 	8.5 b
A,SLACK,Y15-64,T,PC_ELF,DEA5	10.8 	10.0 b
A,SLACK,Y15-64,T,PC_ELF,DEB1	8.2 	7.2 b
A,SLACK,Y15-64,T,PC_ELF,DEB2	6.7 	7.1 bu
A,SLACK,Y15-64,T,PC_ELF,DEB3	10.2 	8.7 b
A,SLACK,Y15-64,T,PC_ELF,DEC0	8.9 	7.1 b
A,SLACK,Y15-64,T,PC_ELF,DED2	11.5 	7.6 b
A,SLACK,Y15-64,T,PC_ELF,DED4	10.5 	6.1 b
A,SLACK,Y15-64,T,PC_ELF,DED5	12.6 	9.0 b
A,SLACK,Y15-64,T,PC_ELF,DEE0	14.3 	9.5 b
A,SLACK,Y15-64,T,PC_ELF,DEF0	8.9 	7.6 b
A,SLACK,Y15-64,T,PC_ELF,DEG0	11.1 	7.7 b
A,SLACK,Y15-64,T,PC_ELF,DK01	13.3 b	11.3 b
A,SLACK,Y15-64,T,PC_ELF,DK02	12.5 b	9.7 b
A,SLACK,Y15-64,T,PC_ELF,DK03	12.8 b	8.9 b
A,SLACK,Y15-64,T,PC_ELF,DK04	11.9 b	10.4 b
A,SLACK,Y15-64,T,PC_ELF,DK05	13.2 b	10.5 b
A,SLACK,Y15-64,T,PC_ELF,EE00	10.3 	10.9 b
