freq,isced11,sex,age,unit,geo\TIME_PERIOD	2017 	2021 
A,TOTAL,T,Y15-64,PC_ACT,AT11	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,AT12	1.8 	1.7 b
A,TOTAL,T,Y15-64,PC_ACT,AT13	4.1 	4.9 b
A,TOTAL,T,Y15-64,PC_ACT,AT21	1.7 u	1.6 bu
A,TOTAL,T,Y15-64,PC_ACT,AT22	1.4 	0.9 bu
A,TOTAL,T,Y15-64,PC_ACT,AT31	1.1 	1.0 b
A,TOTAL,T,Y15-64,PC_ACT,AT32	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,AT33	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,AT34	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,BE10	8.1 b	6.9 b
A,TOTAL,T,Y15-64,PC_ACT,BE21	2.3 b	1.4 b
A,TOTAL,T,Y15-64,PC_ACT,BE22	1.6 b	0.8 bu
A,TOTAL,T,Y15-64,PC_ACT,BE23	1.0 b	0.6 bu
A,TOTAL,T,Y15-64,PC_ACT,BE24	1.6 b	1.6 b
A,TOTAL,T,Y15-64,PC_ACT,BE25	1.0 b	0.7 bu
A,TOTAL,T,Y15-64,PC_ACT,BE31	3.7 b	3.2 b
A,TOTAL,T,Y15-64,PC_ACT,BE32	7.2 b	5.6 b
A,TOTAL,T,Y15-64,PC_ACT,BE33	6.5 b	4.5 b
A,TOTAL,T,Y15-64,PC_ACT,BE34	2.6 bu	1.8 bu
A,TOTAL,T,Y15-64,PC_ACT,BE35	3.8 b	3.2 b
A,TOTAL,T,Y15-64,PC_ACT,BG31	7.5 	7.8 b
A,TOTAL,T,Y15-64,PC_ACT,BG32	4.4 	3.8 b
A,TOTAL,T,Y15-64,PC_ACT,BG33	4.7 	2.6 b
A,TOTAL,T,Y15-64,PC_ACT,BG34	3.7 	2.2 b
A,TOTAL,T,Y15-64,PC_ACT,BG41	1.7 	1.4 b
A,TOTAL,T,Y15-64,PC_ACT,BG42	2.7 	1.9 b
A,TOTAL,T,Y15-64,PC_ACT,CH01	3.0 	3.2 b
A,TOTAL,T,Y15-64,PC_ACT,CH02	1.6 	1.5 b
A,TOTAL,T,Y15-64,PC_ACT,CH03	1.5 	1.8 b
A,TOTAL,T,Y15-64,PC_ACT,CH04	1.4 	1.7 b
A,TOTAL,T,Y15-64,PC_ACT,CH05	1.2 	1.6 b
A,TOTAL,T,Y15-64,PC_ACT,CH06	0.9 u	1.1 b
A,TOTAL,T,Y15-64,PC_ACT,CH07	2.4 u	3.7 b
A,TOTAL,T,Y15-64,PC_ACT,CY00	4.6 	2.6 b
A,TOTAL,T,Y15-64,PC_ACT,CZ01	0.5 	0.5 b
A,TOTAL,T,Y15-64,PC_ACT,CZ02	0.8 	0.8 b
A,TOTAL,T,Y15-64,PC_ACT,CZ03	0.7 	0.6 b
A,TOTAL,T,Y15-64,PC_ACT,CZ04	1.4 	1.3 b
A,TOTAL,T,Y15-64,PC_ACT,CZ05	0.8 	0.7 b
A,TOTAL,T,Y15-64,PC_ACT,CZ06	1.0 	0.7 b
A,TOTAL,T,Y15-64,PC_ACT,CZ07	1.1 	0.7 b
A,TOTAL,T,Y15-64,PC_ACT,CZ08	2.1 	1.4 b
A,TOTAL,T,Y15-64,PC_ACT,DE11	0.9 	0.9 bu
A,TOTAL,T,Y15-64,PC_ACT,DE12	1.0 	1.1 bu
A,TOTAL,T,Y15-64,PC_ACT,DE13	0.9 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE14	0.6 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE21	0.6 	0.5 bu
A,TOTAL,T,Y15-64,PC_ACT,DE22	0.8 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE23	0.9 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE24	1.1 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE25	0.7 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE26	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE27	0.9 	1.1 bu
A,TOTAL,T,Y15-64,PC_ACT,DE30	2.9 	1.8 b
A,TOTAL,T,Y15-64,PC_ACT,DE40	2.4 	1.4 bu
A,TOTAL,T,Y15-64,PC_ACT,DE50	1.7 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE60	1.9 	1.6 bu
A,TOTAL,T,Y15-64,PC_ACT,DE71	1.3 	1.4 b
A,TOTAL,T,Y15-64,PC_ACT,DE72	1.5 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE73	1.0 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE80	2.7 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE91	2.1 	1.6 bu
A,TOTAL,T,Y15-64,PC_ACT,DE92	2.3 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE93	1.4 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DE94	1.2 	1.3 bu
A,TOTAL,T,Y15-64,PC_ACT,DEA1	2.1 	1.5 b
A,TOTAL,T,Y15-64,PC_ACT,DEA2	1.6 	1.5 b
A,TOTAL,T,Y15-64,PC_ACT,DEA3	1.6 	1.1 bu
A,TOTAL,T,Y15-64,PC_ACT,DEA4	1.6 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DEA5	2.2 	1.5 b
A,TOTAL,T,Y15-64,PC_ACT,DEB1	1.2 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DEB2	: u	: bu
A,TOTAL,T,Y15-64,PC_ACT,DEB3	1.3 	1.6 bu
A,TOTAL,T,Y15-64,PC_ACT,DEC0	1.9 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DED2	2.2 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DED4	2.2 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DED5	2.6 	: bu
A,TOTAL,T,Y15-64,PC_ACT,DEE0	4.0 	2.2 bu
A,TOTAL,T,Y15-64,PC_ACT,DEF0	1.3 	1.0 bu
A,TOTAL,T,Y15-64,PC_ACT,DEG0	2.1 	1.3 bu
A,TOTAL,T,Y15-64,PC_ACT,DK01	1.4 b	1.3 b
A,TOTAL,T,Y15-64,PC_ACT,DK02	1.3 b	0.9 bu
A,TOTAL,T,Y15-64,PC_ACT,DK03	1.2 b	0.7 b
A,TOTAL,T,Y15-64,PC_ACT,DK04	1.0 b	0.9 b
A,TOTAL,T,Y15-64,PC_ACT,DK05	1.2 bu	1.2 bu
A,TOTAL,T,Y15-64,PC_ACT,EE00	2.1 	1.6 b
A,TOTAL,T,Y15-64,PC_ACT,EL30	16.7 	7.3 b
A,TOTAL,T,Y15-64,PC_ACT,EL41	15.5 	8.6 b
A,TOTAL,T,Y15-64,PC_ACT,EL42	6.3 	4.5 b
A,TOTAL,T,Y15-64,PC_ACT,EL43	10.0 	6.7 b
A,TOTAL,T,Y15-64,PC_ACT,EL51	14.1 	14.2 b
A,TOTAL,T,Y15-64,PC_ACT,EL52	16.6 	11.0 b
A,TOTAL,T,Y15-64,PC_ACT,EL53	21.0 	12.7 b
A,TOTAL,T,Y15-64,PC_ACT,EL54	18.7 	8.1 b
A,TOTAL,T,Y15-64,PC_ACT,EL61	16.2 	11.7 b
A,TOTAL,T,Y15-64,PC_ACT,EL62	10.2 	6.3 b
A,TOTAL,T,Y15-64,PC_ACT,EL63	19.9 	11.4 b
A,TOTAL,T,Y15-64,PC_ACT,EL64	15.6 	13.8 b
A,TOTAL,T,Y15-64,PC_ACT,EL65	12.5 	8.1 b
A,TOTAL,T,Y15-64,PC_ACT,ES11	7.9 	4.7 bd
A,TOTAL,T,Y15-64,PC_ACT,ES12	7.0 	5.7 bd
A,TOTAL,T,Y15-64,PC_ACT,ES13	6.5 	4.2 bd
A,TOTAL,T,Y15-64,PC_ACT,ES21	5.5 	4.2 bd
A,TOTAL,T,Y15-64,PC_ACT,ES22	3.8 	4.2 bd
A,TOTAL,T,Y15-64,PC_ACT,ES23	5.0 	4.1 bd
A,TOTAL,T,Y15-64,PC_ACT,ES24	4.8 	3.6 bd
A,TOTAL,T,Y15-64,PC_ACT,ES30	6.1 	4.7 bd
A,TOTAL,T,Y15-64,PC_ACT,ES41	6.1 	4.6 bd
A,TOTAL,T,Y15-64,PC_ACT,ES42	9.6 	7.2 bd
A,TOTAL,T,Y15-64,PC_ACT,ES43	12.0 	7.0 bd
A,TOTAL,T,Y15-64,PC_ACT,ES51	6.3 	4.9 bd
A,TOTAL,T,Y15-64,PC_ACT,ES52	7.6 	6.9 bd
A,TOTAL,T,Y15-64,PC_ACT,ES53	3.5 	5.6 bd
A,TOTAL,T,Y15-64,PC_ACT,ES61	11.0 	9.0 bd
A,TOTAL,T,Y15-64,PC_ACT,ES62	7.6 	6.0 bd
A,TOTAL,T,Y15-64,PC_ACT,ES63	13.0 u	20.8 bd
A,TOTAL,T,Y15-64,PC_ACT,ES64	17.8 	16.2 bd
A,TOTAL,T,Y15-64,PC_ACT,ES70	11.2 	11.8 bd
A,TOTAL,T,Y15-64,PC_ACT,FI19	2.2 	2.0 b
