freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y25-64,AT	15.8 	14.6 b
A,PC,T,Y25-64,AT1	17.4 	16.2 b
A,PC,T,Y25-64,AT11	11.5 	11.4 b
A,PC,T,Y25-64,AT12	14.3 	12.3 b
A,PC,T,Y25-64,AT13	20.8 	20.2 b
A,PC,T,Y25-64,AT2	14.5 	13.5 b
A,PC,T,Y25-64,AT21	13.2 	12.8 b
A,PC,T,Y25-64,AT22	15.1 	13.8 b
A,PC,T,Y25-64,AT3	14.5 	13.2 b
A,PC,T,Y25-64,AT31	14.2 	12.6 b
A,PC,T,Y25-64,AT32	14.2 	13.0 b
A,PC,T,Y25-64,AT33	15.1 	14.9 b
A,PC,T,Y25-64,AT34	15.2 	12.4 b
A,PC,T,Y25-64,BA	: 	2.1 
A,PC,T,Y25-64,BE	8.5 b	10.2 b
A,PC,T,Y25-64,BE1	12.6 b	14.6 b
A,PC,T,Y25-64,BE10	12.6 b	14.6 b
A,PC,T,Y25-64,BE2	8.7 b	10.8 b
A,PC,T,Y25-64,BE21	7.3 b	10.4 b
A,PC,T,Y25-64,BE22	8.4 b	8.8 b
A,PC,T,Y25-64,BE23	9.7 b	12.7 b
A,PC,T,Y25-64,BE24	10.2 b	9.8 b
A,PC,T,Y25-64,BE25	8.2 b	11.3 b
A,PC,T,Y25-64,BE3	6.7 b	7.5 b
A,PC,T,Y25-64,BE31	9.6 b	12.0 b
A,PC,T,Y25-64,BE32	4.8 b	4.5 b
A,PC,T,Y25-64,BE33	7.0 b	8.7 b
A,PC,T,Y25-64,BE34	7.1 b	8.7 b
A,PC,T,Y25-64,BE35	8.4 b	8.6 b
A,PC,T,Y25-64,BG	2.3 	1.7 b
A,PC,T,Y25-64,BG3	1.5 	1.3 b
A,PC,T,Y25-64,BG31	1.2 u	: bu
A,PC,T,Y25-64,BG32	1.8 	2.6 b
A,PC,T,Y25-64,BG33	1.4 	0.9 bu
A,PC,T,Y25-64,BG34	1.8 	1.0 bu
