freq,unit,geo\TIME_PERIOD	2017 	2021 
A,P_HTHAB,AT11	406.08 	447.44 
A,P_HTHAB,AT12	458.10 	480.93 
A,P_HTHAB,AT13	682.20 	703.80 
A,P_HTHAB,AT21	460.62 	497.43 
A,P_HTHAB,AT22	509.14 	524.40 
A,P_HTHAB,AT31	415.16 	438.42 
A,P_HTHAB,AT32	554.71 	589.33 
A,P_HTHAB,AT33	540.71 	577.74 
A,P_HTHAB,AT34	417.43 	439.25 
A,P_HTHAB,BE10	382.69 	399.84 
A,P_HTHAB,BE21	263.10 	278.89 
A,P_HTHAB,BE22	249.20 	264.09 
A,P_HTHAB,BE23	281.62 	300.19 
A,P_HTHAB,BE24	397.67 	416.32 
A,P_HTHAB,BE25	253.88 	267.48 
A,P_HTHAB,BE31	508.71 	543.63 
A,P_HTHAB,BE32	252.88 	259.64 
A,P_HTHAB,BE33	351.15 	372.74 
A,P_HTHAB,BE34	227.87 	240.22 
A,P_HTHAB,BE35	345.50 	360.79 
A,P_HTHAB,BG31	437.74 	462.14 
A,P_HTHAB,BG32	324.79 	331.73 
A,P_HTHAB,BG33	387.94 	395.82 
A,P_HTHAB,BG34	343.39 	351.94 
A,P_HTHAB,BG41	441.88 	464.60 
A,P_HTHAB,BG42	401.20 	407.03 
A,P_HTHAB,CH01	489.12 	503.75 
A,P_HTHAB,CH02	388.53 	400.40 
A,P_HTHAB,CH03	452.12 	468.55 
A,P_HTHAB,CH04	522.54 	523.46 
A,P_HTHAB,CH05	349.31 	359.90 
A,P_HTHAB,CH06	314.70 	335.64 
A,P_HTHAB,CH07	436.67 	491.78 
A,P_HTHAB,CY00	386.84 d	: 
A,P_HTHAB,CZ01	729.47 e	795.17 e
A,P_HTHAB,CZ02	262.95 e	274.41 e
A,P_HTHAB,CZ03	371.72 e	394.48 e
A,P_HTHAB,CZ04	312.41 e	337.62 e
A,P_HTHAB,CZ05	341.34 e	366.72 e
A,P_HTHAB,CZ06	421.85 e	445.31 e
A,P_HTHAB,CZ07	367.89 e	399.00 e
A,P_HTHAB,CZ08	365.60 e	391.71 e
A,P_HTHAB,DK01	478.45 	522.48 
A,P_HTHAB,DK02	367.72 	386.84 
A,P_HTHAB,DK03	389.83 	428.47 
A,P_HTHAB,DK04	392.84 	434.94 
A,P_HTHAB,DK05	347.48 	386.07 
A,P_HTHAB,EE00	346.82 	: 
A,P_HTHAB,EL30	791.92 d	826.54 d
A,P_HTHAB,EL41	365.93 d	361.94 d
A,P_HTHAB,EL42	332.72 d	389.72 d
A,P_HTHAB,EL43	636.09 d	615.04 d
A,P_HTHAB,EL51	494.86 d	533.69 d
A,P_HTHAB,EL52	612.71 d	654.40 d
A,P_HTHAB,EL53	356.57 d	309.30 d
A,P_HTHAB,EL54	667.87 d	732.71 d
A,P_HTHAB,EL61	522.26 d	531.75 d
A,P_HTHAB,EL62	483.91 d	510.76 d
A,P_HTHAB,EL63	500.97 d	508.32 d
A,P_HTHAB,EL64	287.21 d	332.17 d
A,P_HTHAB,EL65	369.92 d	398.59 d
A,P_HTHAB,ES11	457.13 e	451.31 e
A,P_HTHAB,ES12	420.58 e	448.71 e
A,P_HTHAB,ES13	516.35 e	621.73 e
A,P_HTHAB,ES21	498.18 e	523.79 e
A,P_HTHAB,ES22	540.25 e	667.83 e
A,P_HTHAB,ES23	490.48 e	347.73 e
A,P_HTHAB,ES24	497.26 e	549.13 e
A,P_HTHAB,ES30	445.50 e	555.66 e
A,P_HTHAB,ES41	417.71 e	391.62 e
A,P_HTHAB,ES42	304.55 e	276.34 e
A,P_HTHAB,ES43	254.66 e	416.52 e
A,P_HTHAB,ES51	350.72 e	423.18 e
A,P_HTHAB,ES52	378.69 e	430.59 e
A,P_HTHAB,ES53	281.98 e	572.56 e
A,P_HTHAB,ES61	323.23 e	381.25 e
A,P_HTHAB,ES62	436.62 e	370.93 e
A,P_HTHAB,ES63	783.59 e	762.51 e
A,P_HTHAB,ES64	: e	: e
A,P_HTHAB,ES70	371.10 e	502.29 e
A,P_HTHAB,FI19	246.80 	262.07 
A,P_HTHAB,FI1B	316.10 	319.60 
A,P_HTHAB,FI1C	259.48 	265.76 
A,P_HTHAB,FI1D	275.10 	286.20 
A,P_HTHAB,FI20	91.99 	105.83 
A,P_HTHAB,FR10	363.46 	358.98 
A,P_HTHAB,FRB0	246.68 	241.23 
A,P_HTHAB,FRC1	272.56 	282.61 
A,P_HTHAB,FRC2	284.53 	288.58 
A,P_HTHAB,FRD1	284.53 	291.97 
A,P_HTHAB,FRD2	256.41 	260.85 
A,P_HTHAB,FRE1	297.96 	302.22 
A,P_HTHAB,FRE2	244.14 	241.04 
A,P_HTHAB,FRF1	336.00 	346.65 
A,P_HTHAB,FRF2	266.86 	276.07 
A,P_HTHAB,FRF3	285.47 	284.93 
A,P_HTHAB,FRG0	266.64 	277.85 
A,P_HTHAB,FRH0	298.87 	315.22 
A,P_HTHAB,FRI1	334.41 	352.37 
A,P_HTHAB,FRI2	318.05 	311.53 
A,P_HTHAB,FRI3	274.55 	279.11 
A,P_HTHAB,FRJ1	341.76 	346.42 
A,P_HTHAB,FRJ2	324.51 	317.27 
A,P_HTHAB,FRK1	292.53 	299.93 
A,P_HTHAB,FRK2	320.53 	326.94 
A,P_HTHAB,FRL0	383.07 	382.69 
A,P_HTHAB,FRM0	285.68 	295.19 
A,P_HTHAB,FRY1	248.32 	267.72 
A,P_HTHAB,FRY2	276.24 	307.66 
A,P_HTHAB,FRY3	207.04 	227.24 
A,P_HTHAB,FRY4	309.43 	333.03 
A,P_HTHAB,FRY5	75.33 	85.66 
A,P_HTHAB,HR02	: 	330.77 
A,P_HTHAB,HR03	313.63 	354.78 
A,P_HTHAB,HR05	: 	633.06 
A,P_HTHAB,HR06	: 	228.73 
A,P_HTHAB,HU11	541.74 	548.05 
A,P_HTHAB,HU12	246.21 	246.24 
A,P_HTHAB,HU21	229.68 	233.38 
A,P_HTHAB,HU22	272.97 	264.09 
A,P_HTHAB,HU23	336.99 	346.20 
A,P_HTHAB,HU31	226.96 	216.23 
A,P_HTHAB,HU32	310.43 	319.36 
A,P_HTHAB,HU33	338.09 	327.95 
A,P_HTHAB,IE04	: 	: b
A,P_HTHAB,IE05	: 	: b
A,P_HTHAB,IE06	: 	: b
A,P_HTHAB,IS00	387.30 	: 
A,P_HTHAB,ITC1	363.05 	373.26 
A,P_HTHAB,ITC2	369.84 	368.56 
A,P_HTHAB,ITC3	453.00 	469.26 
A,P_HTHAB,ITC4	369.54 	380.55 
A,P_HTHAB,ITF1	428.22 	442.32 
A,P_HTHAB,ITF2	402.62 	416.41 
A,P_HTHAB,ITF3	384.90 	392.92 
A,P_HTHAB,ITF4	373.10 	388.79 
A,P_HTHAB,ITF5	353.06 	338.40 
A,P_HTHAB,ITF6	388.19 	371.04 
A,P_HTHAB,ITG1	430.38 	443.11 
A,P_HTHAB,ITG2	485.26 	483.41 
A,P_HTHAB,ITH1	321.48 	342.66 
A,P_HTHAB,ITH2	336.76 	329.97 
A,P_HTHAB,ITH3	342.85 	357.11 
A,P_HTHAB,ITH4	402.97 	400.47 
A,P_HTHAB,ITH5	422.31 	439.27 
A,P_HTHAB,ITI1	438.51 	452.85 
A,P_HTHAB,ITI2	446.68 	456.19 
A,P_HTHAB,ITI3	372.92 	386.82 
A,P_HTHAB,ITI4	459.22 	483.22 
A,P_HTHAB,LI00	363.52 	: 
A,P_HTHAB,LT01	586.39 	562.52 
A,P_HTHAB,LT02	403.58 	399.52 
A,P_HTHAB,LU00	298.49 	: 
A,P_HTHAB,LV00	320.50 	: 
A,P_HTHAB,ME00	265.11 	: 
