freq,unit,geo\TIME_PERIOD	2017 	2021 
A,RT,AL	: 	1.0 
A,RT,AL0	: 	1.0 
A,RT,AT	1.0 	1.0 
A,RT,AT1	1.3 	1.2 
A,RT,AT11	0.4 	0.6 
A,RT,AT12	0.4 	0.4 
A,RT,AT13	2.1 	2.1 
A,RT,AT2	0.9 	0.9 
A,RT,AT21	0.6 	0.6 
A,RT,AT22	1.0 	1.0 
A,RT,AT3	0.7 	0.8 
A,RT,AT31	0.6 	0.6 
A,RT,AT32	1.0 	1.0 
A,RT,AT33	1.2 	1.2 
A,RT,AT34	0.3 	0.3 
A,RT,BE	1.0 d	1.0 d
A,RT,BE1	2.1 d	2.2 d
A,RT,BE10	2.1 d	2.2 d
A,RT,BE2	0.9 d	0.8 d
A,RT,BE21	0.8 d	0.8 d
A,RT,BE22	0.6 d	0.6 d
A,RT,BE23	1.1 d	1.2 d
A,RT,BE24	1.2 d	0.9 d
A,RT,BE25	0.5 d	0.5 d
A,RT,BE3	0.9 d	0.9 d
A,RT,BE31	1.5 d	1.7 d
A,RT,BE32	0.7 d	0.6 d
A,RT,BE33	1.0 d	1.1 d
A,RT,BE34	0.4 d	0.3 d
A,RT,BE35	0.9 d	0.9 d
A,RT,BEZ	: d	: 
A,RT,BEZZ	: d	: 
A,RT,BE_FRA	: d	: 
A,RT,BE_VLA	: d	: 
A,RT,BG	1.0 	1.0 
A,RT,BG3	0.7 	0.7 
A,RT,BG31	0.1 	0.2 
A,RT,BG32	1.3 	1.1 
A,RT,BG33	1.0 	1.0 
A,RT,BG34	0.4 	0.4 
A,RT,BG4	1.3 	1.3 
A,RT,BG41	1.6 	1.6 
A,RT,BG42	0.8 	0.8 
A,RT,BGZ	: z	: 
A,RT,BGZZ	: z	: 
A,RT,CH	1.0 	1.0 
A,RT,CH0	0.9 	0.9 
A,RT,CH01	1.2 	1.2 
A,RT,CH02	0.9 	0.9 
A,RT,CH03	0.5 	0.5 
A,RT,CH04	1.6 	1.6 
A,RT,CH05	0.6 	0.6 
A,RT,CH06	0.7 	0.8 
A,RT,CH07	0.6 	0.6 
A,RT,CY	1.0 	1.0 
A,RT,CY0	1.0 	1.0 
A,RT,CY00	1.0 	1.0 
A,RT,CZ	1.0 	1.0 
A,RT,CZ0	1.0 	1.0 
A,RT,CZ01	3.1 	3.1 
A,RT,CZ02	0.1 	0.1 
A,RT,CZ03	0.8 	0.8 
A,RT,CZ04	0.3 	0.4 
A,RT,CZ05	0.6 	0.5 
A,RT,CZ06	1.4 	1.4 
A,RT,CZ07	0.8 	0.9 
A,RT,CZ08	0.8 	0.7 
A,RT,DE	: 	1.0 
A,RT,DE1	: 	0.9 d
A,RT,DE2	: 	0.8 d
A,RT,DE3	: 	: d
A,RT,DE4	: 	: d
A,RT,DE5	: 	: d
A,RT,DE6	: 	: d
A,RT,DE7	: 	: d
A,RT,DE8	: 	: d
A,RT,DE9	: 	: d
A,RT,DEA	: 	1.2 d
A,RT,DEB	: 	0.8 d
A,RT,DEC	: 	0.9 d
A,RT,DED	: 	: d
A,RT,DEE	: 	: d
A,RT,DEF	: 	: d
A,RT,DEG	: 	: d
A,RT,DK	1.0 	1.0 
A,RT,DK0	1.0 	1.0 
A,RT,DK01	1.3 	1.3 
A,RT,DK02	0.5 	0.5 
A,RT,DK03	0.8 	0.8 
A,RT,DK04	1.0 	1.0 
A,RT,DK05	1.0 	1.0 
A,RT,EE	1.0 	1.0 
A,RT,EE0	1.0 	1.0 
A,RT,EE00	1.0 	1.0 
A,RT,EL	1.0 	1.0 
A,RT,EL3	1.1 	1.0 
A,RT,EL30	1.1 	1.0 
A,RT,EL4	0.8 	0.8 
A,RT,EL41	0.9 	0.9 
A,RT,EL42	0.2 	0.3 
A,RT,EL43	1.0 	1.1 
A,RT,EL5	1.1 	1.1 
A,RT,EL51	0.9 	1.0 
A,RT,EL52	1.0 	1.1 
A,RT,EL53	1.3 	1.6 
A,RT,EL54	1.4 	1.5 
A,RT,EL6	0.9 	0.9 
A,RT,EL61	0.7 	0.8 
A,RT,EL62	0.7 	0.8 
A,RT,EL63	2.0 	1.9 
A,RT,EL64	0.5 	0.6 
A,RT,EL65	0.4 	0.4 
A,RT,ES	1.0 	1.0 
A,RT,ES1	0.8 	0.8 
A,RT,ES11	0.8 	0.8 
A,RT,ES12	0.8 	0.8 
A,RT,ES13	0.8 	0.9 
A,RT,ES2	1.0 	1.1 
A,RT,ES21	0.9 	0.9 
A,RT,ES22	0.9 	0.9 
A,RT,ES23	2.3 	3.6 
A,RT,ES24	0.9 	0.9 
A,RT,ES3	1.4 	1.4 
A,RT,ES30	1.4 	1.4 
A,RT,ES4	0.8 	0.8 
A,RT,ES41	1.0 	1.0 
A,RT,ES42	0.6 	0.6 
A,RT,ES43	0.7 	0.7 
A,RT,ES5	1.0 	1.0 
A,RT,ES51	1.1 	1.1 
A,RT,ES52	1.0 	1.0 
A,RT,ES53	0.5 	0.5 
A,RT,ES6	0.9 	0.9 
A,RT,ES61	0.9 	0.9 
A,RT,ES62	1.1 	1.0 
A,RT,ES63	0.7 	0.7 
A,RT,ES64	0.7 	0.8 
A,RT,ES7	0.7 	0.7 
A,RT,ES70	0.7 	0.7 
A,RT,EU27_2020	: 	1.0 d
A,RT,FI	1.0 	1.0 
A,RT,FI1	1.0 	1.0 
A,RT,FI19	1.1 	1.1 
A,RT,FI1B	1.1 	1.0 
A,RT,FI1C	0.9 	0.9 
A,RT,FI1D	1.0 	1.0 
A,RT,FI2	0.4 	0.3 
A,RT,FI20	0.4 	0.3 
A,RT,FR	1.0 	1.0 p
A,RT,FR1	1.4 	1.4 p
A,RT,FR10	1.4 	1.4 p
A,RT,FRB	0.6 	0.7 p
A,RT,FRB0	0.6 	0.7 p
A,RT,FRC	0.7 	0.7 p
A,RT,FRC1	0.7 	0.7 p
A,RT,FRC2	0.8 	0.8 p
A,RT,FRD	0.8 	0.9 p
A,RT,FRD1	0.8 	0.7 p
A,RT,FRD2	0.9 	1.0 p
A,RT,FRE	1.0 	1.0 p
A,RT,FRE1	1.1 	1.2 p
A,RT,FRE2	0.7 	0.7 p
A,RT,FRF	1.0 	0.9 p
A,RT,FRF1	1.1 	1.0 p
A,RT,FRF2	0.9 	0.8 p
A,RT,FRF3	0.9 	0.9 p
A,RT,FRG	0.9 	0.9 p
A,RT,FRG0	0.9 	0.9 p
A,RT,FRH	1.0 	1.0 p
A,RT,FRH0	1.0 	1.0 p
A,RT,FRI	0.9 	0.9 p
A,RT,FRI1	0.9 	1.0 p
A,RT,FRI2	0.8 	0.8 p
A,RT,FRI3	0.8 	0.7 p
A,RT,FRJ	1.1 	1.0 p
A,RT,FRJ1	1.0 	1.0 p
A,RT,FRJ2	1.1 	1.1 p
A,RT,FRK	1.1 	1.0 p
A,RT,FRK1	0.9 	0.9 p
A,RT,FRK2	1.1 	1.1 p
A,RT,FRL	0.9 	0.8 p
A,RT,FRL0	0.9 	0.8 p
