freq,na_item,unit,geo\TIME_PERIOD	2021 
A,RLPR_PER,I15,AT11	95.4 e
A,RLPR_PER,I15,AT12	99.6 e
A,RLPR_PER,I15,AT13	96.2 e
A,RLPR_PER,I15,AT21	104.4 e
A,RLPR_PER,I15,AT22	100.5 e
A,RLPR_PER,I15,AT31	103 e
A,RLPR_PER,I15,AT32	102.3 e
A,RLPR_PER,I15,AT33	94 e
A,RLPR_PER,I15,AT34	99.4 e
A,RLPR_PER,I15,ATZZ	97.1 e
A,RLPR_PER,I15,BE10	99.4 e
A,RLPR_PER,I15,BE21	101.5 e
A,RLPR_PER,I15,BE22	99.2 e
A,RLPR_PER,I15,BE23	99.4 e
A,RLPR_PER,I15,BE24	101.3 e
A,RLPR_PER,I15,BE25	101.8 e
A,RLPR_PER,I15,BE31	105.4 e
A,RLPR_PER,I15,BE32	98.8 e
A,RLPR_PER,I15,BE33	98.7 e
A,RLPR_PER,I15,BE34	100 e
A,RLPR_PER,I15,BE35	98.2 e
A,RLPR_PER,I15,BEZZ	123 e
A,RLPR_PER,I15,BG31	127 e
A,RLPR_PER,I15,BG32	110.8 e
A,RLPR_PER,I15,BG33	115.7 e
A,RLPR_PER,I15,BG34	109.3 e
A,RLPR_PER,I15,BG41	112.6 e
A,RLPR_PER,I15,BG42	120.7 e
A,RLPR_PER,I15,CY00	108.5 e
A,RLPR_PER,I15,CZ01	110.4 e
A,RLPR_PER,I15,CZ02	108.2 e
A,RLPR_PER,I15,CZ03	105.7 e
A,RLPR_PER,I15,CZ04	99.9 e
A,RLPR_PER,I15,CZ05	111 e
A,RLPR_PER,I15,CZ06	108.3 e
A,RLPR_PER,I15,CZ07	110.5 e
A,RLPR_PER,I15,CZ08	102.4 e
A,RLPR_PER,I15,DE11	100.2 e
A,RLPR_PER,I15,DE12	102.1 e
A,RLPR_PER,I15,DE13	103.6 e
A,RLPR_PER,I15,DE14	105.5 e
A,RLPR_PER,I15,DE21	102.3 e
A,RLPR_PER,I15,DE22	104.1 e
A,RLPR_PER,I15,DE23	102.6 e
A,RLPR_PER,I15,DE24	103.3 e
A,RLPR_PER,I15,DE25	103 e
A,RLPR_PER,I15,DE26	101.6 e
A,RLPR_PER,I15,DE27	100.6 e
A,RLPR_PER,I15,DE30	104.8 e
A,RLPR_PER,I15,DE40	102.5 e
A,RLPR_PER,I15,DE50	99 e
A,RLPR_PER,I15,DE60	99.6 e
A,RLPR_PER,I15,DE71	98.6 e
A,RLPR_PER,I15,DE72	104.6 e
