freq,isced11,sex,age,unit,geo\TIME_PERIOD	2017 	2021 
A,TOTAL,T,Y15-74,PC,AT11	5.2 	5.1 b
A,TOTAL,T,Y15-74,PC,AT12	4.8 	5.1 b
A,TOTAL,T,Y15-74,PC,AT13	10.4 	12.1 b
A,TOTAL,T,Y15-74,PC,AT21	4.8 	5.6 b
A,TOTAL,T,Y15-74,PC,AT22	4.5 	4.3 b
A,TOTAL,T,Y15-74,PC,AT31	4.0 	3.8 b
A,TOTAL,T,Y15-74,PC,AT32	3.1 	4.6 b
A,TOTAL,T,Y15-74,PC,AT33	3.3 	4.8 b
A,TOTAL,T,Y15-74,PC,AT34	3.7 	4.1 b
A,TOTAL,T,Y15-74,PC,BE10	14.9 b	12.4 b
A,TOTAL,T,Y15-74,PC,BE21	5.9 b	5.2 b
A,TOTAL,T,Y15-74,PC,BE22	4.1 b	3.4 b
A,TOTAL,T,Y15-74,PC,BE23	3.4 b	2.8 b
A,TOTAL,T,Y15-74,PC,BE24	4.7 b	4.0 b
A,TOTAL,T,Y15-74,PC,BE25	3.2 b	3.6 b
A,TOTAL,T,Y15-74,PC,BE31	7.6 b	6.8 b
A,TOTAL,T,Y15-74,PC,BE32	11.4 b	10.3 b
A,TOTAL,T,Y15-74,PC,BE33	10.5 b	9.4 b
A,TOTAL,T,Y15-74,PC,BE34	6.7 b	5.6 b
A,TOTAL,T,Y15-74,PC,BE35	7.4 b	7.6 b
A,TOTAL,T,Y15-74,PC,BG31	11.3 	10.9 b
A,TOTAL,T,Y15-74,PC,BG32	6.9 	6.7 b
A,TOTAL,T,Y15-74,PC,BG33	9.4 	5.9 b
A,TOTAL,T,Y15-74,PC,BG34	7.0 	5.5 b
A,TOTAL,T,Y15-74,PC,BG41	3.3 	3.4 b
A,TOTAL,T,Y15-74,PC,BG42	5.3 	3.9 b
A,TOTAL,T,Y15-74,PC,CH01	7.9 	7.6 b
A,TOTAL,T,Y15-74,PC,CH02	4.2 	4.4 b
A,TOTAL,T,Y15-74,PC,CH03	4.4 	4.8 b
A,TOTAL,T,Y15-74,PC,CH04	4.5 	4.7 b
A,TOTAL,T,Y15-74,PC,CH05	3.8 	4.0 b
A,TOTAL,T,Y15-74,PC,CH06	2.9 	3.2 b
A,TOTAL,T,Y15-74,PC,CH07	6.1 	8.0 b
A,TOTAL,T,Y15-74,PC,CY00	11.1 	7.5 b
A,TOTAL,T,Y15-74,PC,CZ01	1.7 	2.3 b
A,TOTAL,T,Y15-74,PC,CZ02	2.1 	2.5 b
A,TOTAL,T,Y15-74,PC,CZ03	2.1 	2.4 b
A,TOTAL,T,Y15-74,PC,CZ04	3.4 	4.3 b
A,TOTAL,T,Y15-74,PC,CZ05	2.8 	2.4 b
A,TOTAL,T,Y15-74,PC,CZ06	3.1 	2.4 b
A,TOTAL,T,Y15-74,PC,CZ07	3.3 	2.2 b
A,TOTAL,T,Y15-74,PC,CZ08	4.7 	4.6 b
A,TOTAL,T,Y15-74,PC,DE11	3.0 	3.2 b
A,TOTAL,T,Y15-74,PC,DE12	3.3 	3.5 b
A,TOTAL,T,Y15-74,PC,DE13	2.9 	3.2 b
A,TOTAL,T,Y15-74,PC,DE14	2.2 	3.0 b
A,TOTAL,T,Y15-74,PC,DE21	2.2 	2.8 b
