freq,age,unit,sex,geo\TIME_PERIOD	2017 	2021 
A,Y15-24,PC,T,AT11	: u	: bu
A,Y15-24,PC,T,AT12	10.1 	11.0 b
A,Y15-24,PC,T,AT13	16.7 	19.9 b
A,Y15-24,PC,T,AT21	: u	: bu
A,Y15-24,PC,T,AT22	7.7 u	7.4 bu
A,Y15-24,PC,T,AT31	7.0 	7.1 b
A,Y15-24,PC,T,AT32	: u	8.9 bu
A,Y15-24,PC,T,AT33	7.7 u	8.6 bu
A,Y15-24,PC,T,AT34	: u	: bu
A,Y15-24,PC,T,BE10	33.2 b	30.8 b
A,Y15-24,PC,T,BE21	17.7 b	15.9 b
A,Y15-24,PC,T,BE22	11.1 bu	9.6 bu
A,Y15-24,PC,T,BE23	10.9 b	11.0 b
A,Y15-24,PC,T,BE24	12.6 bu	20.0 b
A,Y15-24,PC,T,BE25	9.5 bu	12.4 b
A,Y15-24,PC,T,BE31	17.2 bu	20.3 bu
A,Y15-24,PC,T,BE32	39.9 b	29.6 b
A,Y15-24,PC,T,BE33	26.3 b	25.2 b
A,Y15-24,PC,T,BE34	: bu	: bu
A,Y15-24,PC,T,BE35	23.9 bu	26.0 bu
A,Y15-24,PC,T,BG31	18.7 u	: bu
A,Y15-24,PC,T,BG32	17.9 u	: bu
A,Y15-24,PC,T,BG33	14.0 u	: bu
A,Y15-24,PC,T,BG34	20.5 u	: bu
A,Y15-24,PC,T,BG41	6.5 u	11.7 bu
A,Y15-24,PC,T,BG42	11.2 u	: bu
A,Y15-24,PC,T,CH01	15.7 	16.0 b
A,Y15-24,PC,T,CH02	7.1 	7.2 b
A,Y15-24,PC,T,CH03	5.9 u	7.5 b
A,Y15-24,PC,T,CH04	6.5 	6.8 b
A,Y15-24,PC,T,CH05	6.1 	4.7 bu
A,Y15-24,PC,T,CH06	4.1 u	5.2 bu
A,Y15-24,PC,T,CH07	13.1 u	17.5 bu
A,Y15-24,PC,T,CY00	24.7 	17.1 b
A,Y15-24,PC,T,CZ01	3.8 u	5.7 bu
A,Y15-24,PC,T,CZ02	7.7 u	8.9 bu
A,Y15-24,PC,T,CZ03	5.9 u	5.5 bu
A,Y15-24,PC,T,CZ04	10.3 	11.1 b
A,Y15-24,PC,T,CZ05	8.1 	8.2 b
A,Y15-24,PC,T,CZ06	6.0 u	7.8 b
A,Y15-24,PC,T,CZ07	9.8 	7.6 bu
A,Y15-24,PC,T,CZ08	11.0 	9.9 b
A,Y15-24,PC,T,DE11	4.7 	5.8 bu
A,Y15-24,PC,T,DE12	7.4 	: bu
A,Y15-24,PC,T,DE13	5.3 	: bu
A,Y15-24,PC,T,DE14	: u	: bu
A,Y15-24,PC,T,DE21	3.8 	5.4 bu
A,Y15-24,PC,T,DE22	: u	: bu
A,Y15-24,PC,T,DE23	: u	: bu
A,Y15-24,PC,T,DE24	: u	: bu
A,Y15-24,PC,T,DE25	: u	: bu
A,Y15-24,PC,T,DE26	: u	: bu
A,Y15-24,PC,T,DE27	5.2 	: bu
A,Y15-24,PC,T,DE30	11.6 	9.9 bu
A,Y15-24,PC,T,DE40	8.7 	: bu
A,Y15-24,PC,T,DE50	: u	: bu
A,Y15-24,PC,T,DE60	9.1 	: bu
